N	4gram	Propp_Morf_1	EvropaiC
1	до сих пор не	1	4
2	в том случае если	1	4
3	бы то ни было	2	2
4	как бы то ни	1	2
5	одно и то же	1	1
6	то для того чтобы	1	1
7	с самого начала в	1	1
8	на первый взгляд кажется	1	1
9	а на самом деле	1	1
10	в то время как	3	1
11	а для того чтобы	1	1
12	говорили лишь о тех	1	1
13	мы говорили лишь о	1	1
14	в том что он	1	1
15	состоит в том что	2	1
16	приводит к тому что	1	1
17	образом мы видим что	3	1
18	первый взгляд кажется что	1	1
19	таким образом мы видим	3	1
20	в тех случаях когда	2	1
