N	3gram	Losev_Dial_2	SlovoVZh
1	не может быть	3	7
2	можно сказать что	3	5
3	в том что	6	4
4	и не может	1	3
5	тем не менее	2	3
6	бы то ни	1	3
7	может быть и	3	3
8	до сих пор	2	3
9	и то же	4	2
10	зависит от того	1	2
11	мы никогда не	1	2
12	на самом деле	1	2
13	с другой стороны	4	2
14	то же самое	2	2
15	одной стороны и	1	2
16	с точки зрения	8	2
17	в зависимости от	2	2
18	мы можем сказать	1	2
19	одно и то	4	2
20	в данном случае	2	2
21	в жизни и	1	2
22	с одной стороны	1	2
23	том что в	1	1
24	самом деле это	1	1
25	но все же	1	1
26	может быть следовательно	1	1
27	и в этом	1	1
28	так как будто	3	1
29	все же не	1	1
30	все более и	1	1
31	то время как	3	1
32	более или менее	2	1
33	во всяком случае	2	1
34	мы уже сказали	1	1
35	не должно быть	2	1
36	одна и та	4	1
37	в самом деле	3	1
38	в этом смысле	1	1
39	самом же деле	1	1
40	с ним в	1	1
41	по себе не	3	1
42	на них в	1	1
43	же как и	1	1
44	в нем и	2	1
45	в то время	3	1
46	равно как и	1	1
47	сам по себе	3	1
48	сами по себе	3	1
49	то что мы	1	1
50	но зато она	1	1
51	но и в	1	1
52	и та же	4	1
53	на этом основании	1	1
54	и независимо от	1	1
55	на самом же	1	1
56	о том что	4	1
57	только то что	4	1
58	в этом отношении	1	1
59	что не только	1	1
60	она в самом	1	1
61	с самого начала	2	1
62	ни в какой	2	1
63	более и более	1	1
64	и прежде всего	2	1
65	то же время	4	1
66	подобно тому как	1	1
67	как мы уже	1	1
68	со всех сторон	1	1
69	может быть только	2	1
70	по крайней мере	9	1
71	в то же	3	1
72	не есть только	3	1
73	и в частности	2	1
74	мы это уже	1	1
75	в том и	1	1
76	сама по себе	7	1
77	и в нем	1	1
78	чтобы убедиться в	1	1
79	по самому существу	1	1
80	том что все	1	1
81	так же как	1	1
82	в виду не	1	1
83	не только его	1	1
84	она не может	1	1
85	сих пор мы	1	1
86	к тому же	1	1
87	и делает его	1	1
