1	в том что	4	7
2	о том что	14	5
3	с другой стороны	5	5
4	по крайней мере	6	4
5	в то же	4	3
6	той или иной	1	3
7	в данном случае	5	3
8	в этом отношении	1	3
9	не только не	2	3
10	и той же	2	2
11	тот или иной	4	2
12	а в том	1	2
13	одной и той	2	2
14	тем не менее	12	2
15	как нам кажется	1	2
16	сама по себе	4	2
17	во всяком случае	10	2
18	можно сказать что	3	2
19	с одной стороны	5	2
20	в свое время	1	2
21	и прежде всего	2	2
22	подобно тому как	2	2
23	крайней мере в	2	2
24	и а и	1	1
25	требует от нас	1	1
26	а с другой	1	1
27	входит в состав	1	1
28	до сих пор	4	1
29	и в данном	2	1
30	здесь пока еще	1	1
31	в той или	1	1
32	что иное как	3	1
33	говоря уже о	4	1
34	в известном смысле	1	1
35	которая имела бы	1	1
36	хотя бы и	3	1
37	в данном контексте	1	1
38	в отдельности и	1	1
39	то есть не	3	1
40	само по себе	2	1
41	так и в	1	1
42	нет никакой возможности	1	1
43	того или иного	5	1
44	в зависимости от	1	1
45	не является ни	1	1
46	не может быть	3	1
47	только по причине	1	1
48	но как бы	1	1
49	в противоречие с	1	1
50	обратим внимание на	1	1
51	не что иное	3	1
52	и здесь мы	2	1
53	друг от друга	2	1
54	должны были бы	2	1
55	в самом деле	2	1
56	как и сам	1	1
57	что не есть	1	1
58	не только в	2	1
59	один и тот	2	1
60	с самим собою	1	1
61	и тот же	2	1
62	в чистом виде	3	1
63	в этом случае	7	1
64	для того чтобы	2	1
65	о и а	1	1
66	не говоря уже	4	1
67	между собой и	2	1
68	однако все эти	1	1
69	до тех пор	4	1
70	всяком случае не	2	1
71	в каждом из	1	1
72	в этом смысле	5	1
73	можно судить по	1	1
74	есть не что	3	1
75	не есть ни	3	1
76	которой он не	1	1
77	на самом деле	2	1
78	ту или иную	1	1
79	то есть в	2	1
80	и не возникает	1	1
81	в связи с	5	1
82	вопрос о том	2	1
83	в таком случае	10	1
84	мысль о том	2	1
85	однако и в	1	1
86	то что не	2	1
87	сказать что они	1	1
88	между тем как	1	1
89	во многих отношениях	1	1
90	в результате чего	1	1
91	но в таком	3	1
92	заключается в том	2	1
93	может быть достаточно	1	1
94	здесь мы имеем	1	1
95	так или иначе	6	1
