N	2gram	Berdyaev_O_1	slovoVRo
1	и в	19	39
2	может быть	11	37
3	и его	4	33
4	не только	11	24
5	и не	13	22
6	но и	13	21
7	не может	4	20
8	в нем	10	19
9	до конца	7	17
10	в этом	12	16
11	все это	6	16
12	так и	2	15
13	человек и	4	14
14	а не	11	14
15	как в	1	13
16	в процессе	1	13
17	в истории	2	11
18	вовсе не	1	10
19	и с	2	9
20	не в	11	9
21	прежде всего	9	8
22	еще не	3	7
23	с ним	3	7
24	для него	5	7
25	никогда не	9	7
26	и даже	1	7
27	в его	7	7
28	в этих	3	7
29	и потому	2	7
30	могут быть	3	7
31	с его	4	7
32	как бы	3	7
33	все эти	4	6
34	все же	2	6
35	как и	6	6
36	жизни и	1	6
37	темы о	1	6
38	но не	1	6
39	и к	2	6
40	человек в	1	6
41	в них	1	6
42	она не	1	6
43	но в	2	6
44	в своем	2	6
45	в сущности	1	6
46	человека в	11	5
47	и для	2	5
48	и все	10	5
49	от него	7	5
50	по себе	2	5
51	например в	1	5
52	это не	3	5
53	в том	5	5
54	один из	1	5
55	уже не	1	5
56	с ними	1	5
57	не могут	3	5
58	том что	2	5
59	отношении к	1	4
60	а в	5	4
61	его в	2	4
62	в отношении	1	4
63	и на	2	4
64	его не	2	4
65	отношение к	5	4
66	отношения к	1	4
67	и других	1	4
68	во всем	1	4
69	одна из	1	4
70	так как	2	4
71	и мир	1	4
72	даже и	2	4
73	и там	2	3
74	во всяком	1	3
75	человеке и	5	3
76	должна быть	1	3
77	к нему	3	3
78	хотя бы	3	3
79	как это	1	3
80	бы и	1	3
81	связан с	1	3
82	что в	4	3
83	не с	1	3
84	лишь в	7	3
85	в романах	4	3
86	и от	3	3
87	сказать что	2	3
88	с их	1	3
89	речи и	1	3
90	у него	22	3
91	этом отношении	1	3
92	что и	2	3
93	как к	2	3
94	отметить что	1	3
95	в ней	1	3
96	ту же	1	3
97	стремится к	1	3
98	и как	1	3
99	человека и	10	3
100	но это	1	3
101	есть на	1	2
102	стремиться к	1	2
103	и здесь	1	2
104	в форме	1	2
105	в другом	2	2
106	но он	7	2
107	и ни	2	2
108	людей и	1	2
109	как например	1	2
110	отличается от	1	2
111	не было	9	2
112	речь о	1	2
113	действующих лиц	1	2
114	цели и	1	2
115	его и	1	2
116	мы не	1	2
117	того чтобы	4	2
118	в одном	1	2
119	нуждается в	1	2
120	жизни в	2	2
121	его как	1	2
122	а именно	1	2
123	что он	3	2
124	особенно в	1	2
125	в одно	1	2
126	то что	5	2
127	в новом	1	2
128	к его	1	2
129	дело в	1	2
130	не все	2	2
131	для того	3	2
132	на нем	1	2
133	еще более	1	2
134	была поставлена	1	2
135	же и	1	2
136	всяком случае	1	2
137	хотя и	2	2
138	его всегда	1	2
139	только и	4	2
140	но оно	1	2
141	из него	1	2
142	а вовсе	1	2
143	того как	1	2
144	к ней	2	2
145	он не	7	2
146	и темное	1	2
147	также и	1	2
148	в свой	1	2
149	в новые	1	2
150	чем в	2	2
151	со всеми	1	2
152	и нет	2	2
153	о том	3	2
154	одним словом	1	2
155	тема о	1	2
156	уже в	2	2
157	о нем	1	2
158	ни к	1	2
159	в себе	3	2
160	все что	3	2
161	и более	1	2
162	не допускает	1	1
163	говорят о	1	1
164	больше всего	1	1
165	момент в	2	1
166	ведет к	1	1
167	всегда в	1	1
168	и способы	1	1
169	попадает в	1	1
170	не одно	1	1
171	достоевского и	5	1
172	друг к	1	1
173	самому себе	1	1
174	и самый	1	1
175	стала возможной	1	1
176	говорит о	1	1
177	его собственного	1	1
178	характер его	1	1
179	ко всему	1	1
180	было у	1	1
181	в русском	1	1
182	этих романах	1	1
183	а это	1	1
184	не стоит	1	1
185	что как	1	1
186	может служить	1	1
187	людей в	1	1
188	особый мир	1	1
189	образ человека	2	1
190	этими двумя	1	1
191	и действительно	1	1
192	за собой	1	1
193	публицистических статьях	1	1
194	романы и	1	1
195	вопрос об	1	1
196	это так	1	1
197	в нас	1	1
198	но почему	1	1
199	на то	1	1
200	то он	1	1
201	науки о	1	1
202	него и	4	1
203	он знает	1	1
204	в самую	4	1
205	возможностей и	2	1
206	в сознании	1	1
207	ивана карамазова	7	1
208	вообще и	1	1
209	в конце	1	1
210	к раскрытию	1	1
211	и без	1	1
212	человек не	7	1
213	нисколько не	1	1
214	в своей	2	1
215	с каким	1	1
216	и есть	3	1
217	свободной и	1	1
218	сторон и	1	1
219	одно из	2	1
220	но есть	1	1
221	у толстого	1	1
222	сам человек	1	1
223	он сам	4	1
224	героев достоевского	2	1
225	совсем не	2	1
226	и всех	1	1
227	ее как	1	1
228	по своей	1	1
229	и богаче	2	1
230	и самое	1	1
231	к этому	2	1
232	всего он	1	1
233	с той	1	1
234	есть не	1	1
235	всего что	1	1
236	вещей и	1	1
237	с образом	1	1
238	того что	3	1
239	этого типа	1	1
240	мир в	1	1
241	в корне	1	1
242	притом не	1	1
243	один только	1	1
244	эта тема	1	1
245	с какими	1	1
246	он ни	1	1
247	сознания в	1	1
248	их не	2	1
249	он говорит	1	1
250	из образов	1	1
251	мысли и	3	1
252	ставит в	1	1
253	проник в	1	1
254	и сам	1	1
255	пределы и	1	1
256	темой о	1	1
257	проникнуть в	1	1
258	да и	1	1
259	между двумя	1	1
260	всегда и	1	1
261	в других	2	1
262	в силах	1	1
263	интерес к	1	1
264	все время	1	1
265	всегда нуждается	1	1
266	связанная с	1	1
267	нет никакой	1	1
268	что не	4	1
269	мира он	1	1
270	женщины и	1	1
271	в одной	1	1
272	смысле слова	1	1
273	романах достоевского	3	1
274	человека от	1	1
275	и о	2	1
276	но всегда	1	1
277	и характер	1	1
278	должно быть	2	1
279	ее с	1	1
280	сказать в	1	1
281	тем что	2	1
282	характер и	1	1
283	и возможности	1	1
284	ничего не	2	1
285	и русский	1	1
286	к другу	1	1
287	это было	3	1
288	человеку и	5	1
289	в каждом	1	1
290	он никогда	1	1
291	возвращается все	1	1
292	из самых	1	1
293	как от	1	1
294	человека как	1	1
295	и идеологических	1	1
296	от власти	1	1
297	этого слова	1	1
298	в этой	5	1
299	лишь к	1	1
300	он в	2	1
301	в самом	5	1
302	творчество достоевского	2	1
303	в иных	1	1
304	до глубины	2	1
305	и этим	2	1
306	в мире	1	1
307	и что	1	1
308	и ее	3	1
309	для раскрытия	1	1
310	ближе к	1	1
311	как у	1	1
312	в своих	3	1
313	с какой	1	1
314	лишь с	1	1
315	указать на	1	1
316	откровение его	1	1
317	и никогда	2	1
318	к которой	1	1
319	своей и	1	1
320	в частности	1	1
