N	2gram	Savitsky_E_1	Dialekti
1	не есть	2	54
2	т е	9	48
3	и не	14	27
4	а не	2	26
5	точки зрения	23	25
6	и т	1	24
7	и в	37	24
8	значит что	1	24
9	это значит	2	24
10	есть нечто	1	23
11	не только	18	23
12	т д	1	23
13	по себе	4	20
14	не может	9	19
15	и что	2	15
16	что все	2	14
17	с точки	17	14
18	то что	6	14
19	в таком	3	14
20	таким образом	2	13
21	вовсе не	6	13
22	может быть	6	13
23	и даже	6	13
24	что это	2	12
25	есть только	1	12
26	того что	7	12
27	не менее	1	11
28	не имеет	4	11
29	что же	2	11
30	отнюдь не	9	10
31	она есть	1	10
32	есть не	2	9
33	то это	1	9
34	но и	14	9
35	нет ничего	1	9
36	в этом	12	8
37	и как	2	8
38	это есть	1	8
39	в виде	5	8
40	прежде всего	9	8
41	что мы	1	8
42	том что	6	8
43	в самом	4	7
44	как и	7	7
45	никогда не	3	7
46	потому что	3	7
47	что оно	1	7
48	что в	21	7
49	должна быть	2	6
50	то же	15	6
51	об этом	1	6
52	и с	2	6
53	оно не	1	6
54	утверждать что	2	6
55	если бы	2	6
56	что и	3	6
57	и только	3	6
58	о том	3	6
59	так как	7	6
60	даже не	1	6
61	не на	4	6
62	и все	2	6
63	кроме того	1	6
64	но если	5	6
65	есть то	1	6
66	вопрос о	4	5
67	что его	1	5
68	точка зрения	2	5
69	хотя и	2	5
70	и к	3	5
71	есть ли	2	5
72	само по	4	5
73	он не	2	5
74	так и	10	5
75	было бы	8	5
76	в них	3	5
77	мы не	4	5
78	в том	11	5
79	можно ли	3	5
80	в то	16	5
81	тогда когда	2	5
82	и притом	4	5
83	и его	1	5
84	только в	9	5
85	уже не	1	5
86	одно из	1	5
87	как же	2	5
88	что не	1	5
89	что для	1	5
90	как это	4	5
91	с этой	6	5
92	но это	1	5
93	жизни и	2	5
94	как на	3	5
95	и то	2	4
96	время как	1	4
97	говорить о	1	4
98	в истории	2	4
99	что нет	1	4
100	конечно не	1	4
101	истории и	1	4
102	от себя	1	4
103	тому что	1	4
104	от того	1	4
105	не могут	2	4
106	и это	1	4
107	то время	1	4
108	к тому	8	4
109	с другой	7	4
110	е не	1	4
111	для него	1	4
112	или иной	4	4
113	говорит о	3	4
114	у нас	1	4
115	так же	9	4
116	хотя бы	15	4
117	сказать что	4	4
118	себя как	1	3
119	той же	1	3
120	и тут	2	3
121	но даже	4	3
122	и на	6	3
123	при условии	2	3
124	за пределы	1	3
125	в одной	1	3
126	с этим	2	3
127	в своем	14	3
128	только тогда	1	3
129	все же	1	3
130	все эти	1	3
131	но его	1	3
132	тем более	4	3
133	на то	6	3
134	в нем	1	3
135	не значит	1	3
136	в силу	2	3
137	не будет	3	3
138	того или	4	3
139	к природе	2	3
140	должно быть	1	3
141	имеется в	1	3
142	не в	5	3
143	особого рода	1	3
144	тем самым	5	3
145	она не	2	3
146	одна из	1	3
147	в основе	1	3
148	на себя	3	3
149	же время	14	3
150	во всем	1	3
151	уже и	3	3
152	должны быть	1	3
153	и о	1	3
154	быть может	1	3
155	нельзя ни	1	3
156	к нему	2	3
157	быть и	1	3
158	или же	1	3
159	и ее	1	3
160	с одной	8	3
161	есть в	2	3
162	то и	1	3
163	при помощи	2	3
164	из них	3	3
165	мы знаем	1	3
166	мир в	1	3
167	каком смысле	1	3
168	тем что	3	3
169	для того	6	3
170	в каком	4	3
171	эти две	1	3
172	и прежде	3	3
173	не было	1	3
174	ни на	3	3
175	одной стороны	8	3
176	а если	1	3
177	в сферу	2	3
178	как бы	6	3
179	если не	1	3
180	с полной	1	3
181	только одна	1	3
182	и от	3	3
183	мира и	3	3
184	понимать как	1	3
185	все что	1	3
186	также и	7	2
187	например в	1	2
188	же как	5	2
189	в частности	5	2
190	или к	1	2
191	в чисто	1	2
192	исходит из	1	2
193	что если	2	2
194	из того	2	2
195	которое не	1	2
196	в ней	4	2
197	на них	2	2
198	всего этого	1	2
199	бы то	4	2
