N	2gram	Savitsky_E_1	Poddanst
1	не только	18	17
2	и в	37	14
3	и не	14	12
4	в области	11	11
5	в этом	12	10
6	в отношении	32	10
7	в качестве	14	9
8	но в	14	9
9	то же	15	9
10	старого света	14	9
11	в том	11	9
12	в пределах	25	8
13	хотя бы	15	8
14	только в	9	7
15	в обстановке	1	7
16	с к	1	7
17	в то	16	7
18	же время	14	7
19	в ней	4	6
20	было бы	8	6
21	но и	14	6
22	быть может	1	6
23	в смысле	9	6
24	отношении к	15	5
25	россии в	4	5
26	в которых	3	5
27	с другой	7	5
28	может быть	6	5
29	не в	5	5
30	и о	1	5
31	на путях	4	4
32	если бы	2	4
33	тех кто	1	4
34	а также	7	4
35	россии и	3	4
36	в своем	14	4
37	и к	3	4
38	русская революция	2	4
39	как бы	6	4
40	и если	2	4
41	европейской культуры	3	4
42	гораздо большей	1	4
43	но также	2	4
44	том что	6	4
45	не может	9	4
46	и потому	5	4
47	в котором	2	4
48	большей степени	1	4
49	по себе	4	4
50	на пути	1	4
51	в гораздо	2	4
52	с т	2	4
53	революция есть	1	4
54	что в	21	4
55	мы должны	2	4
56	же в	2	4
57	а в	2	4
58	то что	6	4
59	и т	1	3
60	мы не	4	3
61	сводится к	1	3
62	в порядке	2	3
63	столь же	5	3
64	между тем	8	3
65	вслед за	6	3
66	хотя и	2	3
67	и как	2	3
68	тот же	1	3
69	с ними	1	3
70	с одной	8	3
71	северной америке	3	3
72	в себе	9	3
73	в нем	1	3
74	в россии	5	3
75	для того	6	3
76	заключается в	2	3
77	прежде всего	9	3
78	одной стороны	8	3
79	с тем	3	3
80	россии как	3	3
81	что мы	1	3
82	россия в	11	3
83	с точки	17	3
84	но не	5	3
85	она есть	1	3
86	наряду с	2	3
87	могут быть	2	3
88	т е	9	3
89	пред лицом	1	3
90	тем самым	5	3
91	потому что	3	3
92	точки зрения	23	3
93	нужно помнить	1	2
94	и это	1	2
95	света в	1	2
96	например в	1	2
97	в сфере	3	2
98	значительной мере	1	2
99	в ее	8	2
100	другие народы	2	2
101	в мире	2	2
102	есть не	2	2
103	осуществляется в	1	2
104	в сочетании	1	2
105	которую мы	5	2
106	по сравнению	2	2
107	является в	1	2
108	одних и	1	2
109	есть нечто	1	2
110	только это	1	2
111	которое в	2	2
112	сомнения что	1	2
113	не нужно	2	2
114	время в	3	2
115	в значительной	2	2
116	во всех	6	2
117	в которую	1	2
118	говорить о	1	2
119	если в	2	2
120	в общем	3	2
121	от европы	1	2
122	во всей	2	2
123	со стороны	5	2
124	отнюдь не	9	2
125	в русском	1	2
126	с этим	2	2
127	xix век	1	2
128	того что	7	2
129	стороны и	6	2
130	помнить что	2	2
131	х и	1	2
132	бы ни	3	2
133	думать что	8	2
134	есть в	2	2
135	в начале	1	2
136	признание что	1	2
137	главным образом	2	2
138	и других	2	2
139	в его	2	2
140	образ россии	1	2
141	из них	3	2
142	в виде	5	2
143	не к	2	2
144	в силу	2	2
145	где в	1	2
146	в последние	6	2
147	и с	2	2
148	полной мере	1	2
149	именно в	4	2
150	здесь нужно	1	2
151	и мы	3	2
152	и тем	3	2
153	сказывается в	2	2
154	в жизни	1	2
155	для них	2	2
156	в них	3	2
157	весьма вероятно	4	2
158	не было	1	2
159	а не	2	2
160	америке и	1	2
161	должно быть	1	2
162	в эту	2	2
163	более чем	2	2
164	суждений о	1	2
165	эта идея	1	2
166	историческом и	1	2
167	в европе	1	2
168	российского мира	3	2
169	хозяйства и	2	2
170	реальность и	1	2
171	творчества и	1	2
172	друг другу	1	2
173	культуры в	4	2
174	для тех	1	2
175	что из	1	2
176	не менее	1	2
177	своем значении	1	2
178	между прочим	7	2
179	не о	1	2
180	одна из	1	2
181	н с	11	2
182	и австралии	1	2
183	мысль о	1	2
184	в полной	4	2
185	еще более	2	2
186	тем более	4	2
187	в перспективе	4	2
188	для нас	4	2
189	исключительно в	2	2
190	заключает в	3	2
191	в частности	5	2
