N	2gram	Medvedev_S_1	Psycholo
1	то что	2	32
2	и в	3	31
3	в том	5	30
4	что в	2	23
5	может быть	2	22
6	таким образом	2	20
7	не может	1	17
8	как и	1	16
9	том что	2	16
10	и не	1	16
11	только в	2	14
12	не только	3	13
13	мы не	1	12
14	в этом	5	12
15	не в	3	11
16	в области	1	11
17	в сущности	1	10
18	по себе	1	9
19	и что	2	8
20	никогда не	1	8
21	все это	7	8
22	во всяком	1	8
23	только тогда	1	7
24	на основании	1	7
25	и его	1	7
26	о том	1	7
27	что он	1	7
28	что это	1	6
29	очевидно что	2	6
30	отнюдь не	1	6
31	что она	1	6
32	было бы	2	6
33	в его	3	6
34	всяком случае	1	6
35	вовсе не	1	6
36	одной стороны	1	6
37	а в	1	6
38	и есть	1	5
39	то же	2	5
40	с одной	1	5
41	в целом	1	5
42	по самому	1	5
43	иначе говоря	1	5
44	в то	1	5
45	в процессе	1	5
46	как будто	2	5
47	для нас	3	5
48	с другой	1	5
49	как бы	2	5
50	все же	1	5
51	в котором	1	4
52	столь же	1	4
53	у него	1	4
54	по существу	2	4
55	тому что	1	4
56	те же	1	4
57	никак не	1	4
58	прежде всего	1	4
59	между тем	1	4
60	один из	1	4
61	и о	1	4
62	в результате	2	4
63	в этих	1	4
64	это и	2	3
65	тем же	1	3
66	что эти	1	3
67	самому существу	1	3
68	должна быть	2	3
69	но не	1	3
70	конечном счете	1	3
71	психологии и	1	3
72	в этой	1	3
73	в силу	1	3
74	и по	1	3
75	в каждом	1	3
76	в своей	1	3
77	представить себе	1	3
78	мысли в	1	3
79	что на	1	3
80	все то	1	3
81	когда мы	1	3
82	но только	1	3
83	что все	1	3
84	так и	1	3
85	в конечном	1	3
86	в частности	2	3
87	в конце	2	3
88	и только	3	3
89	не было	1	3
90	конце концов	2	3
91	этом не	1	2
92	благодаря тому	1	2
93	в чем	1	2
94	только то	1	2
95	в область	1	2
96	но как	1	2
97	сама по	1	2
98	главным образом	2	2
99	существу дела	1	2
100	не дает	1	2
101	его в	1	2
102	произведение как	1	2
103	в них	1	2
104	далеко не	2	2
105	именно и	1	2
106	стало быть	1	2
107	том и	1	2
108	даже в	1	2
109	этой области	1	2
110	результате его	1	2
111	ничего не	1	2
112	же самое	1	2
113	с ним	1	2
114	в настоящее	1	2
115	настоящее время	1	2
116	но и	2	2
117	наконец в	1	2
118	в него	1	2
119	и потому	1	2
120	в связи	1	2
121	стоит только	1	2
122	она должна	1	2
123	и самым	1	2
124	бы в	1	2
125	и как	1	2
126	или не	1	2
127	и понимает	1	1
128	на тех	1	1
129	но она	1	1
130	литературы и	2	1
131	еще не	2	1
132	наш автор	1	1
133	время в	1	1
134	не без	1	1
135	за пределы	2	1
136	утверждает в	1	1
137	метод и	2	1
138	перед нами	1	1
139	и наконец	1	1
140	конечно не	1	1
141	что автор	1	1
142	что без	1	1
143	могут оказаться	1	1
144	же это	1	1
145	идей и	2	1
146	так называемым	1	1
147	в мире	1	1
148	на все	1	1
149	это не	1	1
150	и мы	2	1
151	на этот	1	1
152	своего ремесла	1	1
153	из круга	1	1
154	как искусство	1	1
155	исследования так	1	1
156	есть совокупность	1	1
157	для изучения	1	1
158	и более	1	1
159	не должна	1	1
160	новое и	1	1
161	и какие	1	1
162	в таких	1	1
163	дело не	2	1
164	к изучению	1	1
165	связи с	1	1
166	факта что	1	1
167	точке зрения	1	1
168	и заключается	2	1
169	ли не	1	1
170	как только	2	1
171	перейти к	1	1
172	и понятие	1	1
173	изучения и	1	1
174	эстетику и	1	1
175	том как	1	1
176	против этого	1	1
177	автор не	1	1
178	это зависит	2	1
179	с социальной	1	1
180	может не	1	1
181	стала для	1	1
182	исторического развития	2	1
183	этих вопросов	1	1
184	есть процесс	1	1
185	не мешает	1	1
186	заключаться только	1	1
187	без этого	1	1
188	научного исследования	1	1
189	что данный	1	1
190	может служить	1	1
191	быть для	1	1
192	выходит за	1	1
193	в соответствующих	1	1
194	именно в	1	1
195	еще и	1	1
196	а с	1	1
197	мы еще	1	1
198	зависит от	1	1
199	системы как	1	1
200	в те	1	1
201	между собою	1	1
202	по необходимости	1	1
203	он говорит	1	1
204	от окружающих	1	1
205	новые и	1	1
206	между собой	1	1
207	области знания	1	1
208	мы должны	1	1
209	истории литературы	10	1
210	хотя бы	1	1
211	теоретической мысли	1	1
212	его утверждение	1	1
213	между ними	1	1
214	из тех	1	1
215	настаивает на	1	1
216	только как	2	1
217	будет тем	1	1
218	социологического порядка	1	1
219	вопросов в	1	1
