N	2gram	Nazirov_Tr_1	NovoeSre
1	а не	1	17
2	и в	18	16
3	не может	5	16
4	и не	7	11
5	и есть	1	10
6	в эпоху	1	9
7	что в	4	9
8	в том	2	8
9	он не	2	8
10	в этом	9	7
11	в новой	1	7
12	может быть	7	7
13	как и	5	7
14	высшей степени	1	6
15	с его	2	6
16	не в	2	6
17	ни в	2	6
18	в высшей	1	6
19	никогда не	2	6
20	лишь в	1	6
21	но это	4	6
22	с ее	3	5
23	в ней	1	5
24	не только	8	5
25	xix века	1	5
26	все это	4	5
27	в нем	4	5
28	быть может	1	4
29	о том	2	4
30	перестает быть	1	4
31	в них	1	4
32	то что	4	4
33	это не	5	4
34	прежде всего	4	4
35	не было	1	4
36	должно быть	3	4
37	и потому	1	4
38	не менее	1	4
39	не имеет	2	4
40	и все	4	4
41	потому что	2	4
42	в ее	2	3
43	должна быть	1	3
44	вопрос о	2	3
45	человека и	1	3
46	еще не	4	3
47	во всех	1	3
48	за пределы	1	3
49	в истории	1	3
50	наряду с	1	3
51	как в	3	3
52	не значит	1	3
53	к ним	1	3
54	в мире	3	3
55	но и	4	3
56	это было	1	3
57	не есть	1	3
58	с тем	2	3
59	в своей	1	3
60	растет и	1	3
61	к жизни	5	3
62	в россии	1	3
63	она не	1	3
64	нашей эпохи	1	3
65	к ее	1	3
66	жизни в	1	3
67	в духе	1	3
68	к тому	2	3
69	и это	2	2
70	силы и	1	2
71	не человек	2	2
72	это и	1	2
73	на путях	1	2
74	роль в	1	2
75	можно было	1	2
76	так и	5	2
77	и с	7	2
78	стремление к	1	2
79	я не	4	2
80	и должно	1	2
81	вот почему	1	2
82	и что	4	2
83	и на	7	2
84	быть в	1	2
85	времени в	2	2
86	но не	1	2
87	сильнее и	1	2
88	все время	1	2
89	в центре	1	2
90	xix век	1	2
91	бога но	1	2
92	но в	6	2
93	который в	2	2
94	в обществе	1	2
95	все эти	3	2
96	с одной	1	2
97	есть в	1	2
98	в себе	4	2
99	уже не	2	2
100	не могла	1	2
101	ли есть	1	2
102	не к	1	2
103	у него	6	2
104	что она	2	2
105	что все	2	2
106	и даже	4	2
107	на уровне	1	2
108	права на	2	2
109	для чего	1	2
110	но я	1	2
111	том что	4	2
112	вместе с	1	2
113	так же	4	2
114	не знал	1	2
115	не могли	1	2
116	xviii века	1	2
117	как будто	3	2
118	возвращается к	1	2
119	как это	3	2
120	в то	5	2
121	одна из	2	2
122	того чтобы	1	2
123	и от	1	2
124	в русском	2	2
125	хотя бы	1	2
126	ли это	1	2
127	могут быть	1	2
128	из ее	1	2
129	также что	1	1
130	жизни перед	1	1
131	что образ	3	1
132	не хочу	1	1
133	людей в	1	1
134	чтобы так	1	1
135	и до	2	1
136	капиталистического общества	1	1
137	на западе	1	1
138	природе своей	1	1
139	в образе	6	1
140	с собой	1	1
141	на нее	1	1
142	по природе	1	1
143	во многом	1	1
144	еще в	2	1
145	прошлом в	1	1
146	с ним	3	1
147	на себя	1	1
148	это должно	1	1
149	не был	2	1
150	в виду	1	1
151	не способен	1	1
152	в xix	1	1
153	вопрос об	1	1
154	в недрах	1	1
155	творческий процесс	1	1
156	на них	1	1
157	теперь и	2	1
158	себя а	1	1
159	в чем	1	1
160	и мира	1	1
161	это была	1	1
162	все в	1	1
163	не могут	2	1
164	своего рода	3	1
165	к нему	3	1
166	значение и	1	1
167	мы вновь	1	1
168	в его	3	1
169	отличие от	2	1
170	значение для	1	1
171	и она	1	1
172	нем ничего	1	1
173	в своем	3	1
174	у в	1	1
175	говорит что	2	1
176	со злом	1	1
177	что он	6	1
178	только в	1	1
179	во всем	1	1
180	по своей	1	1
181	отнесены к	1	1
182	добро и	1	1
183	в самом	2	1
184	он в	1	1
185	уже в	3	1
186	человек не	1	1
187	свидетельствует о	1	1
188	вообще не	1	1
189	идей и	1	1
190	этого господина	1	1
191	одному из	1	1
192	и их	1	1
193	всяком случае	1	1
194	нуждается в	1	1
