N	3gram	Vinokur_Ku_1	VelikijI
1	к тому что	2	3
2	том что он	4	2
3	бы и не	1	2
4	вместо того чтобы	1	2
5	это еще не	1	2
6	не в силах	1	2
7	в том что	15	2
8	и т д	14	2
9	но прежде всего	1	1
10	но все же	2	1
11	т д и	2	1
12	хотя бы и	2	1
13	с тем чтобы	1	1
14	но в нем	1	1
15	по крайней мере	5	1
16	вместе с тем	3	1
17	имеет своим предметом	1	1
18	того что он	1	1
19	все это как	1	1
20	все равно не	1	1
21	потому что оно	1	1
22	с другой стороны	6	1
23	уже не с	1	1
24	д и т	2	1
25	против того что	1	1
26	так и в	2	1
27	и вместе с	1	1
28	между тем если	1	1
29	после того как	1	1
