N	3gram	Losev_Vlad_1	SlovoVZh
1	не может быть	3	7
2	можно сказать что	2	5
3	дело в том	4	4
4	в том что	7	4
5	и не может	1	3
6	тем не менее	2	3
7	бы то ни	1	3
8	то ни было	1	3
9	и то же	1	2
10	с другой стороны	3	2
11	но отнюдь не	1	2
12	одно и то	1	2
13	в настоящее время	1	2
14	выходят за пределы	1	2
15	в жизни и	1	2
16	с одной стороны	1	2
17	том что в	3	1
18	один и тот	2	1
19	и в этом	1	1
20	в чем не	1	1
21	и к его	1	1
22	имеем дело с	1	1
23	с ним на	1	1
24	мы имеем дело	1	1
25	уже не может	1	1
26	то время как	1	1
27	более или менее	3	1
28	во всяком случае	2	1
29	мы уже сказали	2	1
30	так как в	1	1
31	в самом деле	1	1
32	в этом смысле	4	1
33	самом же деле	1	1
34	с ним в	1	1
35	нам кажется что	1	1
36	как это делает	1	1
37	то что для	1	1
38	в то время	2	1
39	а не к	1	1
40	ни в чем	1	1
41	свою связь с	1	1
42	и что она	1	1
43	в свою очередь	1	1
44	здесь мы должны	1	1
45	на самом же	1	1
46	о том что	7	1
47	но все это	1	1
48	только то что	1	1
49	в этом отношении	1	1
50	что не только	1	1
51	она в самом	1	1
52	то же время	4	1
53	как мы уже	3	1
54	на протяжении всей	1	1
55	в то же	4	1
56	и в частности	2	1
57	не может получить	1	1
58	к тому же	2	1
59	но в то	1	1
60	в том же	1	1
61	с первого же	2	1
62	и тот же	2	1
