1	не может	9	17
2	точки зрения	26	12
3	может быть	9	12
4	таким образом	14	11
5	мы не	10	9
6	и в	15	7
7	в этом	19	7
8	не можем	3	7
9	мы можем	10	6
10	как и	6	6
11	и не	7	6
12	ничего не	3	6
13	в результате	3	6
14	с точки	18	5
15	все эти	3	5
16	и наконец	1	5
17	прежде всего	4	5
18	что же	2	5
19	же это	2	4
20	зависимости от	6	4
21	нет и	2	4
22	а в	4	4
23	в развитии	26	4
24	вместе с	6	4
25	в том	33	4
26	если мы	6	4
27	в целом	10	4
28	не только	15	4
29	мы должны	6	4
30	как бы	7	4
31	их в	4	4
32	с помощью	5	4
33	из них	3	4
34	вопрос о	5	4
35	системы в	1	4
36	это не	5	4
37	в дальнейшем	1	4
38	точку зрения	6	4
39	в зависимости	6	4
40	мы видели	6	4
41	так как	4	4
42	ведь это	1	3
43	а все	1	3
44	видели что	5	3
45	следующим образом	2	3
46	в области	1	3
47	а не	3	3
48	так называемых	2	3
49	с необходимостью	1	3
50	было бы	10	3
51	из двух	3	3
52	может не	1	3
53	отличается от	1	3
54	то же	5	3
55	при этом	3	3
56	не в	8	3
57	на этой	2	3
58	для нас	4	3
59	все это	4	3
60	и к	6	3
61	и мы	2	3
62	и потому	1	3
63	когда мы	1	3
64	в нем	1	3
65	в системе	1	3
66	уже в	5	3
67	и все	3	3
68	между собой	1	3
69	у нас	1	3
70	но в	6	3
71	одна из	1	3
72	в этой	6	3
73	с самого	1	3
74	что она	3	3
75	основной вопрос	1	3
76	в наших	1	3
77	самого начала	1	3
78	в одном	2	3
79	и т.д	12	3
80	в себе	2	3
81	но мы	3	3
82	все же	4	3
83	он в	3	3
84	отнюдь не	2	3
85	как он	6	3
86	не дает	2	2
87	так сказать	1	2
88	значение в	3	2
89	ли оно	1	2
90	по мнению	1	2
91	не могут	2	2
92	могут быть	2	2
93	что такое	1	2
94	той же	2	2
95	развития в	6	2
96	в виде	1	2
97	но все	2	2
98	к чему	2	2
99	с другом	2	2
100	всяком случае	6	2
101	в которой	4	2
102	в нашем	1	2
103	на этом	1	2
104	из этих	4	2
105	говорить о	2	2
106	у него	2	2
107	что при	3	2
108	из которых	3	2
109	что это	6	2
110	друг с	2	2
111	приводит к	5	2
112	каждая из	2	2
113	которой он	1	2
114	же мы	1	2
115	свою собственную	2	2
116	все те	2	2
117	и даже	5	2
118	на этот	6	2
119	как известно	6	2
120	и есть	2	2
121	или иной	2	2
122	представлять себе	1	2
123	в самом	11	2
