N	3gram	Voloshinov_1	Russkaja
1	то же время	7	10
2	в то же	9	10
3	с точки зрения	5	9
4	в том что	1	7
5	на самом деле	3	6
6	для того чтобы	7	6
7	до сих пор	1	5
8	более или менее	1	4
9	не может быть	2	4
10	не может не	1	3
11	в этом случае	3	3
12	вместе с тем	2	3
13	можно было бы	1	3
14	и не может	1	3
15	в конце концов	3	3
16	той или иной	3	3
17	в том и	1	2
18	лишь при условии	1	2
19	в себе и	1	2
20	тот факт что	1	2
21	того или иного	5	2
22	о том что	2	2
23	ни к чему	2	2
24	и тем самым	3	2
25	в большинстве случаев	1	2
26	к тому что	2	2
27	должны были бы	2	1
28	в другом месте	1	1
29	и того же	1	1
30	или хотя бы	2	1
31	и в жизни	1	1
32	то хотя бы	1	1
33	прежде всего на	1	1
34	прежде всего в	3	1
35	в свою очередь	4	1
36	в самом деле	1	1
37	но даже и	1	1
38	в себе элементы	1	1
39	то же самое	4	1
40	мы уже знаем	1	1
41	и не только	2	1
42	то что же	1	1
43	мы подойдем к	1	1
44	котором мы говорили	1	1
45	в этом отношении	2	1
46	заключает в себе	4	1
47	перед нами не	1	1
48	на этот вопрос	1	1
49	тот или иной	1	1
50	здесь же мы	1	1
51	по крайней мере	1	1
52	лишь постепенно в	1	1
53	отнюдь не является	1	1
54	жизни и в	1	1
55	говорить не о	1	1
56	в значительной степени	2	1
57	но в то	2	1
58	тем что он	1	1
59	к чему не	2	1
60	из которых каждая	1	1
61	смысле этого слова	2	1
62	но при этом	2	1
63	и в этом	1	1
64	и как бы	1	1
65	возможна лишь при	1	1
66	в связи с	2	1
67	внутренней и внешней	3	1
68	мы говорили выше	1	1
69	о котором мы	1	1
70	к мысли что	1	1
71	само собой разумеется	2	1
72	и все же	1	1
73	благодаря всем этим	1	1
74	даже и в	1	1
75	тех или иных	3	1
76	с самого начала	4	1
77	же время эти	1	1
78	вопрос о том	1	1
79	мы ведь уже	1	1
80	но все же	2	1
81	но ведь в	1	1
82	одного и того	1	1
83	ведь в самом	1	1
84	являются не просто	1	1
85	мы не знаем	2	1
86	было говорить о	1	1
87	прежде всего с	1	1
88	тем не менее	1	1
89	лишь потому что	2	1
90	и ни от	1	1
91	на первый взгляд	1	1
92	что оно является	1	1
