N	3gram	Tiupa_Lite_3	Marksizm
1	с точки зрения	3	20
2	не может быть	3	13
3	в самом деле	2	9
4	бы то ни	2	8
5	то ни было	2	8
6	в связи с	1	7
7	в отличие от	5	5
8	с другой стороны	2	5
9	в отношении к	1	4
10	то же самое	2	3
11	в этом отношении	5	3
12	то же время	7	3
13	в то же	7	3
14	для того чтобы	1	3
15	в том что	4	3
16	но при этом	1	2
17	в том числе	3	2
18	в знаковом материале	1	2
19	сама по себе	1	2
20	том числе и	2	2
21	вопрос о том	1	2
22	по отношению к	4	2
23	в свою очередь	1	2
24	это и есть	1	2
25	какого бы то	2	2
26	тем не менее	1	2
27	ничего общего с	1	2
28	подобно тому как	2	1
29	оно должно быть	1	1
30	жизни в ее	1	1
31	именно то что	1	1
32	хотя бы и	1	1
33	мира прежде всего	1	1
34	но и в	2	1
35	в себе и	1	1
36	в котором мы	1	1
37	по аналогии с	1	1
38	само нуждается в	1	1
39	могли бы быть	1	1
40	но уже в	1	1
41	если бы они	1	1
42	может быть только	1	1
43	с этой точки	1	1
44	ту или иную	1	1
45	в процессе своего	1	1
46	так или иначе	2	1
47	в значительной степени	1	1
48	а не только	1	1
49	с одной стороны	4	1
50	в целом ряде	1	1
51	и вот в	1	1
52	более или менее	1	1
53	и т.д но	1	1
54	этой точки зрения	1	1
55	и в самом	2	1
56	не только не	1	1
57	не только в	2	1
58	может быть выражено	1	1
59	друг от друга	1	1
60	имеется в виду	1	1
61	к тому что	1	1
62	на самом деле	1	1
63	может быть в	1	1
64	во всех других	1	1
65	в своей основе	1	1
66	той или иной	2	1
