N	2gram	Tiupa_Disk_1	slovoVRo
1	и в	16	39
2	может быть	17	37
3	и его	2	33
4	то есть	20	26
5	не только	28	24
6	и не	11	22
7	говорящий человек	1	21
8	но и	14	21
9	не может	9	20
10	в нем	9	19
11	до конца	1	17
12	в этом	15	16
13	чужой речи	1	16
14	так и	8	15
15	романного жанра	1	15
16	а не	22	14
17	отличие от	5	13
18	как в	10	13
19	в процессе	5	13
20	в пределах	2	13
21	слова в	2	13
22	во всех	5	12
23	в отличие	5	12
24	в истории	4	11
25	не в	7	9
26	языка и	2	9
27	о говорящем	1	9
28	таким образом	3	8
29	оно не	2	8
30	себя в	2	8
31	прежде всего	11	8
32	слова и	1	8
33	точки зрения	3	8
34	еще не	14	7
35	с его	4	7
36	при этом	13	7
37	в этих	1	7
38	для него	4	7
39	говорящем человеке	1	7
40	никогда не	2	7
41	могут быть	4	7
42	как мы	2	7
43	в его	7	7
44	и даже	3	7
45	и потому	3	7
46	как бы	5	7
47	в сущности	2	6
48	но не	11	6
49	в своем	6	6
50	все же	3	6
51	и к	4	6
52	но в	8	6
53	так сказать	2	6
54	значительной степени	2	6
55	в них	4	6
56	в слове	1	6
57	как и	16	6
58	в значительной	2	6
59	в большинстве	1	6
60	этом случае	1	6
61	например в	2	5
62	героя и	2	5
63	человека в	2	5
64	это не	3	5
65	том что	19	5
66	по себе	3	5
67	не могут	1	5
68	но все	1	5
69	той или	3	5
70	с другой	10	5
71	романа в	1	5
72	один из	3	5
73	в том	23	5
74	с ними	1	5
75	с одной	9	5
76	уже не	4	5
77	и их	1	5
78	одной стороны	9	5
79	или иной	5	5
80	большинстве случаев	1	5
81	только в	7	5
82	и все	2	5
83	отношения к	2	4
84	и на	5	4
85	по отношению	9	4
86	отношение к	4	4
87	всех этих	1	4
88	то же	7	4
89	слова не	1	4
90	всех областях	1	4
91	с другими	1	4
92	на почве	1	4
93	в новое	1	4
94	не менее	2	4
95	в то	3	4
96	в основе	7	4
97	же время	4	4
98	во всем	1	4
99	здесь не	1	4
100	но здесь	1	4
101	наконец в	1	4
102	дело с	2	4
103	для всех	1	4
104	и других	1	4
105	и др	2	4
106	себя и	1	4
107	с помощью	1	4
108	в той	1	4
109	в основном	1	4
110	как предмет	1	4
111	в смысле	1	4
112	а в	5	4
113	отношении к	1	4
114	отношению к	9	4
115	в таком	1	4
116	как это	1	3
117	необходимо отметить	1	3
118	той же	1	3
119	говорить о	1	3
120	в чем	1	3
121	стороны и	2	3
122	перед нами	3	3
123	и как	6	3
124	не приходится	2	3
125	бы и	1	3
126	с их	1	3
127	высказываний в	1	3
128	на этом	2	3
129	не с	3	3
130	лишь в	4	3
131	с точки	1	3
132	не столько	1	3
133	связи с	4	3
134	этом отношении	1	3
135	разрыв между	1	3
136	а также	8	3
137	к нему	1	3
138	между тем	4	3
139	что и	3	3
140	быть и	1	3
141	всех его	1	3
142	или даже	2	3
143	отметить что	1	3
144	в особенности	4	3
145	здесь в	2	3
146	и создает	1	3
147	в свою	3	3
148	связано с	1	3
149	стремится к	1	3
150	как к	2	3
151	в контексте	1	3
152	и от	1	3
153	но это	1	3
154	и часто	1	3
155	что в	4	3
156	истории литературы	1	3
157	хотя бы	3	3
158	сказать что	3	3
159	речи и	1	3
160	одновременно и	2	3
161	героя в	2	3
162	во всяком	2	3
163	новое время	1	2
164	человеческой речи	1	2
165	можно говорить	1	2
166	одним из	2	2
167	также и	3	2
168	языка с	2	2
169	это и	1	2
170	в чужой	1	2
171	и само	1	2
172	мы не	1	2
173	но она	1	2
174	с ее	2	2
175	х годов	2	2
176	на них	1	2
177	не был	1	2
178	в противовес	1	2
179	но как	2	2
180	точка зрения	2	2
181	не все	1	2
182	в новом	2	2
183	жанра но	1	2
184	из важнейших	1	2
185	за пределы	2	2
186	не входят	1	2
187	с этим	3	2
188	и различные	1	2
189	хотя и	2	2
190	как уже	3	2
191	более или	2	2
192	в нашем	1	2
193	в себе	7	2
194	эпохи и	2	2
195	роль в	7	2
196	с языком	1	2
197	на его	4	2
198	он не	1	2
199	в xvii	1	2
200	в виде	1	2
201	и более	1	2
202	чужого высказывания	1	2
203	основе его	1	2
204	значение в	1	2
205	зрения на	3	2
206	оно стремится	1	2
207	здесь это	1	2
208	далеко не	10	2
209	независимо от	1	2
210	и вне	1	2
