N	3gram	Tiupa_Hudo_1	Formalny
1	не может быть	3	10
2	в связи с	1	10
3	с точки зрения	3	7
4	то же время	5	5
5	в то же	5	5
6	здесь и теперь	1	4
7	не могут быть	1	4
8	того или иного	3	4
9	и в то	1	3
10	может быть и	2	3
11	в значительной степени	1	3
12	с другой стороны	5	3
13	до известной степени	2	3
14	для того чтобы	2	3
15	прежде всего в	1	2
16	в этом смысле	3	2
17	не было и	1	2
18	в отличие от	7	2
19	в том случае	1	2
20	не входит в	1	2
21	все без исключения	1	2
22	и в этой	1	2
23	по себе а	1	2
24	в истории литературы	1	2
25	мы говорим о	1	2
26	и прежде всего	1	2
27	к тому что	2	2
28	в том что	7	2
29	в нем определенные	1	1
30	и глубже чем	1	1
31	что иное как	1	1
32	что в основе	2	1
33	иметь в виду	1	1
34	в виду что	1	1
35	тем самым по	1	1
36	как бы не	1	1
37	более или менее	5	1
38	в настоящее время	1	1
39	в этом случае	1	1
40	с одной стороны	2	1
41	в одной из	1	1
42	и соответствующих форм	1	1
43	при этом не	1	1
44	в таком случае	1	1
45	можно говорить о	1	1
46	что он не	1	1
47	является одним из	1	1
48	вследствие того что	1	1
49	из того что	1	1
50	но он не	2	1
51	речи может быть	1	1
52	с самим собою	1	1
53	в той мере	1	1
54	том или ином	1	1
55	во всей его	2	1
56	в противном случае	2	1
57	одной из своих	1	1
58	по крайней мере	1	1
59	то или иное	1	1
60	именно в этом	1	1
61	том случае если	1	1
62	события в этом	1	1
63	в том или	1	1
64	в особенности в	1	1
65	отнюдь не в	1	1
66	не совпадает с	1	1
67	к вопросу о	1	1
68	каком мы говорим	1	1
69	как один из	1	1
70	вещи но и	1	1
71	в каком мы	1	1
72	так или иначе	3	1
73	это и есть	1	1
74	бы то ни	1	1
75	мере в какой	1	1
76	высказывания как целого	1	1
77	она могла бы	1	1
78	только то что	1	1
79	есть не что	1	1
80	языка но и	1	1
81	языка не может	1	1
82	не была бы	1	1
83	имеем в виду	3	1
84	и тем самым	1	1
85	в свою очередь	2	1
86	о литературе как	1	1
87	в художественном произведении	1	1
88	мы имеем в	3	1
89	в известной степени	1	1
90	иметь место в	1	1
91	об отсутствии в	1	1
92	не что иное	1	1
93	сама по себе	2	1
94	тем не менее	3	1
95	то что они	1	1
96	той мере в	1	1
97	как и в	1	1
98	на фоне этой	1	1
99	таким образом с	1	1
