N	2gram	Vinokur_Vv_1	slovoVRo
1	и в	27	41
2	в нем	13	30
3	и т	43	28
4	т п	5	23
5	литературного языка	1	20
6	могут быть	4	19
7	во всех	2	17
8	не только	21	16
9	и не	13	16
10	точки зрения	7	16
11	языка в	4	16
12	но и	5	16
13	а не	3	15
14	то же	8	14
15	и на	3	14
16	в то	5	14
17	и его	5	14
18	может быть	24	14
19	и др	2	14
20	не может	13	14
21	слова и	1	13
22	в сущности	3	13
23	в его	10	13
24	в этом	34	12
25	до конца	3	12
26	же время	5	12
27	языка и	12	12
28	как бы	5	12
29	так и	1	11
30	язык и	3	10
31	в той	7	10
32	слово в	1	10
33	себя в	2	9
34	все эти	3	9
35	таким образом	19	9
36	языков и	2	9
37	той или	1	9
38	или иной	1	9
39	как в	1	8
40	но в	10	8
41	на его	1	8
42	с точки	2	8
43	как мы	9	8
44	в особенности	4	8
45	или в	1	8
46	слова в	1	8
47	прежде всего	8	8
48	отношение к	3	7
49	все же	8	7
50	в своей	4	7
51	не в	8	7
52	вовсе не	6	7
53	с ним	1	7
54	всех его	1	7
55	языков в	3	7
56	во всяком	3	7
57	того же	3	6
58	при этом	3	6
59	это не	8	6
60	в них	4	6
61	установка на	1	6
62	в отношении	2	6
63	слова как	2	6
64	оно не	1	6
65	только в	13	6
66	и даже	5	6
67	а в	5	6
68	отношении к	2	6
69	языку и	1	5
70	и к	1	5
71	в самом	12	5
72	так сказать	1	5
73	т д	37	5
74	с другими	1	5
75	всяком случае	3	5
76	все это	6	5
77	не на	1	5
78	в языке	1	5
79	к нему	2	5
80	с другой	8	5
81	своего предмета	1	5
82	еще более	1	5
83	одним из	5	4
84	в ней	3	4
85	меньшей степени	1	4
86	еще не	4	4
87	системы языка	1	4
88	в которой	1	4
89	не как	3	4
90	в каждом	4	4
91	и с	2	4
92	лишь в	1	4
93	входит в	2	4
94	на почве	5	4
95	как и	5	4
96	автора и	1	4
97	в их	11	4
98	к предмету	1	4
99	том же	2	4
100	преимущественно в	2	4
101	и для	4	4
102	лежит в	2	4
103	ничего не	2	4
104	язык в	1	4
105	единого и	2	4
106	большей или	2	4
107	один из	6	4
108	с одной	4	4
109	языка как	2	4
110	рядом с	2	4
111	или меньшей	2	4
112	одной стороны	4	4
113	и все	1	4
114	и от	1	4
115	кроме того	1	4
116	здесь в	1	4
117	и часто	1	4
118	быть и	2	4
119	другой стороны	5	4
120	также и	16	3
121	в первом	5	3
122	в зависимости	1	3
123	язык как	3	3
124	зависимости от	1	3
125	как таковые	1	3
126	данном случае	5	3
127	в своем	3	3
128	языка так	1	3
129	бы и	2	3
130	из этих	5	3
131	языка а	2	3
132	выражение в	1	3
133	в себе	4	3
134	вообще не	3	3
135	и сам	2	3
136	как оно	3	3
137	его в	6	3
138	было бы	5	3
139	лишь на	1	3
140	от языка	1	3
141	и прямо	1	3
142	и ее	4	3
143	от его	1	3
144	точку зрения	1	3
145	не должно	1	3
146	не могло	1	3
147	следовательно и	1	3
148	никогда не	3	3
149	в разных	5	3
150	не могут	5	3
151	к тому	4	3
152	и этим	1	3
153	к языку	1	3
154	образом в	1	3
155	но здесь	1	3
156	о том	15	3
157	все время	1	3
158	того что	12	3
159	в том	31	3
160	языка на	2	3
161	в качестве	7	3
162	и других	3	3
163	из них	3	3
164	его и	1	3
165	для него	1	3
166	так как	13	3
167	у него	1	3
168	как такового	2	3
169	именно в	8	3
170	в свою	1	3
171	не было	1	3
172	более того	1	3
173	в истории	9	3
174	философии языка	1	3
175	как сказано	2	3
176	с этим	2	3
177	в данном	11	3
178	по существу	2	3
179	с этой	4	3
180	как только	1	3
181	в результате	3	3
182	формах и	1	3
183	лишь как	2	3
184	в большей	7	3
185	хотя бы	5	3
186	язык это	1	3
187	одной из	3	3
188	с ними	1	3
189	в свое	2	3
190	которая не	1	3
191	направленности на	1	2
192	а между	1	2
193	смысле слова	7	2
194	например в	2	2
195	связана с	4	2
196	на самом	1	2
197	то в	1	2
198	в чисто	4	2
199	в котором	4	2
200	оно было	1	2
201	мы уже	1	2
202	той же	4	2
203	а как	3	2
204	мы не	2	2
205	же как	3	2
206	слово не	1	2
207	свою очередь	1	2
208	и то	5	2
209	между собой	1	2
210	в широком	7	2
211	по своему	5	2
212	различия между	1	2
213	в ее	11	2
214	но не	7	2
215	и речи	1	2
216	сих пор	5	2
217	как к	1	2
218	хотя и	3	2
219	от этой	1	2
220	от этого	5	2
221	сливается с	3	2
222	в целом	5	2
223	у каждого	1	2
224	в известном	3	2
225	и те	2	2
226	не могла	1	2
227	широком смысле	8	2
228	время и	1	2
229	перестает быть	1	2
230	как увидим	2	2
231	свои собственные	1	2
232	на этом	3	2
233	одно и	1	2
234	для них	1	2
235	действительно не	1	2
236	нисколько не	3	2
237	том что	26	2
238	в эту	1	2
239	в этих	3	2
240	могут не	1	2
241	и той	2	2
242	но он	1	2
243	не его	1	2
244	языка то	1	2
245	тому что	2	2
246	в атмосфере	1	2
247	непосредственно и	1	2
248	в самых	1	2
249	дело не	3	2
250	даже как	1	2
