N	2gram	Tiupa_Anal_3	StatiiOP
1	и в	18	44
2	в том	9	36
3	что в	9	30
4	том что	12	29
5	пушкина в	1	24
6	в этом	14	21
7	вовсе не	1	19
8	не только	22	18
9	то что	2	18
10	было бы	3	17
11	о том	6	17
12	а в	10	17
13	а не	9	16
14	и не	12	16
15	может быть	9	15
16	в данном	4	14
17	как в	3	13
18	пушкина и	2	13
19	не в	6	12
20	в тексте	9	12
21	в первой	8	12
22	самом деле	2	11
23	в этой	6	11
24	того чтобы	1	11
25	у нас	1	11
26	точки зрения	3	11
27	но в	2	10
28	для того	1	10
29	что он	4	10
30	только в	2	10
31	но и	13	10
32	как и	14	9
33	в то	3	9
34	так и	14	9
35	во второй	7	9
36	если бы	1	9
37	того что	1	9
38	в его	7	9
39	с другой	7	9
40	например в	2	8
41	во всех	2	8
42	все же	4	8
43	это не	2	8
44	с точки	2	8
45	у пушкина	3	8
46	и его	13	8
47	не может	2	8
48	что пушкин	2	8
49	я не	1	7
50	что они	3	7
51	в самом	5	7
52	в статье	1	7
53	таким образом	4	7
54	другой стороны	5	7
55	этом отношении	3	7
56	до сих	1	7
57	прежде всего	5	7
58	сих пор	1	7
59	сказать что	2	7
60	по поводу	3	7
61	на самом	1	6
62	в повестях	8	6
63	со стороны	9	6
64	из этих	3	6
65	в своей	1	6
66	потому что	1	6
67	данном случае	3	6
68	что и	5	6
69	всяком случае	2	6
70	так что	1	6
71	для него	6	6
72	именно в	3	6
73	дело в	2	6
74	в той	2	6
75	но это	1	6
76	хотя бы	1	6
77	во всяком	2	6
78	то же	3	5
79	той же	5	5
80	уже о	1	5
81	в целом	3	5
82	все эти	2	5
83	в нем	2	5
84	евгения онегина	1	5
85	и по	2	5
86	самого пушкина	3	5
87	в слове	5	5
88	не менее	4	5
89	вплоть до	2	5
90	никогда не	5	5
91	могут быть	2	5
92	пушкина не	1	5
93	тем что	2	5
94	и даже	8	5
95	там где	2	5
96	что мы	2	5
97	текста в	6	5
98	все это	3	5
99	совершенно не	2	5
100	жизни и	1	5
101	речь идет	1	4
102	как это	3	4
103	это и	2	4
104	вопрос о	1	4
105	столь же	4	4
106	в новом	2	4
107	бы и	2	4
108	на то	1	4
109	что она	2	4
110	но я	1	4
111	но если	1	4
112	и сейчас	1	4
113	времени не	1	4
114	дело не	3	4
115	же время	3	4
116	как будто	1	4
117	в ее	3	4
118	что у	1	4
119	заключается в	1	4
120	во втором	4	4
121	этот вопрос	1	4
122	в качестве	12	4
123	как раз	7	4
124	не было	3	4
125	к которому	1	4
126	на эту	2	4
127	в частности	12	4
128	как бы	10	4
129	тем более	1	4
130	или иного	1	4
131	того или	1	4
132	гораздо более	2	4
133	я уже	1	3
134	того же	5	3
135	и без	3	3
136	тем же	1	3
137	в ней	2	3
138	еще не	6	3
139	он был	1	3
140	из двух	1	3
141	своего рода	8	3
142	но не	7	3
143	не все	1	3
144	ответ на	3	3
145	по отношению	7	3
146	в истории	1	3
147	с этим	3	3
148	как к	2	3
149	что касается	3	3
150	говорит что	1	3
151	то в	2	3
152	во многих	1	3
153	в каждом	3	3
154	пушкина к	1	3
155	в другом	1	3
156	будто в	1	3
157	лишь в	5	3
158	даже в	2	3
159	о которой	2	3
160	что не	3	3
161	повестях по	1	3
162	в г	1	3
163	прижизненных изданиях	1	3
164	в конце	5	3
165	в основе	1	3
166	этих двух	1	3
167	очень часто	1	3
168	для пушкина	2	3
169	в применении	1	3
170	для себя	1	3
171	об этом	2	3
172	поэтому в	2	3
173	внимание на	4	3
174	тем или	2	3
175	которых в	1	3
176	между тем	5	3
177	и только	1	3
178	но с	2	3
179	и так	1	3
180	по этому	1	3
181	в уста	1	3
182	с одной	2	3
183	вопроса о	2	3
184	в начале	6	3
185	а именно	1	3
186	а с	1	3
187	говорит о	2	3
188	на этот	1	3
189	применении к	1	3
190	в тех	2	3
191	да и	2	3
192	с этой	1	3
193	не является	5	3
194	и для	2	3
195	в результате	5	3
196	или иным	2	3
197	будто бы	1	3
198	отношению к	7	3
199	пушкина а	2	3
200	в таком	1	3
201	отношения к	2	2
202	мере в	2	2
203	в первом	2	2
204	по его	3	2
205	мы имеем	5	2
206	мы не	3	2
207	в сущности	5	2
208	совпадает с	1	2
209	текста с	4	2
210	как правило	5	2
211	отношение к	1	2
212	евгений онегин	1	2
213	за пределы	1	2
214	идет о	1	2
215	более чем	2	2
216	в своем	4	2
217	есть в	1	2
218	в прижизненных	1	2
219	к числу	2	2
220	от этого	1	2
221	так или	1	2
222	бы не	1	2
223	раз в	1	2
224	в себе	2	2
225	не могла	2	2
226	в случае	5	2
227	при этом	11	2
228	он не	6	2
229	всех этих	1	2
230	свою собственную	1	2
231	чем у	1	2
232	ни были	1	2
233	свое время	2	2
234	его в	3	2
235	не всегда	3	2
236	в москве	1	2
237	места в	1	2
238	никаких оснований	1	2
239	далее в	1	2
240	бы мы	1	2
241	втором случае	1	2
242	произведения в	1	2
243	тем самым	4	2
244	дело когда	1	2
245	как можно	1	2
246	как о	1	2
247	на него	1	2
248	говорить о	3	2
249	случае не	1	2
250	судя по	2	2
251	ничего не	3	2
252	имеем дело	4	2
253	стола и	1	2
254	тем не	2	2
255	пушкина что	2	2
256	что на	1	2
257	тему в	1	2
258	ли не	4	2
259	что при	1	2
260	ср с	1	2
261	и сам	4	2
262	для этого	1	2
263	то есть	10	2
264	а также	2	2
265	должно было	1	2
266	и все	2	2
267	а потому	1	2
268	отметить что	1	2
269	крайней мере	4	2
270	статье о	1	2
271	более что	1	2
272	по своей	2	2
273	д и	1	2
274	со всеми	2	2
275	оказывается в	1	2
276	и у	1	2
277	уже в	3	2
278	если в	3	2
279	который как	2	2
280	одно из	1	2
281	могло бы	1	2
282	не для	2	2
283	у него	1	2
284	бы это	1	2
285	или иначе	1	2
286	еще и	3	2
287	превращается в	1	2
288	одной стороны	2	2
289	однако и	3	2
290	по крайней	4	2
291	его собственной	1	2
292	который не	2	2
293	стороны в	1	2
294	что во	1	2
295	и потому	2	2
296	и их	1	2
297	а если	1	2
298	такого рода	5	2
299	первой строфе	3	2
300	я с	2	2
301	этого слова	2	2
302	в свое	2	2
303	этом случае	1	2
304	между прочим	1	2
305	и тогда	1	2
306	ни одного	1	2
307	хотя в	2	2
308	в равной	1	2
309	несмотря на	2	2
310	дело с	3	2
311	не знает	1	2
312	занимает в	1	2
313	в своих	1	2
314	а между	1	1
315	пушкинского творчества	1	1
316	ей пришлось	1	1
317	как известно	1	1
318	многих отношениях	1	1
319	и есть	1	1
320	здесь и	3	1
321	сказано что	1	1
322	на две	1	1
323	из его	1	1
324	этому пути	1	1
325	видеть в	2	1
326	едва ли	3	1
327	остальных его	1	1
328	если к	1	1
329	в зависимости	1	1
330	анекдот не	1	1
331	его не	3	1
332	вот о	1	1
333	с текстом	1	1
334	от друга	1	1
335	восходящие к	1	1
336	как я	1	1
337	зависимости от	1	1
338	из перечисленных	1	1
339	революции в	1	1
340	во мне	1	1
341	и самого	6	1
342	и на	4	1
343	на них	1	1
344	между собой	1	1
345	время в	1	1
346	с его	8	1
347	б с	1	1
348	но как	3	1
349	только при	1	1
350	в стихе	2	1
351	должны были	1	1
352	очевидно что	2	1
353	друг от	1	1
354	и стиха	1	1
355	знакомства с	1	1
356	пушкинских текстах	1	1
357	это тот	1	1
358	как говорит	3	1
359	является к	1	1
360	оказывается не	1	1
361	каждая из	1	1
362	в пушкинскую	1	1
363	этой стороны	1	1
364	перед нами	4	1
365	хотя и	2	1
366	что по	4	1
367	пушкинскую эпоху	1	1
368	и к	4	1
369	в ожидании	1	1
370	или иную	1	1
371	момент его	1	1
372	тут и	1	1
373	так в	3	1
374	право на	1	1
375	но без	1	1
376	в известном	1	1
377	с их	3	1
378	и до	1	1
379	за рамки	1	1
380	русской но	1	1
381	что каждая	1	1
382	время и	1	1
383	и частично	1	1
384	с именем	1	1
385	не как	2	1
386	и вот	2	1
387	нашего времени	3	1
388	именно такова	1	1
389	какой бы	1	1
390	этой поэмы	1	1
391	этот тезис	1	1
392	но дело	1	1
393	без исключения	3	1
394	ни был	1	1
395	такого же	1	1
396	значительной степени	2	1
397	в одну	1	1
398	в безударном	1	1
399	могла бы	2	1
400	безударном положении	1	1
401	отдельных случаях	1	1
402	а по	1	1
403	слов о	1	1
404	этой традиции	1	1
405	входит в	2	1
406	это было	1	1
407	в глазах	2	1
408	только одно	1	1
409	в них	2	1
410	о которых	2	1
411	далеко не	4	1
412	с тем	2	1
413	место и	1	1
414	во внимание	1	1
415	которой он	1	1
416	иначе говоря	2	1
417	мере не	1	1
418	в один	1	1
419	на себя	2	1
420	со всей	1	1
421	не вина	1	1
422	бы на	1	1
423	от своего	1	1
424	не становится	1	1
425	место в	1	1
426	не столько	3	1
427	от себя	1	1
428	одном из	1	1
429	том чтобы	1	1
430	что было	1	1
431	доказывает что	2	1
432	однако в	5	1
433	не должно	3	1
