N	3gram	Trubetskoy_1	Problemy
1	в то же	2	10
2	то же время	2	10
3	с самого начала	2	8
4	по отношению к	1	6
5	мы уже говорили	1	5
6	друг с другом	5	4
7	но в то	1	4
8	во всяком случае	6	4
9	той или иной	2	4
10	бы то ни	2	3
11	в конце концов	3	3
12	с другой стороны	1	3
13	то ни было	2	3
14	к тому же	4	3
15	а между тем	1	3
16	друг к другу	1	3
17	не может быть	1	3
18	так и в	1	2
19	и в этом	2	2
20	ни было в	1	2
21	друг на друга	2	2
22	именно потому что	1	2
23	смысле этого слова	1	2
24	в том что	3	2
25	в отличие от	1	2
26	но все же	4	2
27	все это было	1	2
28	но в общем	1	2
29	с точки зрения	6	2
30	и что он	1	2
31	на этот раз	1	2
32	и в то	1	2
33	в слове о	1	2
34	больше никогда не	1	1
35	о том что	4	1
36	о мире как	1	1
37	мы должны признать	2	1
38	не только для	2	1
39	о том как	1	1
40	всяком случае в	1	1
41	в эту сторону	1	1
42	том или ином	1	1
43	всяком случае не	3	1
44	мы видели что	1	1
45	не только не	1	1
46	но и для	2	1
47	с ними в	1	1
48	но тем не	1	1
49	для того чтобы	5	1
50	потому что в	1	1
51	он как бы	1	1
52	до сих пор	5	1
53	можно сказать что	2	1
54	между тем с	1	1
55	из которых каждый	1	1
56	что и в	1	1
57	же время он	1	1
58	может и не	1	1
59	во всей своей	1	1
60	то же самое	2	1
61	как бы в	1	1
62	в то время	1	1
63	то что он	2	1
64	сих пор еще	2	1
65	них как на	1	1
66	но в конце	1	1
67	главным образом в	3	1
68	лицом к лицу	1	1
69	а так как	3	1
70	и заставляет его	1	1
71	заключает в себе	2	1
72	одного и того	1	1
73	в этом отношении	2	1
74	все более и	1	1
75	в самом деле	1	1
76	между этими двумя	2	1
77	и вместе с	4	1
78	вместе с тем	8	1
79	в том или	1	1
80	иной характер носят	2	1
81	в свою очередь	1	1
82	это как не	1	1
83	в этом направлении	1	1
84	должны признать что	2	1
85	может быть и	2	1
86	несколько иной характер	1	1
87	на них как	1	1
88	тем не менее	3	1
89	но для этого	1	1
90	более и более	1	1
91	в данном случае	1	1
92	и того же	1	1
93	по крайней мере	5	1
