N	2gram	Tiupa_Anal_3	Stilisti
1	и в	18	42
2	не только	22	27
3	как бы	10	27
4	и т.п	5	24
5	прежде всего	5	22
6	и т.д	2	20
7	хотя бы	1	17
8	то же	3	15
9	но и	13	15
10	и не	12	14
11	не может	2	12
12	может быть	9	12
13	мы уже	1	11
14	как и	14	11
15	точки зрения	3	11
16	отнюдь не	4	10
17	в этом	14	10
18	и как	4	10
19	как мы	1	10
20	мы должны	1	10
21	что мы	2	10
22	мы не	3	9
23	при этом	11	9
24	в то	3	9
25	для того	1	9
26	то что	2	9
27	в ней	2	8
28	все же	4	8
29	в себе	2	8
30	таким образом	4	8
31	тем самым	4	8
32	с тем	2	8
33	речевого общения	1	8
34	в зависимости	1	7
35	зависимости от	1	7
36	и на	4	7
37	было бы	3	7
38	никогда не	5	7
39	же время	3	7
40	потому что	1	7
41	того чтобы	1	7
42	ничего не	3	7
43	с его	8	7
44	только в	2	7
45	и его	13	7
46	мы можем	2	7
47	а не	9	7
48	и от	2	7
49	во всех	2	6
50	мы будем	1	6
51	в этой	6	6
52	на его	2	6
53	в нем	2	6
54	не в	6	6
55	или как	1	6
56	когда мы	2	6
57	так и	14	6
58	в форме	2	6
59	и так	1	6
60	в конце	5	6
61	или иной	5	6
62	в свою	5	6
63	той же	5	5
64	обратное влияние	1	5
65	уже в	3	5
66	в той	2	5
67	независимо от	1	5
68	того или	1	5
69	же мы	1	5
70	с точки	2	5
71	и той	2	5
72	а в	10	5
73	не является	5	5
74	те же	2	5
75	в его	7	5
76	и является	1	5
77	и их	1	5
78	слова в	1	5
79	с помощью	1	5
80	вместе с	2	5
81	как это	3	5
82	своей жизни	1	5
83	высказывания но	1	5
84	или иного	1	5
85	самом деле	2	4
86	или иную	1	4
87	тем же	1	4
88	себя в	4	4
89	и к	4	4
90	но в	2	4
91	в самом	5	4
92	так сказать	2	4
93	уже не	5	4
94	всех своих	1	4
95	в каждом	3	4
96	его в	3	4
97	ту или	1	4
98	и без	3	4
99	на него	1	4
100	у нас	1	4
101	его внутренней	1	4
102	к тому	6	4
103	той или	3	4
104	свою очередь	4	4
105	если бы	1	4
106	о том	6	4
107	можно сказать	4	4
108	того что	1	4
109	один из	2	4
110	с появлением	2	4
111	в качестве	12	4
112	вопроса о	2	4
113	были бы	3	4
114	о своей	2	4
115	связаны с	1	4
116	а с	1	4
117	в слове	5	4
118	то есть	10	4
119	не что	1	4
120	все это	3	4
121	бы в	1	4
122	отношения к	2	3
123	на самом	1	3
124	и само	1	3
125	еще не	6	3
126	ответ на	3	3
127	знакомства с	1	3
128	перед нами	4	3
129	хотя и	2	3
130	мертвых душ	1	3
131	та же	1	3
132	вследствие этого	1	3
133	и вот	2	3
134	здесь мы	1	3
135	не будет	3	3
136	об этом	2	3
137	связанных с	1	3
138	лишь в	5	3
139	это не	2	3
140	чаще всего	1	3
141	не мог	2	3
142	том что	12	3
143	бы мы	1	3
144	общий смысл	1	3
145	что было	1	3
