N	2gram	Voloshinov_1	formyVre
1	и в	3	46
2	не только	1	11
3	точки зрения	1	10
4	но и	1	9
5	и не	1	9
6	связи с	1	8
7	то же	1	8
8	в его	1	8
9	с точки	1	8
10	вещей и	1	7
11	и на	1	7
12	может быть	1	7
13	и все	1	6
14	в особенности	1	6
15	в то	1	5
16	же время	1	4
17	из этих	1	4
18	а не	1	4
19	для него	1	3
20	нет и	1	3
21	к тому	1	3
22	не может	4	2
23	если в	2	2
24	и должно	1	2
25	один из	2	2
26	мы видим	1	2
27	его от	1	1
28	может не	1	1
29	исходя из	1	1
30	этой проблемы	1	1
31	тех же	1	1
32	бы на	1	1
33	ставить в	1	1
34	и больше	1	1
35	конечно и	1	1
36	права и	1	1
37	смысл и	1	1
38	бы в	1	1
39	тому что	1	1
40	в системе	1	1
41	лучше всего	1	1
42	в каждом	1	1
43	ни один	1	1
44	вопросов мы	1	1
45	и школы	2	1
46	несмотря на	1	1
47	если бы	1	1
48	в ней	1	1
