N	4gram	Propp_Isto_3	EvropaiC
1	до сих пор не	1	4
2	отличаются друг от друга	1	3
3	заключается в том что	1	3
4	следить за тем чтобы	1	1
5	на все эти вопросы	1	1
6	которые не находят себе	1	1
7	как мы видели выше	1	1
8	мы уже знаем что	1	1
9	это может быть и	1	1
10	выше мы видели что	1	1
11	в то время как	2	1
12	одной и той же	1	1
13	но вместе с тем	1	1
14	состоит в том что	2	1
15	образом мы видим что	1	1
16	и так или иначе	1	1
17	таким образом мы видим	1	1
18	что в данном случае	1	1
19	в этом случае мы	1	1
20	в тех случаях когда	1	1
