N	3gram	Losev_Dial_1	Otkroven
1	в нем нет	3	3
2	для того чтобы	1	3
3	что же это	1	2
4	и в этом	3	2
5	это было бы	1	2
6	не может быть	3	2
7	же это за	1	2
8	есть лишь движение	1	1
9	и ни с	1	1
10	больше всего в	1	1
11	по сравнению с	2	1
12	как например в	1	1
13	хотя и не	1	1
14	не в том	1	1
15	друг к другу	2	1
16	только и состоит	1	1
17	свое учение о	2	1
18	я имею в	1	1
19	в самом деле	1	1
20	после этого только	1	1
21	это не есть	1	1
22	и не самое	1	1
23	никто не может	1	1
24	веры а не	1	1
25	да и то	3	1
26	должно быть ясно	1	1
27	и вот оказывается	1	1
28	вот оказывается что	1	1
29	эта не может	1	1
30	имею в виду	1	1
31	во всяком случае	2	1
32	сам по себе	6	1
33	само по себе	5	1
34	о том что	2	1
35	в этом отношении	2	1
36	ко всему этому	1	1
37	ни с какой	4	1
38	со всей ее	1	1
39	каждом из них	1	1
40	в том что	7	1
41	но от этого	1	1
42	на то что	4	1
43	и не в	1	1
44	в каждом из	2	1
45	друг с другом	1	1
46	что это за	1	1
47	бы и не	1	1
48	плоти и крови	1	1
49	а не только	1	1
50	хотя бы даже	1	1
51	ничто не может	1	1
52	не есть просто	1	1
