N	3gram	Berdyaev_O_1	Problemy
1	сам по себе	1	5
2	и не может	1	4
3	как и все	2	4
4	не может быть	2	4
5	друг с другом	1	4
6	в самом деле	1	4
7	как бы в	1	4
8	как и в	1	3
9	хотя и не	1	2
10	почему же не	1	2
11	для своих целей	1	2
12	друг к другу	1	2
13	и в самой	2	2
14	в романах достоевского	3	2
15	на то что	1	2
16	о том как	1	1
17	в этом мире	2	1
18	им для своих	1	1
19	он сам и	1	1
20	а вовсе не	1	1
21	прежде всего в	1	1
22	из подполья и	3	1
23	и к нему	1	1
24	знает может быть	1	1
25	творчестве он прежде	1	1
26	себе что он	1	1
27	он не только	1	1
28	своем художественном творчестве	2	1
29	и человеческих отношений	1	1
30	достоевский прежде всего	2	1
31	у него в	5	1
32	у него не	2	1
33	но и в	2	1
34	и не в	1	1
35	в своем художественном	2	1
36	смысле этого слова	1	1
37	униженным и оскорбленным	1	1
38	во всяком случае	1	1
39	и в том	1	1
40	вместо того чтобы	1	1
41	всех произведений достоевского	1	1
42	о том что	1	1
43	между этими двумя	1	1
44	у достоевского он	1	1
45	человека он не	1	1
46	в этом он	2	1
47	он прежде всего	2	1
48	само по себе	1	1
49	ивана карамазова в	1	1
50	все герои достоевского	4	1
51	он никогда не	1	1
52	он говорит в	1	1
53	нет объективного изображения	1	1
54	самим собой в	1	1
55	у достоевского нет	1	1
56	после того как	1	1
57	в каждом из	1	1
58	в том что	1	1
59	и все что	1	1
60	не приходит в	1	1
61	в публицистических статьях	1	1
62	но к этому	1	1
