N	2gram	Berdyaev_N_1	Formalny
1	и в	16	24
2	в его	1	23
3	прежде всего	4	22
4	и не	11	20
5	так и	2	18
6	и пр	3	17
7	не может	16	16
8	в этом	7	15
9	в нем	5	14
10	может быть	7	14
11	в своем	1	11
12	как и	7	11
13	в своей	3	11
14	не менее	4	11
15	должно быть	4	11
16	социальной жизни	1	11
17	в ней	5	10
18	и его	1	10
19	и их	1	10
20	а не	17	10
21	в то	2	9
22	и потому	4	9
23	все это	5	9
24	и на	2	8
25	как в	3	8
26	и с	2	8
27	лишь в	6	8
28	не в	6	8
29	в ее	3	8
30	то что	4	8
31	в свою	1	8
32	должна быть	3	7
33	с ее	5	7
34	не только	5	7
35	место в	2	7
36	не должна	1	7
37	жизни и	8	7
38	и от	2	7
39	но и	3	7
40	еще не	3	6
41	все эти	2	6
42	в этой	1	6
43	она не	3	6
44	до сих	1	6
45	в том	8	6
46	было бы	1	6
47	как это	2	6
48	сих пор	1	6
49	и все	4	6
50	а в	2	6
51	хотя бы	2	5
52	во всех	3	5
53	но в	2	5
54	в самом	1	5
55	по себе	1	5
56	и истории	1	5
57	и до	1	5
58	у нас	1	5
59	должны быть	1	5
60	должен быть	5	5
61	с другой	3	5
62	формы и	2	5
63	на западе	1	4
64	с его	6	4
65	в истории	3	4
66	и к	5	4
67	в которой	1	4
68	в мире	3	4
69	с другими	1	4
70	друг друга	1	4
71	как на	1	4
72	оно не	1	4
73	никогда не	6	4
74	для этого	2	4
75	познания и	2	4
76	в формах	1	4
77	всяком случае	1	4
78	с одной	2	4
79	конечно не	3	4
80	одной стороны	2	4
81	что в	9	4
82	к этой	1	4
83	так же	2	4
84	во всяком	1	4
85	культуры и	7	3
86	это и	2	3
87	и изнутри	1	3
88	мы не	2	3
89	зависимости от	1	3
90	но не	2	3
91	значение и	1	3
92	в себе	2	3
93	человек не	1	3
94	он не	8	3
95	перестает быть	4	3
96	оно должно	1	3
97	значение в	1	3
98	в социальной	1	3
99	в жизни	5	3
100	в них	4	3
101	они не	1	3
102	но для	2	3
103	в основе	3	3
104	не по	1	3
105	к тому	3	3
106	и извне	1	3
107	в большинстве	1	3
108	не для	1	3
109	и даже	2	3
110	в области	1	3
111	бытия в	2	3
112	не было	4	3
113	в россии	3	3
114	ничем не	1	3
115	но это	6	3
116	она должна	1	3
117	от всех	1	3
118	что он	1	3
119	думать что	2	3
120	же как	2	2
121	и это	2	2
122	в зависимости	1	2
123	вопрос о	3	2
124	менее всего	1	2
125	нет и	2	2
126	за пределы	3	2
127	с этим	2	2
128	к новому	7	2
129	к отрицанию	1	2
130	от этого	1	2
131	он в	1	2
132	эпохи и	4	2
133	не могла	2	2
134	том чтобы	2	2
135	и более	1	2
136	но ведь	1	2
137	но все	1	2
138	это не	4	2
139	в новое	3	2
140	ни в	6	2
141	с тем	3	2
142	и техники	1	2
143	в эту	1	2
144	значение для	1	2
145	мысли в	2	2
146	жизни не	3	2
147	одна из	2	2
148	к ней	1	2
149	во всем	1	2
150	от того	1	2
151	и заключается	2	2
152	от нее	1	2
153	не есть	3	2
154	приводит к	1	2
155	на нее	1	2
156	не с	1	2
157	господствующей в	1	2
158	еще в	1	2
159	с ним	1	2
160	и должно	2	2
161	на их	1	2
162	и что	2	2
163	все в	1	2
164	только в	1	2
165	и исключительно	1	2
166	уже не	2	2
167	большинстве случаев	1	2
168	сами по	1	2
169	перейти к	3	2
170	лишь для	1	2
171	социальная жизнь	1	2
172	вопрос об	1	2
173	не на	1	2
174	все время	2	2
175	есть лишь	4	2
176	все более	1	2
177	вступает в	1	2
178	вместе с	2	2
179	и особенно	1	2
180	по существу	2	2
181	мире а	1	2
182	к которому	1	2
183	совершается в	1	2
184	жизни в	3	2
185	ко времени	1	2
186	что такое	3	2
187	новое время	4	1
188	смысле слова	3	1
189	и через	1	1
190	к вопросу	1	1
191	он может	1	1
192	или к	1	1
193	и есть	10	1
194	эпоху и	1	1
195	по преимуществу	1	1
196	также что	1	1
197	в нашу	2	1
198	высшей степени	6	1
199	и этот	1	1
200	мы уже	1	1
201	со всех	4	1
202	не во	4	1
203	это делали	1	1
204	должна обнаружиться	1	1
205	был понят	1	1
206	но под	1	1
207	должны занять	1	1
208	из ее	2	1
209	всех сторон	4	1
210	это время	1	1
211	той роли	1	1
212	и индивидуальности	2	1
213	дальнейшее развитие	1	1
214	в материальную	1	1
215	xix века	5	1
216	не был	1	1
217	в чем	1	1
218	совсем не	12	1
219	с кризисом	1	1
220	не через	1	1
221	глубже чем	1	1
222	хотя и	2	1
223	в этот	1	1
224	о самом	1	1
225	из этих	1	1
226	с их	2	1
227	особое место	1	1
228	творчества и	1	1
229	к единству	1	1
230	быть только	1	1
231	идей и	1	1
232	в статье	1	1
233	не значит	3	1
234	этого нельзя	1	1
235	к одному	1	1
236	вообще не	1	1
237	нашего времени	2	1
238	том и	2	1
239	всех своих	1	1
240	людей и	1	1
241	в нее	1	1
242	это конечно	1	1
243	может остаться	1	1
244	и русский	1	1
245	искусство не	1	1
246	к природе	1	1
247	делается в	1	1
248	этом смысле	2	1
249	лишь на	1	1
250	для них	1	1
251	сами эти	1	1
252	этого она	1	1
253	нет в	1	1
254	в высшей	6	1
255	этого не	1	1
256	новые формы	1	1
257	он и	1	1
258	формы познания	1	1
259	такой же	2	1
260	в этих	1	1
261	к тем	1	1
262	она сама	1	1
263	и культуры	2	1
264	знаний о	1	1
265	в такой	1	1
266	в котором	1	1
267	бы к	1	1
