N	3gram	Tiupa_Hudo_1	Tvorches
1	в то же	5	13
2	то же время	5	12
3	в том что	7	6
4	о том что	1	5
5	в преступлении и	1	4
6	в конечном счете	5	4
7	у достоевского в	1	3
8	преступлении и наказании	1	3
9	в соответствии с	1	3
10	по сути дела	1	3
11	в одной из	1	2
12	является одним из	1	2
13	точно так же	1	2
14	по крайней мере	1	2
15	в каждом человеке	1	2
16	можно сказать что	3	2
17	и в то	1	2
18	в русской литературе	2	2
19	тем не менее	3	2
20	человека и его	1	2
21	что иное как	1	1
22	может быть определен	1	1
23	и того же	2	1
24	как один из	1	1
25	имеем в виду	3	1
26	в настоящее время	1	1
27	то же самое	1	1
28	может быть назван	1	1
29	те и другие	1	1
30	по отношению к	9	1
31	что он не	1	1
32	в отличие от	7	1
33	только то что	1	1
34	не могут быть	1	1
35	бы то ни	1	1
36	заключает в себе	1	1
37	с самим собой	1	1
38	же время они	1	1
39	перед тем как	1	1
40	ту или иную	1	1
41	войне и мире	2	1
42	отношений между людьми	1	1
43	и со всеми	1	1
44	то ни было	1	1
45	с одной стороны	2	1
46	в известном смысле	1	1
47	в связи с	1	1
48	а на деле	2	1
49	то что может	1	1
50	свое я в	1	1
51	по себе а	1	1
52	в войне и	2	1
53	заключается в том	1	1
54	в свою очередь	2	1
55	становится самим собой	1	1
56	ту же самую	1	1
57	и в самом	1	1
58	мы имеем в	3	1
59	с другой стороны	5	1
60	одного и того	2	1
61	таким образом и	1	1
62	не что иное	1	1
63	к тому что	2	1
64	в отношении к	1	1
65	к вопросу о	1	1
66	добро и зло	1	1
67	как и в	1	1
68	и те и	1	1
69	на первый взгляд	1	1
70	дело не в	1	1
71	к тому же	1	1
72	является как бы	1	1
