N	3gram	Potebnia_M_3	EvropaiC
1	в том что	16	16
2	до сих пор	3	12
3	по отношению к	5	10
4	друг с другом	1	9
5	а между тем	2	7
6	на самом деле	1	7
7	более или менее	3	7
8	на то что	1	7
9	друг от друга	1	6
10	что касается до	1	6
11	для того чтобы	3	6
12	в самом деле	1	5
13	лишь в том	1	5
14	в том случае	1	4
15	к тому же	1	4
16	с другой стороны	4	4
17	не может быть	3	4
18	о том что	1	4
19	тем не менее	3	4
20	с течением времени	1	4
21	в том же	2	3
22	не подлежит сомнению	1	3
23	и то что	1	3
24	в данном случае	1	3
25	так или иначе	1	3
26	таким образом в	1	3
27	заключается в том	1	3
28	в том виде	1	2
29	и может быть	2	2
30	том что он	2	2
31	и все что	1	2
32	только то что	1	2
33	заключает в себе	5	2
34	то же время	5	2
35	рано или поздно	1	2
36	вместе с тем	4	2
37	именно потому что	1	2
38	каждый из этих	1	2
39	с одной стороны	3	2
40	в такой форме	1	2
41	на себе отпечаток	1	2
42	как и в	2	2
43	в свою очередь	3	2
44	ничего общего с	1	2
45	случае если бы	1	2
46	в то же	5	2
47	и в том	2	2
48	следует искать объяснения	1	1
49	заключающие в себе	1	1
50	силу не только	1	1
51	или лучше сказать	2	1
52	того что в	1	1
53	не только по	3	1
54	и то же	5	1
55	а потому и	1	1
56	а не в	1	1
57	то время как	1	1
58	мы можем не	1	1
59	это было бы	1	1
60	мы уже сказали	1	1
61	не говоря уже	1	1
62	в этом последнем	2	1
63	что для этого	1	1
64	так что в	1	1
65	то же самое	1	1
66	сих пор еще	1	1
67	друг в друге	1	1
68	между тем в	1	1
69	только в том	3	1
70	говоря уже о	1	1
71	между собою в	1	1
72	у него в	1	1
73	лишь тогда когда	1	1
74	что все эти	1	1
75	а может быть	1	1
76	из того что	1	1
77	и если бы	1	1
78	за то что	1	1
79	на каждом шагу	1	1
80	которые не могут	1	1
81	по крайней мере	5	1
82	одно и то	5	1
83	тогда и в	1	1
84	так как все	1	1
85	во-первых потому что	1	1
86	ясно что и	1	1
87	с такою же	1	1
88	не заключающие в	1	1
89	может быть не	1	1
90	мы не знаем	2	1
91	таким образом и	1	1
92	на первый взгляд	1	1
93	с одной и	2	1
94	том что как	1	1
95	в общих чертах	1	1
96	может быть сомнения	1	1
97	мы видели выше	1	1
98	в его сознании	1	1
99	в себе больше	1	1
100	не в том	5	1
101	или вовсе не	1	1
102	если бы при	1	1
103	но и с	1	1
104	в одно целое	1	1
105	но вместе с	2	1
106	и той же	2	1
107	со своей стороны	1	1
108	все то что	1	1
109	разница только в	1	1
110	именно в том	2	1
111	и таким образом	1	1
112	а в том	5	1
113	другой стороны но	1	1
114	то увидим что	1	1
115	гораздо сложнее и	1	1
116	в первое время	2	1
117	до тех пор	1	1
118	в то время	4	1
119	приходит к сознанию	1	1
120	не принадлежат к	1	1
121	как бы ни	2	1
122	смысле этого слова	7	1
123	и художественное произведение	1	1
124	есть одно из	2	1
125	не только не	2	1
126	мало того что	1	1
127	так же мало	1	1
128	тем более что	1	1
129	только что сказанное	1	1
130	сказать что при	1	1
131	к тому что	2	1
132	одной и той	2	1
133	как мы видели	1	1
134	художественное произведение и	1	1
135	с к этому	1	1
136	те же самые	1	1
137	этого слова что	1	1
138	только тогда когда	7	1
139	том что только	1	1
140	того же что	1	1
141	и проч но	1	1
142	том что оно	2	1
