N	2gram	Berdyaev_M_2	SlovoVZh
1	не может	15	16
2	может быть	21	14
3	точки зрения	2	14
4	как бы	8	13
5	и его	5	13
6	и в	46	12
7	по отношению	2	11
8	в нашем	7	11
9	отношению к	2	11
10	и не	18	10
11	если бы	3	9
12	так как	8	9
13	прежде всего	12	8
14	сказать что	3	7
15	в ней	11	6
16	в том	3	6
17	только в	3	6
18	в нем	22	6
19	все время	2	6
20	должна быть	1	5
21	то же	5	5
22	как в	7	5
23	но в	10	5
24	в жизни	4	5
25	а не	13	5
26	как и	13	5
27	том что	4	5
28	никогда не	18	5
29	хотя бы	7	5
30	то что	5	5
31	на самом	1	4
32	к нему	2	4
33	за пределы	1	4
34	в этом	20	4
35	в самом	5	4
36	уже не	4	4
37	не только	18	4
38	отношение к	8	4
39	от того	3	4
40	так и	4	4
41	с другой	1	4
42	что не	2	4
43	не в	9	4
44	его в	3	4
45	и к	7	4
46	жизни и	6	4
47	и на	3	4
48	самом деле	1	3
49	формы и	1	3
50	в котором	1	3
51	в пределах	1	3
52	ведь и	1	3
53	мы не	1	3
54	о том	3	3
55	но и	15	3
56	между тем	2	3
57	того что	6	3
58	быть и	2	3
59	когда он	1	3
60	и ее	1	3
61	все эти	1	3
62	в себе	10	3
63	да и	2	3
64	в творчестве	3	3
65	для него	18	3
66	он должен	1	3
67	не к	2	3
68	и с	3	3
69	до сих	3	3
70	ни в	3	3
71	в них	3	3
72	и уже	1	3
73	в своей	5	3
74	так же	6	3
75	в такой	3	3
76	как к	2	3
77	и более	1	3
78	из этого	1	3
79	по себе	2	3
80	сих пор	3	3
81	все это	1	3
82	но для	2	3
83	и для	7	3
84	ее и	2	3
85	с ним	3	3
86	отношении к	3	3
87	от этой	2	2
88	как не	1	2
89	и то	1	2
90	и самое	2	2
91	те же	5	2
92	вещи и	1	2
93	по природе	1	2
94	и здесь	6	2
95	не способен	5	2
96	и та	2	2
97	с его	4	2
98	и что	2	2
99	оценок и	1	2
100	в чем	3	2
101	тем как	1	2
102	в его	5	2
103	что и	4	2
104	независимо от	1	2
105	в своем	8	2
106	социальной среды	1	2
107	его к	1	2
108	в какой	1	2
109	и потому	7	2
110	лежит на	1	2
111	бы не	2	2
112	уже в	2	2
113	и те	2	2
114	он не	10	2
115	перестает быть	1	2
116	не так	3	2
117	но что	1	2
118	но все	1	2
119	любит и	2	2
120	на все	3	2
121	на примере	1	2
122	это не	5	2
123	до известной	1	2
124	оно не	2	2
125	себя и	3	2
126	до конца	4	2
127	была бы	1	2
128	я ты	1	2
129	в момент	1	2
130	связь с	1	2
131	нет ничего	3	2
132	ни на	1	2
133	вместе с	2	2
134	можно найти	1	2
135	в отношении	5	2
136	место в	2	2
137	с этой	1	2
138	она не	8	2
139	с точки	1	2
140	в атмосфере	2	2
141	тогда когда	2	2
142	за его	1	2
143	ничего не	2	2
144	а к	1	2
145	и все	5	2
146	все они	1	2
147	в этих	2	2
148	есть уже	4	2
149	но это	8	2
150	человеческого общества	2	2
151	между ними	1	2
152	от всех	1	2
153	но этот	2	2
154	что в	4	2
155	как на	1	2
156	не есть	13	2
157	к этому	1	2
158	а между	1	1
159	и это	5	1
160	ней более	1	1
161	же как	3	1
162	чтобы не	3	1
163	совпадают с	1	1
164	момент в	3	1
165	сам по	2	1
166	это и	3	1
167	свои права	1	1
168	и марксистский	1	1
169	не хочет	1	1
170	когда человек	2	1
171	по преимуществу	5	1
172	проникает в	1	1
173	дано в	1	1
174	не имеют	2	1
175	высшей степени	3	1
176	с таким	2	1
177	можно было	2	1
178	этом направлении	1	1
179	было в	3	1
180	жизнь и	4	1
181	та же	10	1
182	на что	1	1
183	для этого	4	1
184	к другу	5	1
185	на себя	1	1
186	полное и	1	1
187	не знают	1	1
188	и он	11	1
189	на них	1	1
190	и кровь	1	1
191	и который	1	1
192	на их	1	1
193	со словами	1	1
194	в значительной	1	1
195	во всех	2	1
196	и во	3	1
197	все в	1	1
198	жизни он	3	1
199	друг к	5	1
200	то в	2	1
201	от его	2	1
202	к которой	3	1
203	теряет свой	1	1
204	сознания не	1	1
205	менее всего	3	1
206	себе и	2	1
207	в свои	1	1
208	и можно	3	1
209	что они	3	1
210	сама по	1	1
211	нем и	1	1
212	и она	3	1
213	так для	1	1
214	и мир	2	1
215	выйти из	2	1
216	которое было	2	1
217	все остальные	1	1
218	кто не	1	1
219	но тот	1	1
220	хотя и	2	1
221	тот же	2	1
222	мы увидим	2	1
223	ли он	1	1
224	увидим что	2	1
225	пор не	1	1
226	тому как	2	1
227	самом себе	1	1
228	отказывается от	1	1
229	что это	6	1
