N	2gram	Vinokur_Ku_1	Formalny
1	и в	24	38
2	в этом	14	27
3	т е	38	26
4	может быть	13	23
5	и его	5	21
6	и пр	15	21
7	таким образом	12	20
8	и не	12	20
9	в самом	10	16
10	не в	11	15
11	прежде всего	9	15
12	и т	33	14
13	не может	7	14
14	в нем	4	13
15	связи с	7	13
16	но и	6	13
17	в пределах	4	12
18	языка и	8	12
19	с его	4	11
20	с тем	5	11
21	в том	30	11
22	языка как	5	11
23	вовсе не	10	11
24	в его	12	10
25	в связи	3	10
26	с помощью	7	10
27	не только	10	9
28	при этом	6	9
29	и с	5	9
30	как и	2	9
31	языка в	12	9
32	т п	18	9
33	на почве	1	9
34	в процессе	1	9
35	язык как	9	8
36	самом деле	9	8
37	отнюдь не	1	8
38	все же	12	8
39	точки зрения	14	8
40	так и	7	8
41	что и	4	8
42	тем что	8	8
43	в первом	3	7
44	как мы	1	7
45	лишь в	2	7
46	по себе	2	7
47	для него	1	7
48	в своей	2	7
49	с точки	9	7
50	язык и	1	7
51	во втором	2	7
52	уже не	8	7
53	этом отношении	5	7
54	в других	1	7
55	не могут	2	7
56	по существу	4	7
57	слова и	4	7
58	что в	17	7
59	литературный язык	1	6
60	в ней	6	6
61	в истории	3	6
62	все эти	6	6
63	в этой	3	6
64	то же	8	6
65	было бы	15	6
66	он не	2	6
67	в их	3	6
68	могут быть	1	6
69	в языке	8	6
70	все время	1	6
71	только в	11	6
72	как такового	1	6
73	то что	9	6
74	не было	3	6
75	вместе с	7	6
76	а не	8	6
77	как раз	8	6
78	в результате	5	6
79	хотя бы	10	6
80	а в	5	6
81	это и	4	5
82	по преимуществу	2	5
83	должна быть	3	5
84	говорить о	1	5
85	во всех	1	5
86	в общем	3	5
87	звука и	1	5
88	т д	14	5
89	язык по	1	5
90	в слове	2	5
91	между звуком	1	5
92	в то	2	5
93	же время	2	5
94	если бы	9	5
95	сводится к	3	5
96	и должно	2	5
97	говорит он	1	5
98	и только	1	5
99	что он	6	5
100	всяком случае	5	5
101	если мы	2	5
102	звука в	1	5
103	именно в	6	5
104	с этим	4	5
105	что же	6	5
106	более того	1	5
107	и для	2	5
108	бы в	7	5
109	еще более	1	5
110	или иного	3	5
111	во всяком	5	5
112	в сущности	3	4
113	что оно	3	4
114	в сторону	2	4
115	что они	4	4
116	как в	4	4
117	не следует	1	4
118	от нее	1	4
119	как они	2	4
120	мы видели	1	4
121	не столько	2	4
122	о языке	8	4
