1	одного и того же	2	3
2	лишь в том случае	2	2
3	заключается в том что	1	2
4	в то же время	1	2
5	в тех случаях когда	1	1
6	с этой точки зрения	1	1
7	в самом деле ведь	1	1
8	на самом деле есть	1	1
9	только в том случае	1	1
10	между тем вопрос о	1	1
11	не говоря уже о	2	1
12	которое на самом деле	1	1
13	одной и той же	1	1
14	что тот или иной	1	1
15	по отношению к таким	1	1
16	и не может быть	1	1
17	говоря уже о том	1	1
18	но для того чтобы	1	1
19	то же самое что	1	1
20	а может быть и	1	1
21	уже о том что	1	1
22	который как мы видели	1	1
23	не в том что	2	1
24	в целом ряде случаев	1	1
25	друг от друга в	1	1
