N	3gram	Medvedev_F_3	Problema
1	по отношению к	3	19
2	и т п	5	13
3	не может быть	14	11
4	но отнюдь не	1	7
5	с точки зрения	14	6
6	в отличие от	2	5
7	в высшей степени	2	5
8	в его целом	1	5
9	между тем как	1	5
10	эстетический объект в	1	5
11	в большинстве случаев	4	5
12	в данном случае	4	4
13	в художественном произведении	3	4
14	с другой стороны	5	4
15	в искусстве мы	1	3
16	в противном случае	1	3
17	на самом деле	12	3
18	художественного творчества и	1	3
19	в самом деле	4	3
20	в этом смысле	2	3
21	бы то ни	4	3
22	можно было бы	1	3
23	может быть только	2	3
24	все то что	1	3
25	с одной стороны	1	3
26	его лингвистической определенности	1	3
27	то же время	7	3
28	художественное произведение в	1	3
29	в том что	3	3
30	в его лингвистической	1	3
31	в то же	7	3
32	тем не менее	2	3
33	и в нем	1	3
34	в области познания	2	2
35	можно сказать что	1	2
36	в изобразительных искусствах	1	2
37	не следует что	2	2
38	то же самое	3	2
39	в том же	1	2
40	со всех сторон	1	2
41	момент художественного произведения	1	2
42	на первый план	1	2
43	ни в коем	1	2
44	совершенно независимо от	1	2
45	и не может	4	2
46	в лучшем случае	1	2
47	то или иное	2	2
48	лишь там где	1	2
49	в коем случае	1	2
50	и в то	2	2
51	то ни было	4	2
52	не только в	1	2
53	никогда не может	1	2
54	не совпадает с	1	2
55	того или иного	1	2
56	может и не	1	2
57	так и в	2	2
58	коем случае не	1	2
59	мы можем сказать	1	2
60	точки зрения самого	2	2
61	той или иной	1	2
62	не может и	1	2
63	не входят в	1	2
64	для того чтобы	4	2
65	за его пределы	1	2
66	в этом отношении	3	2
67	формы и содержания	2	2
68	быть определен в	1	1
69	может войти в	3	1
70	форму и содержание	1	1
71	слагаются в единство	1	1
72	чего бы то	1	1
73	в ее целом	1	1
74	содержание и форма	1	1
75	и в общем	1	1
76	оценок а не	1	1
77	художественное произведение как	2	1
78	хотя и не	1	1
79	в самой литературе	2	1
80	художественного воплощения в	1	1
81	в других областях	1	1
82	с помощью всех	1	1
83	отношению к данному	1	1
84	организма и психики	1	1
85	произведения и его	1	1
86	это можно выразить	1	1
87	содержания и формы	1	1
88	иметь в виду	1	1
89	а вовсе не	4	1
90	в виду что	1	1
91	да и не	2	1
92	могут быть выделены	1	1
93	художественного виденья и	1	1
94	связи с теорией	1	1
95	место в целом	1	1
96	в этом произведении	1	1
97	подобно тому как	4	1
98	в настоящее время	1	1
99	и пр в	1	1
100	о произведении как	2	1
101	может быть определен	1	1
102	о том как	2	1
103	в нем и	2	1
104	можно и должно	1	1
105	не нуждается ни	2	1
106	более того можно	1	1
107	а следовательно и	1	1
108	до сих пор	1	1
109	к его значению	1	1
110	quaternio terminorum в	1	1
111	комбинацию в пределах	1	1
112	и в других	1	1
113	хотя бы и	1	1
114	от одного к	1	1
115	до известной степени	2	1
116	в самом произведении	3	1
117	в литературном контексте	1	1
118	сами по себе	2	1
119	быть определены и	1	1
120	отнюдь не следует	1	1
121	может иметь место	1	1
122	на самом же	2	1
123	с тем что	1	1
124	в поэтическом произведении	1	1
125	прямого отношения к	1	1
126	на то что	1	1
127	и потому в	1	1
128	в художественное произведение	2	1
129	а иногда и	1	1
130	и не нуждается	2	1
131	в их конкретном	1	1
132	и тем не	1	1
133	познавательной и иной	1	1
134	художественного произведения как	1	1
135	направлен не на	1	1
136	момент может быть	1	1
137	имеет место и	1	1
138	в своем творчестве	1	1
139	таким образом есть	1	1
140	в значительной степени	1	1
141	отсюда отнюдь не	1	1
142	как его момент	1	1
143	смысле этого слова	2	1
144	вопроса о том	1	1
145	она никогда не	1	1
146	материал так и	1	1
147	правильная постановка проблемы	1	1
148	настоящее время в	1	1
149	творчества и восприятия	2	1
150	материал в его	1	1
151	не в том	1	1
152	в связи с	4	1
153	при этом условии	1	1
154	может быть понята	1	1
155	связи и взаимоотношения	1	1
156	вне искусства является	1	1
157	в наши задачи	1	1
158	у нас в	1	1
159	в следующей главе	2	1
160	о которых идет	1	1
161	в готовом виде	1	1
162	и в романе	1	1
163	и в том	1	1
164	самом же деле	2	1
165	материала и его	1	1
166	нуждается ни в	2	1
167	жизни таким образом	1	1
168	художественного произведения в	1	1
169	художественного произведения не	1	1
170	одного к другому	1	1
171	в нем нет	1	1
172	раз и навсегда	3	1
173	равно как и	2	1
174	и нисколько не	1	1
175	и т д	6	1
176	единство создается не	1	1
177	что в его	1	1
178	и в самом	1	1
179	можем сказать что	1	1
180	место и у	1	1
181	точки зрения одной	1	1
182	вовсе не о	2	1
183	язык в его	1	1
184	выходит за пределы	1	1
185	не может стать	2	1
186	не выходит за	1	1
187	движется не в	1	1
188	от всех других	2	1
189	как одну из	1	1
190	в двух направлениях	1	1
191	иметь место в	1	1
192	вследствие этого и	1	1
193	в своих более	1	1
194	которые могут быть	1	1
195	ее художественного воплощения	1	1
196	и быть не	1	1
197	к тому что	2	1
198	мы уже указывали	1	1
199	в его состав	1	1
200	быть понята как	1	1
201	который был бы	1	1
202	и между ними	2	1
203	художественное произведение является	1	1
204	она может и	1	1
205	она не может	1	1
206	как и в	1	1
207	которых идет речь	1	1
208	и этические оценки	1	1
209	не нуждается в	1	1
210	дело в том	2	1
211	о чем говорится	1	1
212	нам важно лишь	1	1
213	вовсе не как	1	1
214	мы еще не	1	1
