N	3gram	Tiupa_Disk_2	Komedia
1	в том что	6	9
2	с другой стороны	1	5
3	в одном из	1	4
4	то же время	5	4
5	в то же	4	4
6	по отношению к	4	3
7	в этом отношении	4	3
8	речь идет о	1	3
9	с одной стороны	4	3
10	о том что	3	3
11	не в состоянии	1	2
12	не говоря уже	1	2
13	говоря уже о	1	2
14	в первую очередь	2	2
15	как и в	5	2
16	то ни было	1	2
17	каждый из них	1	2
18	бы то ни	1	2
19	во всяком случае	1	2
20	самых общих чертах	1	1
21	но прежде всего	1	1
22	том что в	1	1
23	вождя афинской демократии	1	1
24	что же касается	2	1
25	другой стороны в	1	1
26	время от времени	1	1
27	состоит в том	2	1
28	подобно тому как	2	1
29	мы ничего не	1	1
30	в том числе	1	1
31	в соответствии с	2	1
32	как будто бы	1	1
33	можно говорить о	1	1
34	в обоих случаях	2	1
35	в чем не	1	1
36	в этот период	1	1
37	одна из них	1	1
38	ничего не знаем	1	1
39	героя нашего времени	1	1
40	еще в одном	2	1
41	внешнее и внутреннее	1	1
42	на мой взгляд	2	1
43	в значительной степени	1	1
44	в применении к	1	1
45	в это время	1	1
46	в данном случае	6	1
47	жизни но и	1	1
48	но при этом	2	1
49	в отличие от	12	1
50	в самых общих	1	1
51	до нас не	1	1
52	нас не дошли	1	1
53	ни в чем	1	1
54	и каждый из	1	1
55	с самого начала	1	1
56	и прежде всего	2	1
57	по аналогии с	1	1
58	друг от друга	1	1
59	в большинстве случаев	1	1
60	тем не менее	1	1
