N	3gram	Bakhtin_fo_2	Otkroven
1	для того чтобы	7	3
2	и в этом	3	2
3	в этом мире	6	2
4	никогда не было	1	2
5	не может быть	1	2
6	как и все	1	2
7	но и в	3	2
8	с тем что	1	2
9	в другом месте	2	1
10	по сравнению с	1	1
11	а в частности	1	1
12	в эпоху возрождения	3	1
13	а вовсе не	1	1
14	прежде всего в	2	1
15	эпоху возрождения но	1	1
16	кто бы он	1	1
17	все это было	1	1
18	как бы в	1	1
19	в совершенно ином	1	1
20	о том как	3	1
21	этом мире это	1	1
22	о том что	1	1
23	в этом отношении	2	1
24	то что в	1	1
25	подчеркнуть еще одну	1	1
26	необходимо подчеркнуть еще	1	1
27	ни с чем	1	1
28	и прежде всего	3	1
29	каждом из них	2	1
30	в том что	3	1
31	он ни был	1	1
32	бы он ни	1	1
33	друг с другом	4	1
34	вместо того чтобы	1	1
35	как и в	1	1
36	и вопрос о	1	1
37	но к этому	1	1
