N	3gram	Tiupa_Narr_2	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	2	7
4	с одной стороны	5	6
5	в конечном счете	3	5
6	в том что	8	5
7	состоит в том	4	4
8	едва ли не	1	4
9	с точки зрения	2	3
10	в этом отношении	3	3
11	в данном случае	6	3
12	по отношению к	5	3
13	но с другой	1	3
14	о том что	4	2
15	в е годы	1	2
16	подобно тому как	2	2
17	и т п	2	2
18	это прежде всего	1	2
19	в равной степени	2	2
20	в разговоре с	1	2
21	тем не менее	4	2
22	при всей своей	2	2
23	тогда как для	1	1
24	себя в другом	1	1
25	особое место в	2	1
26	и когда он	1	1
27	и рецептивного сознаний	1	1
28	но и не	1	1
29	каждый из нас	1	1
30	мы имеем дело	2	1
31	пребывания в мире	2	1
32	где в каждой	1	1
33	в соответствии с	3	1
34	ли не наиболее	1	1
35	то же самое	1	1
36	одной стороны и	1	1
37	и не может	2	1
38	я в мире	2	1
39	креативного и рецептивного	1	1
40	в отличие от	5	1
41	от первого лица	3	1
42	а к ее	1	1
43	можно было бы	1	1
44	а то и	2	1
45	в основе своей	1	1
46	то что было	1	1
47	с этой точки	1	1
48	исследования в области	1	1
49	и в то	1	1
50	в данный момент	1	1
51	и представляет собой	3	1
52	на этом свете	1	1
53	имеем дело с	2	1
54	следует вести о	1	1
55	не в том	1	1
56	я не могу	1	1
57	в мире а	1	1
58	все то что	2	1
59	тогда как сам	1	1
60	этой точки зрения	1	1
61	а в том	2	1
62	в частности в	1	1
63	человеческого присутствия в	1	1
64	оказывается всего лишь	1	1
65	и не столько	1	1
66	что в ней	1	1
67	на самом деле	2	1
68	не случайно в	2	1
69	то есть в	1	1
70	никогда не бывает	1	1
71	жизни а не	1	1
72	не только не	2	1
73	той или иной	3	1
74	в этой системе	1	1
75	и вполне закономерно	1	1
76	а с другой	1	1
77	к тому что	3	1
78	для того чтобы	1	1
79	тех кто не	1	1
80	это свидетельствует о	1	1
