N	2gram	Ircho_Kome_3	Tragedij
1	и в	22	18
2	в этом	8	9
3	не только	5	8
4	он сам	1	7
5	и с	4	7
6	и на	2	7
7	может быть	6	7
8	как бы	3	7
9	и не	21	7
10	но в	5	6
11	и его	6	6
12	в образе	2	6
13	же время	5	6
14	что он	8	6
15	у него	4	6
16	то же	7	5
17	все же	4	5
18	это не	2	5
19	как и	3	5
20	несмотря на	4	5
21	в то	6	5
22	так и	4	5
23	не может	3	5
24	к жизни	1	5
25	я не	1	4
26	еще не	6	4
27	в себе	4	4
28	в целом	3	4
29	в этой	3	4
30	в нем	3	4
31	об этом	7	4
32	том что	13	4
33	что я	1	4
34	и что	6	4
35	но и	4	4
36	и даже	3	4
37	прежде всего	5	4
38	так же	4	4
39	все это	5	4
40	что в	5	4
41	и все	2	4
42	то что	4	4
43	в мире	2	3
44	и он	2	3
45	эпизод с	1	3
46	отнюдь не	4	3
47	как в	2	3
48	в своем	8	3
49	и как	1	3
50	все эти	1	3
51	при этом	7	3
52	что с	2	3
53	о чем	7	3
54	своего отца	1	3
55	и сам	5	3
56	iii в	6	3
57	мог бы	1	3
58	жизнь и	1	3
59	с ним	5	3
60	к нему	5	3
61	в его	8	3
62	один из	3	3
63	уже в	2	3
64	в конце	7	3
65	как это	5	3
66	в основном	1	3
67	в первом	1	2
68	и до	1	2
69	а как	2	2
70	от счастья	1	2
71	отказывается от	1	2
72	никогда не	3	2
73	он был	4	2
74	не был	1	2
75	столь же	3	2
76	с его	3	2
77	отношение к	5	2
78	отличие от	2	2
79	тут же	4	2
80	так что	6	2
81	и я	2	2
82	это был	1	2
83	перед нами	1	2
84	в самом	9	2
85	он не	5	2
86	что она	4	2
87	но все	4	2
88	что все	1	2
89	его в	8	2
90	дома и	3	2
91	в глазах	8	2
92	отца и	2	2
93	в это	1	2
94	ни в	10	2
95	нет в	1	2
96	с тем	4	2
97	не мог	2	2
98	я ведь	2	2
99	в отличие	1	2
100	вопрос о	1	2
101	одном из	1	2
102	не в	4	2
103	отцом и	3	2
104	человека перед	1	2
105	не имеет	3	2
106	его дочь	2	2
107	не могут	2	2
108	он и	2	2
109	к тому	6	2
110	и это	2	2
111	но при	2	2
112	в ее	3	2
113	а что	1	2
114	ничего не	3	2
115	и здесь	4	2
116	о том	8	2
117	в глаза	3	2
118	теперь и	1	2
119	что и	8	2
120	в том	12	2
121	даже если	2	2
122	который в	3	2
123	ненависти к	5	2
124	по мнению	2	2
125	и ее	2	2
126	в душе	1	2
127	не так	3	2
128	в известной	2	2
129	в одном	2	2
130	друг друга	4	2
131	не случайно	1	2
132	тем что	5	2
133	чем он	1	2
134	говорит о	1	2
135	до конца	4	2
136	ничем не	4	2
137	ребенка и	1	2
138	под влиянием	2	2
139	было в	1	2
140	я тебе	1	2
141	о его	2	2
142	она должна	1	2
143	еще раз	1	2
144	потому что	10	2
145	в частности	3	2
146	по поводу	1	2
147	во сне	1	2
148	в таком	2	2
149	эта новая	1	1
150	я и	1	1
151	ее отцом	1	1
152	и т	4	1
153	одним из	2	1
154	например в	1	1
155	он считает	1	1
156	с жизнью	1	1
157	человека и	2	1
158	против нее	1	1
159	а из	1	1
160	самом деле	6	1
161	и женщины	1	1
162	же по	1	1
163	не думает	1	1
164	той же	1	1
165	на пороге	1	1
166	всегда быть	1	1
167	на себя	4	1
168	ему в	1	1
