N	4gram	Medvedev_F_2	EvropaiE
1	в то же время	5	14
2	и в то же	3	8
3	например с точки зрения	1	2
4	но в то же	1	2
5	от этого отнюдь не	1	1
6	и то и другое	2	1
7	в том смысле что	2	1
8	один и тот же	1	1
9	только в том случае	1	1
10	и прежде всего в	1	1
11	в связи с этим	3	1
12	то же время в	1	1
13	в том случае если	1	1
14	и до настоящего времени	1	1
15	в большей или меньшей	1	1
16	из всего этого следует	1	1
17	совершенно очевидно что в	1	1
18	так и в характере	1	1
19	не говоря уже о	1	1
20	большей или меньшей степени	1	1
21	то же время не	1	1
