N	3gram	Bakhtin_Pr_5	OGranits
1	с точки зрения	2	5
2	не может быть	3	4
3	по отношению к	6	3
4	вполне понятно что	2	3
5	одно и то	3	3
6	и наконец в	2	2
7	в самом деле	1	2
8	не чем иным	1	2
9	в данном случае	1	2
10	и то же	3	2
11	с другой стороны	3	2
12	то же слово	1	2
13	чем иным как	1	2
14	с самого начала	8	2
15	в двух разных	1	2
16	в том что	2	2
17	мы чувствуем что	1	1
18	тот же самый	1	1
19	эта интонация в	1	1
20	с ними и	1	1
21	в каждом слове	2	1
22	в чем же	1	1
23	а вовсе не	1	1
24	на самом деле	9	1
25	почему же не	2	1
26	подобно тому как	2	1
27	то же самое	1	1
28	из него все	1	1
29	и не может	2	1
30	во всей своей	1	1
31	в отличие от	2	1
32	в этом отношении	1	1
33	то что в	1	1
34	и т.д и	1	1
35	можно было бы	2	1
36	почти никогда не	1	1
37	петербургской поэмы двойник	1	1
38	может быть и	1	1
39	в своей статье	1	1
40	для того чтобы	1	1
41	и сводится к	1	1
42	но там где	1	1
43	не входит в	1	1
44	тем не менее	1	1
45	и вместе с	1	1
46	и к тому	2	1
47	и как бы	1	1
48	в этот момент	1	1
49	так и для	1	1
50	прежде всего в	1	1
51	это конечно не	1	1
52	он и не	2	1
53	потому что они	1	1
54	что же такое	1	1
55	то же время	10	1
56	но тем не	1	1
57	к нему те	1	1
58	него прежде всего	2	1
59	но в то	4	1
60	для него прежде	1	1
61	и эта интонация	1	1
62	на всем протяжении	1	1
63	в то же	10	1
64	к тому что	1	1
65	всей своей полноте	1	1
66	как и в	1	1
