N	2gram	Tiupa_Teor_1	Vvedenie
1	и в	18	32
2	в том	16	31
3	в этом	8	30
4	том что	9	26
5	может быть	17	26
6	не только	16	22
7	для того	1	21
8	того чтобы	1	20
9	таким образом	3	19
10	также и	1	18
11	то что	3	16
12	потому что	3	15
13	так как	1	15
14	не может	4	14
15	в самом	4	13
16	в нем	4	13
17	о том	1	13
18	со стороны	2	13
19	в их	2	12
20	представляет собой	9	12
21	в его	6	12
22	того что	4	12
23	только в	6	12
24	и не	13	12
25	как мы	1	11
26	в ее	5	11
27	в данном	8	11
28	что в	9	10
29	то же	7	9
30	и как	2	9
31	но в	9	9
32	по себе	1	9
33	как об	1	9
34	между тем	5	9
35	в той	2	9
36	этом смысле	2	9
37	а только	3	8
38	это не	2	8
39	не в	7	8
40	тем не	3	8
41	не менее	4	8
42	с другой	7	8
43	именно в	3	8
44	вопрос о	1	7
45	но не	9	7
46	было бы	1	7
47	точки зрения	9	7
48	можно было	1	7
49	дело с	1	7
50	прежде всего	2	7
51	о котором	1	7
52	и это	2	6
53	из этих	3	6
54	его в	2	6
55	с тем	1	6
56	как и	4	6
57	представить себе	1	6
58	вовсе не	3	6
59	в то	6	6
60	в качестве	24	6
61	же время	5	6
62	тем что	1	6
63	не могут	2	6
64	один из	2	6
65	и его	8	6
66	и даже	2	6
67	но и	9	6
68	а именно	2	6
69	все это	2	6
70	культуры как	1	6
71	одним из	2	5
72	мере в	1	5
73	в целом	3	5
74	иное как	1	5
75	в широком	1	5
76	с их	2	5
77	об этом	2	5
78	на почве	4	5
79	и тем	3	5
80	данном случае	5	5
81	в них	2	5
82	сказать что	3	5
83	могут быть	4	5
84	имеет дело	1	5
85	так что	1	5
86	что не	1	5
87	а не	9	5
88	по своему	2	5
89	как бы	5	5
90	той мере	1	5
91	другой стороны	5	5
92	в какой	2	5
93	вместе с	2	5
94	связана с	1	4
95	и то	2	4
96	как это	8	4
97	связи между	1	4
98	в первом	2	4
99	той же	1	4
100	мы имеем	7	4
101	что иное	1	4
102	по отношению	4	4
103	независимо от	1	4
104	как уже	1	4
105	уже не	4	4
106	так или	4	4
107	в себе	9	4
108	и заключается	1	4
109	должен был	1	4
110	в своей	6	4
111	по крайней	1	4
112	нельзя не	1	4
113	в тексте	14	4
114	в каждом	1	4
115	на вопрос	1	4
