N	2gram	Potebnia_M_2	UchenyiS
1	и в	24	14
2	а не	18	10
3	не только	15	10
4	прежде всего	7	8
5	и не	19	8
6	не может	12	7
7	в этом	8	7
8	то что	20	7
9	может быть	23	6
10	то же	12	5
11	и только	6	5
12	все это	2	5
13	хотя бы	2	5
14	перестает быть	2	5
15	с другой	6	4
16	но и	9	4
17	что такое	2	4
18	в их	1	4
19	конечно не	1	4
20	то ни	1	3
21	вряд ли	3	3
22	и то	3	3
23	это не	3	3
24	было бы	13	3
25	как и	7	3
26	или точнее	1	3
27	бы то	1	3
28	очевидно что	3	3
29	в то	6	3
30	все же	5	3
31	но в	4	3
32	не следует	1	3
33	же время	2	3
34	у нас	2	3
35	другой стороны	2	3
36	для него	10	3
37	не как	3	3
38	ни было	3	3
39	не о	1	3
40	что все	2	2
41	а между	4	2
42	крайней мере	5	2
43	же не	1	2
44	одним из	1	2
45	и с	1	2
46	до сих	4	2
47	каждом шагу	1	2
48	а как	1	2
49	это было	2	2
50	самом деле	2	2
51	должна быть	1	2
52	в некоторых	4	2
53	превращается в	2	2
54	мы не	11	2
55	если бы	11	2
56	что мы	11	2
57	ничего не	1	2
58	не столько	2	2
59	если не	4	2
60	том что	8	2
61	но даже	3	2
62	мы и	1	2
63	на каждом	1	2
64	нас в	2	2
65	но конечно	1	2
66	с его	2	2
67	но не	12	2
68	в сторону	1	2
69	не все	2	2
70	в его	2	2
71	по крайней	5	2
72	что и	11	2
73	по себе	15	2
74	сих пор	4	2
75	но это	3	2
76	этом смысле	2	2
77	могли бы	2	2
78	в том	18	2
79	это уже	1	2
80	и для	3	2
81	что он	4	2
82	в себе	10	2
83	при таком	1	2
84	формы и	1	2
85	в самом	4	2
86	между тем	6	2
87	и у	3	2
88	только в	11	2
89	мы получаем	1	2
90	не в	13	2
91	для всех	1	2
92	все они	1	2
93	не есть	6	2
94	его и	1	2
95	бы и	1	2
96	всех этих	2	2
97	представляется нам	5	2
98	не могут	7	2
99	могут быть	8	2
100	смысле этого	3	2
101	тем что	7	2
102	что она	3	2
103	таким образом	11	2
104	даже и	2	2
105	для себя	1	1
106	и это	2	1
107	тем в	1	1
108	звук что	1	1
109	об этом	1	1
110	связанных с	1	1
111	не делает	1	1
112	в этот	1	1
113	человека и	3	1
114	без них	2	1
115	то есть	30	1
116	сам по	4	1
117	входит в	1	1
118	только при	1	1
119	и прежде	1	1
120	или меньшей	1	1
121	и быть	1	1
122	вообще мы	1	1
123	степени и	1	1
124	или по	2	1
125	это для	1	1
126	и др	1	1
127	что для	3	1
128	слова а	3	1
129	никогда не	4	1
130	этот и	1	1
131	так и	5	1
132	одной стороны	3	1
133	той же	3	1
134	относится к	3	1
135	этого не	2	1
136	столько же	1	1
137	с тем	4	1
138	это впечатление	1	1
139	только единство	1	1
140	представлений и	3	1
141	при более	1	1
142	и всякого	1	1
143	в словах	3	1
144	должно быть	2	1
145	и слово	1	1
146	какой именно	1	1
147	можно сказать	1	1
148	восприятия и	2	1
149	или менее	8	1
150	не исключительно	1	1
151	как на	3	1
152	о том	5	1
153	в ней	3	1
154	и потому	2	1
155	относятся к	1	1
156	в котором	4	1
157	только для	5	1
158	нужно будет	3	1
159	и что	4	1
160	тех и	1	1
161	все и	1	1
162	значение вообще	2	1
163	но такое	1	1
164	все его	1	1
165	быть в	1	1
166	содержания в	1	1
167	он будет	1	1
168	слово как	2	1
169	все в	1	1
170	в течение	1	1
171	в той	1	1
172	он может	1	1
173	этих слов	1	1
174	что же	1	1
175	не то	2	1
176	бы в	2	1
177	переходит в	1	1
178	того что	7	1
179	друг другу	1	1
180	в которых	1	1
181	доказывает что	1	1
182	не без	1	1
183	их в	2	1
184	форма в	1	1
185	за пределы	2	1
186	на то	5	1
187	быть не	3	1
188	иначе в	1	1
189	и вся	1	1
190	его как	1	1
191	этом случае	1	1
192	независимо от	9	1
193	его на	2	1
194	большей или	1	1
195	может обойтись	2	1
196	что с	2	1
197	они относятся	1	1
198	но для	1	1
199	в большей	1	1
200	которой и	1	1
201	что ему	2	1
202	и все	3	1
203	знание того	1	1
204	содержания или	1	1
205	того как	7	1
206	что только	2	1
207	вне его	1	1
208	на звук	2	1
209	тот же	5	1
210	сколько и	1	1
211	более или	8	1
212	и действительно	1	1
213	которое мы	3	1
214	настолько насколько	3	1
215	по мнению	1	1
216	почему в	1	1
217	в которой	5	1
218	нам известно	1	1
219	о котором	2	1
220	бы ни	5	1
221	не было	6	1
222	находятся в	1	1
223	в данное	2	1
224	он в	1	1
225	тогда когда	10	1
226	с одной	4	1
227	с которыми	2	1
228	тем более	1	1
229	в известном	1	1
230	вообще в	1	1
231	начала и	1	1
232	что по	1	1
233	уже не	4	1
234	на одно	1	1
235	далеко не	3	1
236	имеем в	1	1
237	ее как	1	1
238	то и	9	1
239	подобным образом	3	1
240	же в	5	1
241	в процессе	1	1
242	предмет только	1	1
243	в нем	9	1
244	связанные с	2	1
245	она представляется	1	1
246	но если	2	1
247	он не	1	1
248	о которой	3	1
249	сказать что	2	1
250	только как	6	1
251	не связанных	1	1
252	состоит из	1	1
253	очень часто	1	1
254	одно из	3	1
255	и так	1	1
256	себе известное	1	1
257	лишь настолько	3	1
258	находящихся в	1	1
259	нем но	1	1
260	не для	1	1
261	содержание и	1	1
262	несомненно что	1	1
263	время не	1	1
264	заключенные в	1	1
265	может служить	1	1
266	но он	2	1
267	содержание в	1	1
268	но что	2	1
269	у него	2	1
270	само по	2	1
271	бы те	1	1
272	мы можем	12	1
273	и независимо	1	1
274	это содержание	2	1
275	ее в	1	1
276	что нельзя	1	1
277	а это	2	1
278	что при	1	1
279	к этому	2	1
280	что в	16	1
281	от слова	3	1
282	существование в	1	1
283	в таком	4	1
284	все что	3	1
285	бы это	1	1
286	от которой	1	1
