N	2gram	Medvedev_U_1	Myslijsy
1	то есть	1	34
2	то что	7	29
3	может быть	6	26
4	таким образом	2	24
5	в этом	7	23
6	в том	2	23
7	и в	14	23
8	и не	8	18
9	что в	1	17
10	только в	2	15
11	то же	5	14
12	в себе	2	14
13	как и	3	14
14	того что	1	14
15	если бы	2	13
16	не было	1	12
17	а не	10	12
18	том что	2	12
19	не в	2	11
20	по себе	2	11
21	но и	4	11
22	не может	7	11
23	не только	10	10
24	мы можем	1	10
25	тем что	2	10
26	что мы	2	10
27	и потому	1	10
28	между тем	2	9
29	не есть	2	9
30	мы не	2	8
31	в своем	1	8
32	но в	3	8
33	было бы	3	8
34	тогда когда	1	8
35	о том	1	8
36	сказать что	1	8
37	поэзии и	1	7
38	очевидно что	3	7
39	на то	1	7
40	в нем	1	7
41	что такое	4	7
42	это не	3	7
43	и что	1	7
44	что и	2	7
45	с тем	1	7
46	могут быть	2	7
47	независимо от	1	6
48	в которой	1	6
49	того как	1	6
50	так и	1	6
51	и то	3	5
52	не то	1	5
53	бы и	2	5
54	должно быть	1	5
55	по крайней	2	5
56	крайней мере	2	5
57	в его	2	5
58	для него	3	5
59	само по	1	5
60	что же	1	5
61	этом случае	1	5
62	все это	5	5
63	тем более	1	5
64	а между	2	4
65	сам по	1	4
66	могли бы	2	4
67	что все	2	4
68	и с	2	4
69	мы имеем	1	4
70	в котором	1	4
71	сих пор	2	4
72	в то	3	4
73	же самое	2	4
74	можно сказать	1	4
75	что он	2	4
76	хотя бы	5	4
77	то и	1	4
78	до сих	2	4
79	в данном	1	4
80	в той	1	4
81	и все	1	4
82	только как	1	4
83	в таком	1	4
84	человека и	1	3
85	самом деле	2	3
86	той же	1	3
87	в самом	2	3
88	формы в	3	3
89	на его	1	3
90	но это	2	3
91	в которых	1	3
92	их в	1	3
93	никогда не	1	3
94	же время	3	3
95	так то	1	3
96	в виду	1	3
97	и только	5	3
98	и так	1	3
99	уже не	1	3
100	даже и	2	3
101	более чем	2	3
102	как искусство	1	3
103	в искусстве	6	3
104	в процессе	1	3
105	а как	2	2
106	имеет свою	1	2
107	не вполне	1	2
108	но даже	2	2
109	мы и	2	2
110	в ней	1	2
111	заключенных в	1	2
112	нам представляется	2	2
113	в различных	1	2
114	что по	1	2
115	так или	1	2
116	бы только	1	2
117	что она	2	2
118	не следует	3	2
119	он не	1	2
120	не значит	1	2
121	не как	3	2
122	об этом	1	2
123	это было	2	2
124	но что	1	2
125	признать что	1	2
126	она не	1	2
127	что только	1	2
128	даже не	1	2
129	в области	3	2
130	у нас	3	2
131	не могут	2	2
132	и это	1	2
133	не существует	1	2
134	данном случае	1	2
135	представлений и	1	2
136	нас в	2	2
137	все в	1	2
138	бы в	1	2
139	тем менее	2	2
140	тот же	1	2
141	бы ни	1	2
142	конечно не	4	2
143	и у	2	2
144	в виде	1	2
145	есть слово	1	2
146	и даже	1	2
147	с другой	4	2
148	или иначе	1	2
149	и прежде	1	2
150	и быть	1	2
151	было и	1	2
152	и др	1	2
153	превращается в	2	2
154	равно как	1	2
155	относятся к	1	2
156	только для	1	2
157	из которых	1	2
158	в течение	1	2
159	быть не	1	2
160	художественное произведение	5	2
161	и для	2	2
162	довести до	1	2
163	камня и	1	2
164	сводятся к	1	2
165	есть наука	1	2
166	все что	1	2
167	вряд ли	3	1
168	одним из	2	1
169	художественного произведения	2	1
170	материал поэзии	1	1
171	он может	1	1
172	художественных произведений	2	1
173	должна быть	2	1
174	научного анализа	1	1
175	в их	4	1
176	в сфере	1	1
177	смысле можно	1	1
178	меньшей степени	2	1
179	во мне	1	1
180	столько же	1	1
181	и этого	1	1
182	быть в	1	1
183	не без	1	1
184	но конечно	2	1
185	словами как	1	1
186	но не	2	1
187	не все	2	1
188	нет и	1	1
189	относится к	1	1
190	в известном	1	1
191	несомненно что	1	1
192	первый взгляд	1	1
193	его на	1	1
194	как нам	1	1
195	как части	1	1
196	меньшей мере	1	1
197	и через	2	1
198	он в	1	1
199	в этой	4	1
200	еще один	1	1
