N	2gram	Tiupa_Teor_1	Komedia
1	и в	18	22
2	в комедии	1	22
3	том что	9	12
4	в том	16	11
5	но и	9	11
6	в то	6	10
7	не только	16	10
8	из них	1	10
9	как и	4	9
10	может быть	17	9
11	таким образом	3	8
12	в одном	2	8
13	и не	13	8
14	и его	8	8
15	о том	1	8
16	в этой	3	7
17	в которой	2	6
18	в конце	2	6
19	а в	13	6
20	не в	7	6
21	в отношении	3	6
22	что в	9	6
23	то же	7	6
24	к тому	2	6
25	ни в	2	6
26	такого рода	8	6
27	что он	1	6
28	одного из	1	6
29	и по	2	6
30	на его	1	5
31	когда же	1	5
32	так и	10	5
33	потому что	3	5
34	до нас	1	5
35	между тем	5	5
36	и даже	2	5
37	в его	6	5
38	прежде всего	2	5
39	нового времени	3	5
40	один из	2	5
41	другой стороны	5	5
42	при этом	12	5
43	с другой	7	5
44	то время	1	5
45	все это	2	5
46	как в	5	5
47	войны и	1	5
48	и вот	3	4
49	же время	5	4
50	в другом	3	4
51	точки зрения	9	4
52	в нем	4	4
53	действующих лиц	1	4
54	так в	4	4
55	в их	2	4
56	комедиях аристофана	1	4
57	но в	9	4
58	как мы	1	4
59	в качестве	24	4
60	что они	1	4
61	тем что	1	4
62	по поводу	1	4
63	из его	1	4
64	именно в	3	4
65	что и	2	4
66	в результате	1	4
67	а также	6	4
68	и особенно	2	4
69	так как	1	4
70	как правило	4	3
71	вопрос о	1	3
72	хотя и	3	3
73	место в	5	3
74	одной из	2	3
75	так же	2	3
76	в более	1	3
77	перед лицом	2	3
78	и одновременно	4	3
79	отношению к	4	3
80	чаще всего	1	3
81	и ее	3	3
82	после того	1	3
83	не менее	4	3
84	на то	1	3
85	как раз	2	3
86	даже в	3	3
87	к которому	3	3
88	как это	8	3
89	отношение к	5	3
90	могут быть	4	3
91	казалось бы	2	3
92	его в	2	3
93	в году	1	3
94	здесь мы	1	3
95	по отношению	4	3
96	и сам	1	3
97	идет о	1	3
98	в этом	8	3
99	у нас	2	3
100	в любом	1	3
101	тот же	1	3
102	в чем	1	3
103	и о	4	3
104	во второй	7	3
105	только в	6	3
106	в них	2	3
107	одной стороны	2	3
108	в целом	3	3
109	у него	1	3
110	же как	1	3
111	с одной	2	3
112	по своему	2	3
113	и на	1	3
114	он не	3	3
115	на сцене	1	3
116	в частности	16	3
117	и как	2	3
118	однако в	7	3
119	и право	1	2
120	точек зрения	1	2
121	для всех	1	2
122	в себе	9	2
123	и здесь	2	2
124	исторического лица	1	2
125	но он	3	2
126	в противоположность	2	2
127	бы то	1	2
128	того же	3	2
129	не может	4	2
130	в стихе	2	2
131	на которые	1	2
132	для себя	1	2
133	здесь и	1	2
134	еще и	1	2
135	вовсе не	3	2
136	вслед за	2	2
137	к нему	1	2
138	художественного мышления	1	2
139	право на	1	2
140	это еще	1	2
141	и теперь	1	2
142	независимо от	1	2
143	не следует	4	2
144	и без	1	2
145	в действительности	1	2
146	в форме	2	2
147	тем как	1	2
148	этом что	1	2
149	в принципе	4	2
150	совсем не	1	2
151	принадлежит к	3	2
152	как видно	1	2
153	по своей	3	2
154	но не	9	2
155	из всего	1	2
156	путь к	1	2
157	вместе с	2	2
158	в сущности	1	2
159	раз в	1	2
160	и притом	2	2
161	в себя	3	2
162	в финале	3	2
163	времени и	2	2
164	то что	3	2
165	и мир	1	2
166	за пределы	2	2
167	видно из	1	2
168	именно потому	1	2
169	иначе в	1	2
170	мог бы	3	2
171	с ее	3	2
172	отличие от	6	2
173	ее в	2	2
174	или в	3	2
175	то ни	1	2
176	даже если	1	2
177	нельзя не	1	2
178	в силу	1	2
179	художественный образ	1	2
180	со своей	3	2
181	тем не	3	2
182	или менее	2	2
183	ту же	1	2
184	под именем	1	2
185	из других	1	2
186	для этого	1	2
187	и тем	3	2
188	ни было	1	2
189	на этом	1	2
190	и внутренней	1	2
191	ему и	1	2
192	в самом	4	2
193	этим и	1	2
194	еще не	4	2
195	в своих	1	2
