N	3gram	Nazirov_Vr_1	Myslijsy
1	в том что	2	16
2	и то же	1	5
3	по крайней мере	1	5
4	одно и то	1	5
5	то же время	4	5
6	в то же	4	5
7	с другой стороны	1	4
8	в то время	1	4
9	далеко не все	1	3
10	до сих пор	1	3
11	в свою очередь	1	3
12	тем не менее	1	3
13	не может быть	2	3
14	а между тем	1	2
15	то что я	1	2
16	в том же	1	2
17	в этом отношении	1	2
18	ответ на это	1	2
19	что в ней	1	2
20	и в самом	1	2
21	не только не	1	2
22	равно как и	1	1
23	же время и	1	1
24	это дает нам	1	1
25	а тем более	1	1
26	но как в	1	1
27	только при помощи	1	1
28	и то что	1	1
29	к вопросу о	1	1
30	что для нас	1	1
31	или по крайней	1	1
32	его отношение к	1	1
33	и что в	2	1
34	у него в	1	1
35	и о том	2	1
36	заключается в том	1	1
37	на свое место	1	1
38	о том что	1	1
39	может быть иначе	1	1
40	но и от	1	1
41	еще один пример	1	1
42	на то что	1	1
43	тем более что	1	1
44	не только от	1	1
45	не вдаваясь в	1	1
46	и все что	1	1
47	на первый взгляд	1	1
