N	2gram	Potebnia_M_3	Komedia
1	и в	30	22
2	том что	18	12
3	но и	19	11
4	в том	32	11
5	не только	21	10
6	в то	10	10
7	из них	6	10
8	и т	5	9
9	как и	10	9
10	может быть	28	9
11	таким образом	14	8
12	о том	2	8
13	и его	4	8
14	в одном	2	8
15	и не	15	8
16	едва ли	1	7
17	в этой	2	7
18	то же	23	6
19	тому же	1	6
20	и по	4	6
21	не в	15	6
22	ни в	2	6
23	одного из	1	6
24	что он	6	6
25	к тому	7	6
26	а в	12	6
27	в которой	3	6
28	что в	17	6
29	в истории	1	5
30	как в	10	5
31	то время	4	5
32	на его	2	5
33	при этом	3	5
34	во время	2	5
35	потому что	46	5
36	так и	11	5
37	и даже	2	5
38	между тем	9	5
39	один из	4	5
40	уже в	5	5
41	в его	4	5
42	прежде всего	3	5
43	т п	2	5
44	с другой	7	5
45	все это	4	5
46	другой стороны	4	5
47	из его	1	4
48	время как	1	4
49	что они	2	4
50	ср также	1	4
51	но в	1	4
52	в нем	9	4
53	т д	3	4
54	и вот	1	4
55	г в	1	4
56	несмотря на	2	4
57	точки зрения	2	4
58	в котором	4	4
59	в их	2	4
60	так как	13	4
61	как мы	7	4
62	на него	3	4
63	же время	5	4
64	так в	2	4
65	ясно что	1	4
66	что и	13	4
67	мы можем	3	4
68	тем что	7	4
69	именно в	3	4
70	в результате	1	4
71	же в	2	4
72	по поводу	4	4
73	к этому	3	4
74	мы не	9	3
75	и о	2	3
76	и на	3	3
77	в чем	3	3
78	с одной	7	3
79	в этом	10	3
80	все же	2	3
81	хотя и	1	3
82	и как	5	3
83	в целом	3	3
84	на то	2	3
85	главным образом	1	3
86	да и	1	3
87	он не	4	3
88	или вовсе	3	3
89	здесь мы	1	3
90	и с	2	3
91	его в	3	3
92	в них	5	3
93	и ее	1	3
94	место в	3	3
95	вопрос о	1	3
96	не менее	5	3
97	однако в	1	3
98	даже в	2	3
99	по отношению	5	3
100	того как	4	3
101	ничего не	1	3
102	в сознании	15	3
103	этом отношении	2	3
104	могут быть	3	3
105	после того	1	3
106	там же	6	3
107	по содержанию	2	3
108	как из	1	3
109	в образе	3	3
110	тот же	1	3
111	одной из	2	3
112	только в	21	3
113	в виде	2	3
114	в начале	3	3
115	отношение к	2	3
