N	2gram	Kanaev_Sov_1	StatiiOP
1	и в	7	25
2	в этом	7	24
3	в том	4	20
4	что в	2	19
5	может быть	12	19
6	что это	2	16
7	том что	1	15
8	в этой	3	14
9	и пр	2	13
10	в его	2	12
11	не только	4	12
12	прежде всего	5	10
13	таким образом	11	10
14	и не	6	10
15	у него	2	9
16	все это	3	8
17	в своих	1	8
18	о том	1	8
19	как например	1	8
20	не может	17	7
21	точки зрения	12	7
22	в то	1	7
23	что такое	2	7
24	это не	4	7
25	с этим	2	7
26	было бы	3	7
27	как бы	4	6
28	не в	3	6
29	а в	4	6
30	в конце	3	6
31	из этих	2	6
32	только в	1	6
33	в области	3	6
34	независимо от	1	5
35	то же	3	5
36	ни в	1	5
37	такого рода	2	5
38	мы имеем	1	5
39	он не	1	5
40	с другой	1	5
41	отметить что	1	5
42	но в	3	5
43	а не	3	5
44	и это	1	5
45	в которой	2	4
46	можно назвать	2	4
47	на его	2	4
48	все же	3	4
49	во всяком	2	4
50	как и	6	4
51	отличается от	3	4
52	и для	1	4
53	к нему	1	4
54	в ней	1	4
55	у нас	3	4
56	в эту	1	4
57	не было	1	4
58	этом смысле	1	4
59	в течение	1	4
60	в начале	1	4
61	из которых	2	4
62	и к	3	4
63	в целом	4	4
64	в отдельных	1	4
65	сказать что	1	4
66	ничего не	6	4
67	всяком случае	2	4
68	если бы	1	4
69	xix века	1	4
70	по крайней	1	4
71	мы видим	2	4
72	с точки	5	4
73	крайней мере	1	4
74	точка зрения	1	4
75	в каждом	8	4
76	но это	1	4
77	все эти	5	3
78	и наконец	5	3
79	же время	1	3
80	в другом	1	3
81	в связи	1	3
82	говорить о	2	3
83	в виде	2	3
84	нет в	1	3
85	связи с	1	3
86	кроме того	1	3
87	в какой	1	3
88	к которому	1	3
89	в некоторых	2	3
90	на язык	1	3
91	другое дело	1	3
92	в системе	3	3
93	и его	1	3
94	и если	1	3
95	и что	2	3
96	подчеркнуть что	1	3
97	уже не	2	3
98	что все	2	3
99	по мнению	2	3
100	одной стороны	1	3
101	на этом	2	3
102	нельзя сказать	1	3
103	несмотря на	1	3
104	с его	1	3
105	все они	1	3
106	к этому	1	3
107	каждая из	2	3
108	не является	1	3
109	уже в	3	3
110	так как	4	3
111	и более	1	3
112	без труда	1	2
113	это за	2	2
114	еще не	3	2
115	и только	1	2
116	или в	1	2
117	одной из	1	2
118	и ни	1	2
119	того же	1	2
120	на это	1	2
121	точку зрения	4	2
122	и тот	1	2
123	вовсе не	1	2
124	то он	1	2
