N	2gram	Tiupa_Lite_3	Myslijsy
1	то есть	5	34
2	потому что	3	33
3	то что	12	29
4	может быть	12	26
5	в этом	14	23
6	в том	12	23
7	и в	16	23
8	в слове	3	22
9	и не	22	18
10	что в	2	17
11	при этом	15	15
12	только в	7	15
13	то же	9	14
14	в себе	6	14
15	как и	5	14
16	того что	9	14
17	так как	1	14
18	для нас	1	14
19	если бы	2	13
20	не было	1	12
21	а не	12	12
22	том что	8	12
23	что я	5	11
24	не в	10	11
25	по себе	2	11
26	но и	14	11
27	не может	8	11
28	по отношению	4	10
29	не только	14	10
30	для меня	2	10
31	тем что	2	10
32	и потому	2	10
33	между тем	3	9
34	не есть	1	9
35	то это	2	8
36	в своем	1	8
37	но в	3	8
38	было бы	2	8
39	тогда когда	1	8
40	о том	6	8
41	сказать что	1	8
42	отношению к	4	8
43	и т	1	7
44	поэзии и	2	7
45	очевидно что	1	7
46	как в	5	7
47	с этим	1	7
48	на то	2	7
49	в нем	2	7
50	в силу	1	7
51	что такое	1	7
52	мысли и	1	7
53	это не	5	7
54	по мере	1	7
55	что и	2	7
56	вовсе не	1	7
57	с тем	1	7
58	независимо от	1	6
59	и к	3	6
60	человеческого духа	3	6
61	когда мы	1	6
62	так и	9	6
63	тех пор	1	6
64	что не	2	6
65	для того	2	6
66	в ряду	1	6
67	вместе с	5	6
68	и то	1	5
69	говорить о	1	5
70	хотя и	4	5
71	бы и	3	5
72	как бы	8	5
73	так сказать	1	5
74	слово есть	1	5
75	должно быть	4	5
76	не менее	2	5
77	не имеет	1	5
78	есть только	1	5
79	внимание на	2	5
80	к нему	1	5
81	так что	1	5
82	есть в	1	5
83	уже в	1	5
84	в его	6	5
85	для него	2	5
86	поэзия и	1	5
87	слова и	1	5
88	все это	1	5
89	а в	5	5
90	есть не	1	4
91	и о	1	4
92	в истории	1	4
93	могли бы	2	4
94	и с	2	4
95	его в	2	4
96	с другими	1	4
97	и тем	3	4
98	точки зрения	7	4
99	в котором	1	4
100	тем не	1	4
101	т п	1	4
102	и более	1	4
103	в то	9	4
104	это последнее	2	4
105	того чтобы	2	4
106	и проза	1	4
107	же самое	2	4
108	быть может	2	4
109	на вопрос	1	4
110	можно сказать	2	4
111	что он	5	4
112	хотя бы	1	4
113	то и	1	4
114	в одном	4	4
115	тогда как	17	4
116	природы а	2	4
117	только на	1	4
118	а именно	5	4
119	так же	2	4
120	в данном	4	4
121	в той	1	4
122	и все	1	4
123	тем самым	7	4
124	в таком	1	4
125	например в	3	3
126	самом деле	3	3
127	на самом	1	3
128	и есть	1	3
129	в первом	2	3
130	и до	1	3
131	что эти	1	3
132	мы уже	1	3
133	той же	3	3
134	еще не	6	3
135	и на	2	3
136	там где	3	3
137	в действительности	1	3
138	и хотя	1	3
139	в самом	3	3
140	бы не	1	3
141	так в	1	3
142	и если	4	3
143	на его	3	3
144	на нее	1	3
145	в каждом	1	3
146	мы его	1	3
147	лишь в	5	3
148	но уже	3	3
149	в них	1	3
150	все равно	1	3
151	не всегда	2	3
152	ведет к	1	3
153	с точки	3	3
154	но это	1	3
155	ее не	1	3
156	слово для	1	3
157	в нас	2	3
158	только не	1	3
159	никогда не	4	3
160	же время	7	3
161	связи с	2	3
162	к тому	6	3
163	слова с	1	3
164	языка и	1	3
165	что у	2	3
166	было в	1	3
167	в виду	1	3
168	и только	2	3
169	с ними	2	3
170	то в	3	3
171	уже не	3	3
172	в значении	1	3
173	в поэзии	5	3
174	ряду других	1	3
175	и других	1	3
176	и поэзии	1	3
177	и их	1	3
178	со стороны	7	3
179	именно в	5	3
180	мы сами	1	3
181	лишь тогда	1	3
182	все более	2	3
183	нет ничего	1	3
184	ко всем	1	3
185	со словом	1	3
186	в этих	1	3
187	я говорю	2	3
188	и состоит	1	3
189	и вместе	2	3
190	в искусстве	1	3
191	в процессе	1	3
192	и себя	1	2
193	как мы	2	2
194	что иное	1	2
195	не вполне	2	2
196	я не	2	2
197	мы и	2	2
198	в ней	1	2
199	проявляется в	1	2
200	иное как	1	2
201	столь же	1	2
202	тем как	1	2
203	когда например	1	2
204	и я	1	2
205	одном из	2	2
206	что по	1	2
207	жизни к	2	2
208	так или	2	2
209	в нашем	1	2
210	он все	2	2
211	он не	1	2
212	состоит в	6	2
213	не как	2	2
214	влияние на	1	2
215	подобно тому	2	2
216	человека в	2	2
217	значительной степени	1	2
218	бы они	1	2
219	здесь мы	1	2
220	в мире	16	2
221	образ не	1	2
222	например с	1	2
223	она и	2	2
224	говорится о	1	2
225	чем в	1	2
226	и при	2	2
227	вопрос о	2	2
228	лишь один	1	2
229	даже в	4	2
230	тому что	1	2
231	она не	1	2
232	в таких	1	2
233	даже не	1	2
234	мысли в	1	2
235	и сама	1	2
236	и притом	1	2
237	и его	6	2
238	этот образ	1	2
239	уже и	1	2
240	в области	3	2
241	у нас	2	2
242	с и	1	2
243	оно не	2	2
244	говоря словами	3	2
245	слово которое	1	2
246	не могу	2	2
247	в ее	5	2
248	данном случае	4	2
249	в глазах	3	2
250	вопрос что	1	2
251	на том	1	2
252	не с	2	2
253	можно только	1	2
254	но мы	1	2
255	от земли	1	2
256	нас в	1	2
257	в ряд	1	2
258	когда оно	1	2
259	бы в	1	2
260	еще более	1	2
261	в ту	2	2
262	но так	1	2
263	один из	2	2
264	в двух	1	2
265	в обществе	1	2
266	именно на	1	2
267	конечно не	1	2
268	и у	1	2
269	за ним	2	2
270	этом в	1	2
271	отношение к	2	2
272	человека из	1	2
273	друг друга	1	2
274	не были	1	2
275	и даже	2	2
276	с другой	6	2
277	или иначе	2	2
278	на этот	1	2
279	есть от	1	2
280	в свою	2	2
281	и быть	1	2
282	превращается в	1	2
283	как ни	1	2
284	к его	1	2
285	только для	3	2
286	тому как	3	2
287	не стало	1	2
288	никем не	2	2
289	быть не	2	2
290	художественное произведение	2	2
291	из тех	1	2
292	и для	4	2
293	и как	3	2
294	ни к	3	2
295	во время	1	2
296	я в	7	2
297	не что	1	2
298	из этого	1	2
299	есть и	1	2
300	к другим	1	2
301	в своих	2	2
302	искусство есть	1	1
303	всем и	1	1
304	одним из	4	1
305	форме слова	1	1
306	с образом	2	1
307	художественного произведения	2	1
308	начинается с	1	1
309	объективной стороны	1	1
310	того же	2	1
311	идет о	1	1
312	в приведенном	1	1
313	не признает	1	1
314	по которым	1	1
315	в их	1	1
316	и за	1	1
317	со второй	2	1
318	полагает что	1	1
319	бы уже	1	1
320	для своего	2	1
321	я может	1	1
322	и новые	1	1
323	коренится в	1	1
324	когда люди	1	1
325	поэзии не	1	1
326	прозе и	1	1
327	свою очередь	1	1
328	в xix	1	1
329	разумеется не	3	1
330	он сам	1	1
331	ответа на	1	1
332	себя а	1	1
333	быть в	1	1
334	в последних	1	1
335	в чем	1	1
336	во всех	2	1
337	сказать и	2	1
338	на высоте	1	1
339	своим и	1	1
340	но не	4	1
341	его творения	1	1
342	нужно быть	1	1
343	отличие от	5	1
344	друг от	1	1
345	нет и	1	1
346	первый взгляд	1	1
347	субъекта и	5	1
348	предполагает в	1	1
349	что первое	1	1
350	о всякой	1	1
351	перед нами	1	1
352	для которой	1	1
353	ход мысли	1	1
354	духа в	1	1
355	к художественному	1	1
356	носит в	1	1
357	себе как	1	1
358	он в	2	1
359	не оставляет	1	1
360	в этой	8	1
361	еще один	2	1
362	и отношения	1	1
363	им в	2	1
364	жизнь как	2	1
365	быть только	2	1
366	вообще не	1	1
367	и еще	1	1
368	котором мы	1	1
369	деятельности так	1	1
370	оно должно	1	1
371	том чтобы	2	1
372	и сам	2	1
373	на жизнь	2	1
374	не судит	1	1
375	и наоборот	2	1
376	встречаются и	1	1
377	значение в	1	1
378	есть конечно	1	1
379	внутренней форме	1	1
380	согласиться что	1	1
381	а по	2	1
382	на все	1	1
383	по выражению	1	1
384	второй половины	1	1
385	входит в	4	1
386	которого не	1	1
387	есть образ	1	1
388	который и	1	1
389	действительности в	2	1
390	последнее имеет	2	1
391	еще одно	1	1
392	из первых	1	1
393	только одно	1	1
394	нет в	1	1
395	далеко не	2	1
396	а прежде	1	1
397	возможно человеку	1	1
398	иным путем	1	1
399	мы с	2	1
400	и было	1	1
401	и тогда	2	1
402	и того	1	1
403	на первый	1	1
404	от своего	1	1
405	и одно	1	1
406	в своей	7	1
407	этой связи	1	1
408	взгляд на	3	1
409	то для	1	1
410	а от	1	1
411	к предмету	2	1
412	занимающего нас	1	1
413	от себя	2	1
414	своего рода	10	1
415	состоящее в	1	1
416	об отсутствии	2	1
417	значение для	1	1
418	и другого	2	1
419	однако от	1	1
420	и внутренних	1	1
421	но он	1	1
422	друг другу	1	1
423	бы быть	1	1
424	пройдены и	1	1
425	в отношении	1	1
426	с которой	2	1
427	как о	2	1
428	на два	1	1
429	к новым	1	1
430	не по	1	1
431	свободы и	2	1
432	в толпе	1	1
433	в самых	1	1
434	для кого	1	1
435	и субъективное	1	1
436	этого явления	1	1
437	о природе	2	1
438	на наш	1	1
439	такова что	1	1
440	поэтическое произведение	1	1
441	природы в	1	1
442	с нами	1	1
443	в ком	1	1
444	во всем	1	1
445	не принадлежит	1	1
446	меня с	1	1
447	века не	1	1
448	как будто	4	1
449	этом отношении	5	1
450	нас самих	2	1
