N	3gram	Ircho_Kome_2	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	3	3
4	с точки зрения	1	2
5	не может быть	1	2
6	в том что	5	2
7	но не менее	1	1
8	в этом смысле	2	1
9	в ответ на	2	1
10	в соответствии с	1	1
11	в том же	1	1
12	тем более что	1	1
13	на первый план	1	1
14	ироническое отношение к	1	1
15	до сих пор	2	1
16	в той же	2	1
17	не было бы	1	1
18	независимо от того	2	1
19	что в нем	1	1
20	точно так же	1	1
21	и в то	1	1
22	в это время	2	1
23	едва ли не	5	1
24	ответ на это	1	1
25	во всяком случае	2	1
26	что у него	2	1
27	с другой стороны	1	1
28	связи с этим	1	1
29	тем не менее	1	1
30	о чем говорилось	1	1
31	у него в	1	1
32	но об этом	1	1
33	в то время	3	1
34	в свою очередь	1	1
35	о том что	4	1
36	и в самом	1	1
37	на этот раз	4	1
38	но в этом	1	1
39	лет тому назад	1	1
40	в каком направлении	1	1
41	имеется в виду	1	1
42	речь идет о	2	1
