N	2gram	Trubetskoy_1	OGranits
1	и в	26	13
2	и его	1	12
3	прежде всего	2	9
4	может быть	10	8
5	не может	4	8
6	и не	8	8
7	в его	5	7
8	и их	1	7
9	и пр	1	7
10	точки зрения	13	7
11	только в	4	6
12	как бы	12	6
13	не только	10	6
14	то что	7	6
15	мы должны	6	6
16	таким образом	22	6
17	и т.д	6	5
18	все же	6	5
19	и наконец	2	5
20	в музыке	1	5
21	с точки	6	5
22	в процессе	2	5
23	хотя бы	3	5
24	мы не	1	4
25	тех пор	2	4
26	еще и	1	4
27	но в	7	4
28	мы можем	2	4
29	то же	4	4
30	лишь в	5	4
31	в сознании	1	4
32	в своей	1	4
33	было бы	1	4
34	все это	6	4
35	не является	1	4
36	вряд ли	1	3
37	связана с	2	3
38	в ее	1	3
39	самом деле	1	3
40	так и	6	3
41	похожим на	1	3
42	в их	1	3
43	по отношению	1	3
44	тела и	1	3
45	общего с	2	3
46	с этим	1	3
47	в которой	3	3
48	ни один	2	3
49	в себе	6	3
50	языка как	1	3
51	к одному	1	3
52	не как	2	3
53	в одном	3	3
54	так как	9	3
55	но и	9	3
56	как и	1	3
57	не в	2	3
58	да и	1	3
59	но для	1	3
60	и для	5	3
61	никогда не	5	3
62	и все	2	3
63	превращается в	2	3
64	отношению к	3	3
65	что в	9	3
66	ничего общего	2	3
67	смысле слова	1	2
68	для себя	1	2
69	данном случае	1	2
70	роль в	1	2
71	и этот	1	2
72	мы уже	1	2
73	те же	2	2
74	есть не	1	2
75	подойти к	3	2
76	не исчерпывается	2	2
77	если бы	3	2
78	с самого	3	2
79	и должно	1	2
80	грамматики и	1	2
81	в ней	1	2
82	а также	2	2
83	в чем	1	2
84	помимо этого	1	2
85	между тем	2	2
86	в ряд	1	2
87	в общем	8	2
88	во всей	1	2
89	что они	1	2
90	вслед за	2	2
91	наконец в	2	2
92	к сожалению	3	2
93	и следовательно	1	2
94	материалом для	1	2
95	как в	1	2
96	в которую	1	2
97	в данном	1	2
98	в этом	15	2
99	в том	11	2
100	мы видим	1	2
101	тот же	2	2
102	с ними	1	2
103	от этого	1	2
104	и отчасти	1	2
105	в этот	1	2
106	которое мы	1	2
107	все эти	6	2
108	с одной	7	2
109	учение о	4	2
110	думать что	1	2
111	уже в	2	2
112	в нем	4	2
113	связанные с	7	2
114	при этом	3	2
115	для него	3	2
116	которые только	1	2
117	тем что	1	2
118	в них	2	2
119	связанных с	2	2
120	но одно	1	2
121	в области	9	2
122	с другой	8	2
123	всей своей	1	2
124	а как	1	2
125	в самом	4	2
126	входит в	1	2
127	она является	1	2
128	одной стороны	7	2
129	соответствии с	1	2
130	а не	5	2
131	другой стороны	1	2
132	там где	1	2
133	несмотря на	6	2
134	в связи	3	2
135	том что	7	2
136	с помощью	1	2
137	от своего	1	2
138	и при	3	2
139	и ее	1	2
140	так же	5	2
141	в отношении	6	2
142	тяготением к	1	2
143	телом и	1	2
144	в течение	4	2
145	с этой	3	2
146	выбор и	1	2
147	не менее	3	2
148	самого начала	2	2
149	не имеет	5	2
150	пути к	2	2
151	бы в	1	2
152	и является	2	2
153	а в	4	2
154	нет ничего	1	2
155	и к	5	2
156	могут быть	1	2
157	с телом	2	2
158	в своих	1	2
159	к тому	6	2
160	и это	2	1
161	можно говорить	1	1
162	одним из	2	1
163	же как	3	1
164	человека и	1	1
165	и через	1	1
166	себя как	1	1
167	правда тот	1	1
168	в виду	2	1
169	того же	6	1
170	значительной мере	2	1
171	и сами	2	1
172	но далеко	1	1
173	как известно	1	1
174	бытия то	1	1
175	это и	1	1
176	пусть эта	1	1
177	но тем	1	1
178	и есть	1	1
179	не произойдет	1	1
180	произведений которые	1	1
181	в себя	1	1
182	существующего в	1	1
183	в индии	8	1
184	и до	1	1
185	материи и	1	1
186	в образе	2	1
187	сознании не	1	1
188	особенно в	2	1
189	мы имеем	2	1
190	к тем	1	1
191	и о	3	1
192	для этого	2	1
193	из одного	1	1
194	по себе	1	1
195	по мере	1	1
196	но такая	1	1
197	от тела	2	1
198	с ее	1	1
199	но даже	1	1
200	ему в	2	1
201	не совсем	1	1
202	благодаря трудам	1	1
203	в мире	5	1
204	в каждой	1	1
205	другими словами	1	1
206	и что	4	1
207	еще не	2	1
208	связи со	1	1
209	в широком	1	1
210	времени в	1	1
211	художественном творчестве	1	1
212	и своей	1	1
213	развития не	1	1
214	жизни он	1	1
215	к нему	7	1
216	совсем не	1	1
217	но не	8	1
218	а у	1	1
219	с момента	1	1
220	эта особенность	1	1
221	может и	1	1
222	с духом	1	1
223	природы и	1	1
224	отношение к	5	1
225	или иное	2	1
226	на то	2	1
227	один и	1	1
228	на словах	1	1
229	в одной	1	1
230	эта связь	1	1
231	единиц в	1	1
232	для создания	1	1
233	в своем	3	1
234	как из	1	1
235	то или	2	1
236	по своей	2	1
237	что касается	1	1
238	один из	2	1
239	которые и	1	1
240	творца и	2	1
241	и как	3	1
242	и превращается	1	1
243	его к	1	1
244	одной из	5	1
245	этот вопрос	1	1
246	что он	4	1
247	более или	5	1
248	более детальному	1	1
249	в значительной	3	1
250	не приходится	1	1
251	чуть ли	1	1
252	иной характер	2	1
253	со всеми	2	1
254	является лишь	1	1
255	в этой	4	1
256	для всех	2	1
257	что к	1	1
258	с их	1	1
259	элементов в	1	1
260	и тот	1	1
261	не имеющие	1	1
262	с одним	2	1
263	конечно не	2	1
264	сливаются в	1	1
265	не можем	1	1
266	перекинуть мост	1	1
267	и у	8	1
268	только на	1	1
269	если он	1	1
270	вследствие этого	1	1
271	в нашей	1	1
272	как совершенно	1	1
273	и если	3	1
274	что она	1	1
275	и других	1	1
276	на эту	1	1
277	одно из	2	1
278	никто не	1	1
279	неизменная и	1	1
280	состоит в	2	1
281	в виде	4	1
282	в конце	6	1
283	привела к	1	1
284	пустоту и	1	1
285	только с	1	1
286	из него	2	1
287	и никогда	1	1
288	с системой	1	1
289	отличие от	1	1
290	на этом	1	1
291	его можно	2	1
292	людей и	2	1
293	только некоторые	1	1
294	явствует что	1	1
295	и вместе	4	1
296	явления природы	1	1
297	не должно	1	1
298	для того	5	1
299	что мир	1	1
300	бы быть	1	1
301	на все	2	1
302	говорить не	1	1
303	и здесь	2	1
304	его в	1	1
305	как к	1	1
306	к которому	2	1
307	в догматической	1	1
308	заключается в	1	1
309	между отдельными	1	1
310	лежит в	1	1
311	что мы	2	1
312	о которых	1	1
313	не было	2	1
314	и произошло	1	1
315	она и	1	1
316	соприкасается с	1	1
317	далеко не	4	1
318	и самый	1	1
319	сдвиг в	1	1
320	не всегда	2	1
321	должно быть	1	1
322	такой же	1	1
323	и тогда	4	1
324	если не	2	1
325	или менее	5	1
326	но при	2	1
327	связь с	2	1
328	но если	2	1
329	себе в	1	1
330	эти слова	1	1
331	и особенно	2	1
332	в такой	1	1
333	его может	1	1
334	однако этот	1	1
335	представление о	6	1
336	в отличие	1	1
337	в которых	4	1
338	и глубоко	1	1
339	на три	1	1
340	к этому	3	1
341	должно было	2	1
342	тем не	3	1
343	как средство	1	1
344	в эпоху	7	1
345	и более	1	1
346	их в	1	1
347	необходимо чтобы	1	1
348	этого слова	1	1
349	что такое	1	1
350	только то	1	1
351	быть и	2	1
352	является для	1	1
353	призыв к	1	1
354	вплоть до	2	1
355	но это	1	1
356	этом следует	1	1
357	эта способность	1	1
358	в начале	2	1
359	к двум	1	1
360	психической жизни	2	1
361	в то	4	1
362	как о	3	1
363	сознании и	2	1
364	которых он	1	1
365	же есть	1	1
366	не знаем	1	1
367	порвать с	1	1
368	того чтобы	5	1
369	но такой	1	1
370	иметь в	1	1
371	при таком	2	1
372	не существует	1	1
373	в разных	2	1
374	связанный с	2	1
375	на одном	1	1
376	найти в	1	1
377	того как	1	1
378	в самой	2	1
379	то не	1	1
380	же время	2	1
381	находит свое	1	1
382	тем более	1	1
383	важное значение	1	1
384	сложнее и	1	1
385	за исключением	1	1
386	это слово	1	1
387	только что	2	1
388	потому что	7	1
389	бы по	1	1
390	связи с	9	1
391	этом отношении	2	1
392	не вполне	3	1
393	и несколько	1	1
394	ничего в	1	1
395	о сущности	1	1
396	проникают в	1	1
397	сказать что	2	1
398	среди них	2	1
399	впервые в	1	1
400	но когда	2	1
401	когда мы	1	1
402	ли не	1	1
403	с его	2	1
404	же самое	2	1
405	должны быть	1	1
406	вместе с	15	1
407	этого и	1	1
408	при всяком	1	1
409	этой точки	2	1
410	они не	1	1
