N	3gram	Vinokur_Ku_2	DiskursI
1	в том что	10	13
2	с одной стороны	1	9
3	по природе своей	1	5
4	о том что	1	5
5	в отличие от	2	4
6	то же время	3	4
7	к тому же	1	4
8	не в том	1	3
9	не может быть	4	3
10	в свою очередь	2	3
11	с другой стороны	7	3
12	в то же	3	3
13	по себе не	2	2
14	том что в	1	2
15	не говоря уже	2	2
16	в соответствии с	2	2
17	и не только	1	2
18	тот или иной	1	2
19	говоря уже о	2	2
20	сами по себе	1	2
21	в наше время	2	2
22	по крайней мере	6	2
23	в значительной степени	1	2
24	большей или меньшей	3	2
25	в данном случае	1	2
26	в том чтобы	1	2
27	не только в	4	2
28	состоит в том	1	2
29	не более чем	1	2
30	едва ли не	1	2
31	можно сказать что	2	2
32	в этом своем	1	2
33	только в том	2	2
34	в силу своей	1	2
35	в этом случае	2	1
36	прежде всего в	1	1
37	дело в том	1	1
38	на самом деле	2	1
39	в этом последнем	1	1
40	также и в	1	1
41	в этом смысле	5	1
42	выходит за рамки	2	1
43	с точки зрения	8	1
44	по себе они	2	1
45	до сих пор	1	1
46	том случае если	2	1
47	хотя бы и	2	1
48	сам по себе	1	1
49	что он не	1	1
50	в первую очередь	1	1
51	только то что	1	1
52	том или ином	1	1
53	в противном случае	1	1
54	тем чем он	1	1
55	вместе с тем	2	1
56	случае перед нами	1	1
57	из уст в	1	1
58	только потому что	6	1
59	как мы видели	1	1
60	на максимальное количество	1	1
61	таким же образом	1	1
62	и в том	2	1
63	тем что он	2	1
64	она сводится к	1	1
65	можно сказать и	1	1
66	и потому что	2	1
67	в известном смысле	1	1
68	если и не	1	1
69	в том случае	2	1
70	что к этому	1	1
71	но и вся	1	1
72	в большей или	3	1
73	или меньшей степени	3	1
74	в связи с	3	1
75	тем или иным	1	1
76	во всяком случае	5	1
77	хотя бы на	1	1
78	уст в уста	1	1
79	лежит в основании	1	1
80	в свое время	2	1
81	того или иного	2	1
82	в этом отношении	3	1
83	а своего рода	1	1
84	этого термина они	1	1
85	не только потому	2	1
86	с самого начала	1	1
87	легко заметить что	1	1
88	в конечном счете	2	1
89	заключается в том	1	1
90	речь идет о	1	1
91	несмотря на все	1	1
92	если бы я	1	1
93	на то что	2	1
94	может и не	1	1
95	в данном отношении	2	1
96	в другом случае	1	1
97	на этом пути	1	1
98	бытовом речевом общении	1	1
99	в результате этого	2	1
100	в том и	1	1
101	и прежде всего	1	1
102	тех или иных	1	1
103	том и в	1	1
104	тем не менее	5	1
105	но все же	2	1
106	дело не в	2	1
107	в большинстве случаев	1	1
108	как и в	1	1
109	сошлюсь хотя бы	1	1
110	в том или	1	1
111	и в другом	2	1
