N	3gram	Propp_Isto_5	Sovremen
1	с точки зрения	1	5
2	в зависимости от	1	4
3	не может быть	3	4
4	мы видели что	2	3
5	с самого начала	1	3
6	тем не менее	4	2
7	друг с другом	2	2
8	во всяком случае	1	2
9	каждого из них	1	2
10	в отличие от	1	2
11	в свою очередь	1	2
12	в дословном переводе	1	1
13	мы это увидим	1	1
14	одной стороны и	1	1
15	уже знаем что	1	1
16	но это уже	1	1
17	в одном случае	1	1
18	не в том	1	1
19	в связи с	4	1
20	не дает нам	1	1
21	не в виде	1	1
22	по отношению к	2	1
23	на самом деле	1	1
24	так же как	3	1
25	в этом случае	7	1
26	а потом и	1	1
27	до сих пор	2	1
28	то же время	1	1
29	но тем не	1	1
30	состоит из двух	1	1
31	ведь это не	1	1
32	мы не знаем	2	1
33	это значит что	2	1
34	прежде всего мы	1	1
35	совершенно так же	1	1
36	в самом деле	1	1
37	но все же	4	1
38	мы знаем что	4	1
39	знаем что это	2	1
40	но уже в	1	1
41	но мы знаем	1	1
42	в то же	1	1
43	мы видим что	4	1
44	уже в ином	1	1
45	в процессе развития	1	1
46	мы уже знаем	1	1
47	в том что	2	1
48	в данном случае	2	1
49	на этой стадии	3	1
50	может быть в	1	1
51	на другой день	1	1
52	с одной стороны	7	1
53	для наших целей	1	1
54	ясно что все	1	1
