N	4gram	Medvedev_F_3	Myshleni
1	одной и той же	1	2
2	все более и более	1	2
3	дело в том что	1	1
4	ту или другую сторону	1	1
5	с другой стороны в	1	1
6	в ту или другую	1	1
7	и в то же	2	1
8	в виду прежде всего	1	1
9	в собственном смысле слова	1	1
10	в том числе и	1	1
11	с этой точки зрения	1	1
12	в то же время	7	1
13	но с точки зрения	1	1
14	между ними не может	1	1
15	вместе с тем и	1	1
16	о котором мы говорили	1	1
17	для того чтобы стать	1	1
18	что в данном случае	1	1
19	и пр и пр	1	1
20	то же время не	1	1
