1	не значит что	2	3
2	подобно тому как	1	3
3	ни одна из	1	2
4	вопрос о том	1	2
5	вместе с тем	6	2
6	так же как	1	2
7	это не значит	2	2
8	как будто бы	1	1
9	и потому что	2	1
10	не только в	1	1
11	о том что	4	1
12	и того же	1	1
13	о том чтобы	1	1
14	не только потому	1	1
15	в отличие от	1	1
16	же как и	1	1
17	одного и того	1	1
18	можно было бы	1	1
19	во всяком случае	1	1
20	быть не может	1	1
21	в том что	15	1
22	применяя к ним	1	1
23	что в этом	2	1
24	наряду с этим	1	1
25	как будто не	1	1
26	в то время	1	1
27	есть вместе с	1	1
28	как и в	1	1
29	только потому что	1	1
30	в большинстве случаев	2	1
31	но и потому	1	1
