N	2gram	Losev_Prob_1	Narrotol
1	не только	17	32
2	может быть	14	25
3	но и	9	23
4	в качестве	2	21
5	и не	31	20
6	то есть	33	19
7	и в	32	19
8	в том	9	18
9	в этом	19	17
10	не в	4	14
11	том что	12	14
12	а не	15	12
13	а в	4	11
14	то что	42	11
15	не может	8	10
16	точки зрения	3	10
17	так и	12	9
18	в его	6	9
19	со стороны	1	9
20	при этом	6	9
21	в себе	15	8
22	с другой	3	8
23	не является	5	8
24	все же	1	7
25	еще не	9	7
26	как и	3	7
27	в случае	3	7
28	к тому	3	7
29	такого рода	7	7
30	а также	4	7
31	ни для	1	7
32	как в	4	7
33	на протяжении	1	6
34	тем самым	4	6
35	как это	6	6
36	но не	9	6
37	но в	14	6
38	именно в	4	6
39	о том	11	6
40	то в	5	6
41	что он	7	6
42	с его	2	6
43	можно сказать	5	5
44	к нему	3	5
45	по себе	15	5
46	мира в	1	5
47	и его	3	5
48	отнюдь не	10	5
49	тому же	1	5
50	уже не	3	5
51	в этой	10	5
52	далеко не	5	5
53	себя в	1	5
54	в основе	1	5
55	или иной	5	5
56	и как	6	5
57	в данном	9	5
58	и с	2	4
59	данном случае	8	4
60	прежде всего	10	4
61	здесь не	7	4
62	другой стороны	3	4
63	при всей	1	4
64	хотя бы	3	4
65	если не	4	4
66	но все	3	4
67	то же	10	4
68	переход от	1	4
69	что не	3	4
70	пока еще	3	4
71	в силу	1	4
72	да и	3	4
73	имеет место	1	4
74	только в	7	4
75	и тем	13	4
76	связи с	5	4
77	же в	4	4
78	было бы	8	4
79	одного из	1	4
80	перед нами	5	4
81	из которых	1	4
82	основе своей	1	4
83	о нем	3	4
84	как бы	14	4
85	сказать что	13	4
86	той или	5	4
87	в нем	13	4
88	во втором	1	4
89	но о	2	3
90	жизни и	1	3
91	не есть	29	3
92	бы то	1	3
93	на том	4	3
94	что они	3	3
95	даже не	1	3
96	не будет	2	3
97	ни было	1	3
98	не менее	19	3
99	в прошлом	1	3
100	в третьем	1	3
101	и самого	1	3
102	будто бы	1	3
103	если в	1	3
104	по своей	1	3
105	сводится к	1	3
106	что в	12	3
107	в ее	3	3
108	особенно в	2	3
109	между тем	2	3
110	никогда не	7	3
111	хотя и	6	3
112	не с	1	3
113	мог бы	1	3
114	с ее	1	3
115	как мы	7	3
116	то ни	1	3
117	в то	6	3
118	в сущности	2	3
119	что это	3	3
120	ни в	7	3
121	один из	4	3
122	тем что	7	3
123	в первом	2	3
124	тем не	18	3
125	не о	2	3
126	одна из	1	3
127	же как	2	3
128	могут быть	2	3
129	не существует	6	3
130	то или	2	3
131	этом отношении	1	3
132	и на	8	3
133	он не	3	3
134	на себя	2	3
135	уже в	3	3
136	как будто	3	3
137	а именно	12	3
138	из них	3	3
139	из этих	2	3
140	или иначе	2	3
141	не обязательно	3	3
142	и даже	11	3
143	себя внимание	1	3
144	все эти	8	2
145	что по	1	2
146	одним из	1	2
147	или иное	1	2
148	когда мы	8	2
149	говорит и	3	2
150	оно не	3	2
151	должна быть	1	2
152	в связи	4	2
153	от всех	2	2
154	говорить о	6	2
155	или в	4	2
156	что нет	2	2
157	в литературе	4	2
158	говорит о	3	2
159	является субстратом	1	2
160	каждый из	1	2
161	они все	1	2
162	так же	9	2
163	и для	4	2
164	здесь и	1	2
165	и ее	8	2
166	не было	4	2
167	может оказаться	1	2
168	известном смысле	1	2
169	и все	7	2
170	есть в	5	2
171	на первый	2	2
172	как раз	13	2
173	которого он	2	2
174	даже в	1	2
175	иное как	2	2
176	к другой	1	2
177	нами не	1	2
178	чтобы стать	1	2
179	бы не	1	2
180	в последние	1	2
181	на другой	1	2
182	есть всегда	1	2
183	того или	2	2
184	субъекта и	1	2
185	к самому	1	2
186	одно из	2	2
187	его по	1	2
188	его в	6	2
189	со смертью	1	2
190	таком случае	6	2
191	и только	4	2
192	его как	2	2
193	ту или	1	2
194	в результате	2	2
195	при всем	1	2
196	от одной	1	2
197	первый взгляд	1	2
198	вплоть до	1	2
199	например в	2	2
200	для него	2	2
201	смерти и	1	2
202	во всей	3	2
203	отношения к	1	2
204	в таком	9	2
205	это все	1	2
206	сами по	3	2
207	нет и	2	2
208	но как	6	2
209	не сводится	1	2
210	что иное	2	2
211	и возможность	1	2
212	составляющих ее	1	2
213	с точки	3	2
214	однако в	2	2
215	он сам	2	2
216	в противоположность	1	2
217	имеем дело	1	2
218	утверждать что	1	2
219	в памяти	1	2
220	что на	1	2
221	не на	3	2
222	и потому	2	2
223	ничего не	10	2
224	его жизни	1	2
225	этого понятия	2	2
226	о чем	6	2
227	наряду с	1	2
228	или менее	3	2
229	в пределах	1	2
230	для своей	1	2
231	совершенно не	6	2
232	себе не	3	2
233	по существу	2	2
234	некоторого рода	5	2
235	всей своей	1	2
236	а по	1	2
237	не что	2	2
238	события в	1	2
239	она не	2	2
240	не являются	5	2
241	что мы	13	2
242	несмотря на	3	2
243	времени в	1	2
244	не как	2	2
245	не случайно	1	2
246	тем более	5	2
247	в известном	1	2
248	которая в	1	2
249	подобно тому	2	2
250	имеют место	1	2
251	не имеет	2	2
252	или иного	2	2
253	самом деле	6	2
254	это не	6	2
255	ей не	1	2
256	который в	1	2
257	хотя в	3	2
258	так или	2	2
259	не то	2	2
260	совершенно очевидно	1	2
261	точно так	4	2
262	тому как	2	2
263	можно было	3	2
264	человека в	1	2
265	мы имеем	2	2
266	в своем	5	2
267	он уже	1	2
268	всей его	1	2
269	и до	2	2
270	более или	3	2
271	в общей	2	2
272	а если	1	2
273	что оно	3	1
274	смысловую перспективу	1	1
275	об ее	1	1
276	его от	3	1
277	что ей	1	1
278	тому или	1	1
279	может и	3	1
280	в мышлении	1	1
281	не верили	1	1
282	есть так	1	1
283	власти о	1	1
284	между людьми	1	1
285	известной степени	2	1
286	и существенно	1	1
287	образом и	2	1
288	или иных	2	1
289	и здесь	6	1
290	на его	2	1
291	не знает	1	1
292	первую очередь	1	1
293	но она	3	1
294	но само	1	1
295	мы все-таки	2	1
296	для нас	5	1
297	литературоведения и	1	1
298	содержанием самого	1	1
299	в другом	1	1
300	входит в	4	1
301	есть тоже	1	1
302	если же	1	1
303	в него	2	1
304	например на	2	1
305	очень часто	1	1
306	место в	1	1
307	другой но	1	1
308	но он	3	1
309	это то	1	1
310	часто оказывается	1	1
311	ничто в	1	1
312	ни одна	1	1
313	о котором	1	1
314	указать на	1	1
315	от этого	1	1
316	как таковой	1	1
317	было и	1	1
318	и который	2	1
319	обозначения и	4	1
320	на данный	1	1
321	однако он	1	1
322	с которым	1	1
323	говоря и	1	1
324	бы желая	1	1
325	для себя	3	1
326	нельзя сказать	2	1
327	кто не	1	1
328	внимание на	1	1
329	есть нечто	11	1
330	всеми уже	1	1
331	и является	7	1
332	для всего	2	1
333	обратим внимание	1	1
334	и ничего	2	1
335	в первую	1	1
336	личности героя	1	1
337	крайней мере	2	1
338	но по	1	1
339	ни слова	1	1
340	также ее	1	1
341	или может	2	1
342	как такового	2	1
343	понимать как	2	1
344	вовсе не	35	1
345	на ее	1	1
346	образом не	1	1
347	таким образом	6	1
348	последние десятилетия	1	1
349	где он	1	1
350	сих пор	3	1
351	у себя	1	1
352	с ним	3	1
353	самым существенным	1	1
354	дела и	1	1
355	и во	3	1
356	и вообще	4	1
357	и незначительным	1	1
358	дает нам	1	1
359	мы не	2	1
360	интенциональном акте	2	1
361	не так	1	1
362	и смерть	1	1
363	в конце	6	1
364	образом на	1	1
365	до сих	3	1
366	дело не	1	1
367	в смысле	1	1
368	не самой	2	1
369	без которого	3	1
370	в системе	1	1
371	то и	6	1
372	от него	1	1
373	в специальном	1	1
374	с другими	2	1
375	которое мы	1	1
376	во всех	7	1
377	только то	4	1
378	тому чтобы	1	1
379	это пока	1	1
380	он существует	1	1
381	случайного и	1	1
382	в художественном	1	1
383	у чехова	2	1
384	об этом	10	1
385	но поскольку	1	1
386	в их	4	1
387	в разные	1	1
388	бы он	1	1
389	и того	2	1
390	событие но	1	1
391	в это	2	1
392	внешняя сторона	5	1
393	по его	2	1
394	как то	1	1
395	есть система	1	1
396	текст и	2	1
397	со всеми	2	1
398	известного рода	3	1
399	из монастыря	1	1
400	в конкретной	1	1
401	о разных	1	1
402	оно и	3	1
403	до известной	1	1
404	этом что	1	1
405	совсем не	4	1
406	встречаются в	1	1
407	и пр	4	1
408	его и	1	1
409	в году	1	1
410	отношения между	1	1
411	же было	1	1
412	на что	2	1
413	в акте	1	1
414	есть не	6	1
415	бы один	1	1
416	одного и	2	1
417	например о	2	1
418	этом смысле	6	1
419	и сама	2	1
420	с этой	1	1
421	о смерти	1	1
422	здесь в	3	1
423	того что	7	1
424	потому что	16	1
425	что смысл	1	1
426	но зато	1	1
427	свидетельствует о	3	1
428	мир в	1	1
429	в начале	1	1
430	на путь	1	1
431	для такого	2	1
432	в какой-нибудь	1	1
433	может считаться	1	1
434	что ни	2	1
435	было не	1	1
436	что никогда	1	1
437	мысли о	1	1
438	произведение в	1	1
439	в нашей	1	1
440	еще только	1	1
441	здесь только	2	1
442	далек от	1	1
443	как об	1	1
444	именно с	1	1
445	нам представляется	1	1
446	лучше сказать	2	1
447	и больше	1	1
448	закономерно и	1	1
449	тех или	3	1
450	для кого	1	1
451	в россии	1	1
452	различные и	1	1
453	в историю	1	1
454	как они	2	1
455	что этот	2	1
456	и сам	1	1
457	уже по	1	1
458	который является	2	1
459	он может	1	1
460	на свою	1	1
461	не требует	1	1
462	настоящего времени	1	1
463	не признает	1	1
464	на самом	6	1
465	и при	2	1
466	есть прежде	1	1
467	человека с	1	1
468	все время	2	1
469	связаны между	1	1
470	сознания однако	1	1
471	что если	2	1
472	у нас	14	1
473	человек идет	1	1
474	этих двух	1	1
475	есть то	1	1
476	к его	2	1
477	у большинства	1	1
478	что понятие	3	1
479	идти в	1	1
480	лишь в	1	1
481	тот же	1	1
482	на одном	2	1
483	чистом виде	1	1
484	что было	1	1
485	мы видели	1	1
486	и конца	1	1
487	именно как	4	1
488	в чем	3	1
489	поэтому и	2	1
490	но уже	5	1
491	дело в	3	1
492	и от	1	1
493	не всякий	4	1
494	к ней	1	1
495	говорить и	1	1
496	с которыми	4	1
497	х годов	1	1
498	до наших	1	1
499	но на	1	1
500	но всегда	1	1
501	того же	3	1
502	не дает	1	1
503	того не	1	1
504	человека к	1	1
505	о любви	2	1
506	содержит в	7	1
507	мы увидим	3	1
508	сказать о	2	1
509	к своему	1	1
510	тотчас же	1	1
511	сливаются в	3	1
512	тот или	1	1
513	начала и	1	1
514	даже если	4	1
515	или попросту	1	1
516	наших дней	1	1
517	о нашей	1	1
518	данный момент	1	1
519	является как	1	1
520	это же	1	1
521	этого момента	1	1
522	едва ли	2	1
523	мира или	2	1
524	элементы в	1	1
525	это требует	1	1
526	автора который	1	1
527	времени а	1	1
528	что все	3	1
529	объединения составляющих	1	1
530	по поводу	4	1
531	может иметь	2	1
532	ни один	1	1
533	по своему	9	1
534	однако и	3	1
535	он оказывается	1	1
536	есть его	2	1
537	в них	7	1
538	но ясно	1	1
539	сам по	7	1
540	от нас	3	1
541	жизни то	1	1
542	только потому	3	1
543	но собственно	1	1
544	в котором	5	1
545	мы уже	5	1
546	общностью а	1	1
547	из нее	1	1
548	по крайней	2	1
549	чего он	3	1
550	от того	1	1
551	действительности и	5	1
552	том же	1	1
553	не мешает	2	1
554	и мышлении	2	1
555	действующих лиц	2	1
556	не обладают	1	1
557	что данный	1	1
558	и делает	3	1
559	в действительности	3	1
560	в данный	1	1
561	силу и	1	1
562	в самом	6	1
563	оно есть	1	1
564	впрочем не	1	1
565	же здесь	1	1
566	мы строим	1	1
567	на другом	1	1
568	как символ	6	1
569	и было	1	1
570	не могут	2	1
571	как для	2	1
572	тоже не	7	1
573	уже никто	1	1
574	о других	1	1
575	в процессе	1	1
576	же о	1	1
577	мы можем	4	1
578	однако здесь	3	1
579	является для	1	1
580	его из	1	1
581	здесь обычно	1	1
582	мы будем	2	1
583	есть уже	1	1
584	на этом	1	1
585	хоть и	1	1
586	несомненно есть	1	1
587	акты в	1	1
588	их в	4	1
589	вместе со	1	1
590	них в	1	1
591	таковы например	2	1
592	нет ничего	10	1
593	от других	2	1
594	мы и	4	1
595	до последнего	1	1
596	здесь нами	1	1
597	и столь	1	1
598	отношений между	1	1
599	быть и	3	1
600	увидел у	1	1
601	же самое	9	1
602	нас в	2	1
603	содержащий в	1	1
604	также и	11	1
605	есть закономерная	1	1
606	обнаруживает как	1	1
607	в общем	1	1
608	и к	1	1
609	признать что	1	1
610	не будем	2	1
611	ему не	1	1
612	она сама	1	1
613	вещами и	1	1
614	чем он	1	1
615	и строго	1	1
616	этом последнем	1	1
617	все равно	5	1
618	начиная с	1	1
619	широкое и	1	1
620	собственно говоря	2	1
621	о его	2	1
622	и всю	2	1
623	но еще	2	1
624	этом не	1	1
625	в области	2	1
626	которое в	1	1
627	которая не	1	1
628	в какой-то	1	1
629	и есть	6	1
630	очевидны что	1	1
631	для обозначения	4	1
632	а может	2	1
633	мире по	1	1
634	отсутствует но	1	1
635	в которых	3	1
636	это было	2	1
637	делает его	2	1
638	чем и	1	1
639	представляется нам	1	1
640	какой-то мере	1	1
