N	3gram	Medvedev_F_1	Literetu
1	то же время	8	7
2	в то же	8	7
3	в этом отношении	1	5
4	в отличие от	1	5
5	по отношению к	4	4
6	не говоря уже	1	4
7	в данном случае	1	4
8	с одной стороны	4	4
9	в том что	1	4
10	в том числе	1	3
11	с точки зрения	13	3
12	говоря уже о	1	3
13	не может быть	5	3
14	особое место в	1	2
15	состоит в том	1	2
16	какого бы то	1	2
17	одной стороны и	4	2
18	бы то ни	3	2
19	но и в	1	2
20	том числе и	1	2
21	в то что	1	2
22	и в частности	2	2
23	в целом и	1	2
24	в том чтобы	2	2
25	то ни было	1	2
26	так или иначе	1	2
27	а не как	1	2
28	с другой стороны	1	2
29	и тем самым	1	2
30	в этом его	1	1
31	а прежде всего	1	1
32	здесь может быть	1	1
33	на самом деле	6	1
34	так и не	1	1
35	друг от друга	2	1
36	оно должно быть	1	1
37	извне и изнутри	1	1
38	хотя бы и	1	1
39	вместе с тем	1	1
40	со всеми другими	1	1
41	по аналогии с	3	1
42	и т п	4	1
43	может быть вполне	1	1
44	то что было	1	1
45	в самом начале	1	1
46	понимать друг друга	1	1
47	и потому не	1	1
48	в связи с	2	1
49	но и с	1	1
50	художественного творчества в	1	1
51	и наконец в	2	1
52	в целом ряде	2	1
53	и в том	1	1
54	жизни вовсе не	1	1
55	между тем как	1	1
56	этой точки зрения	1	1
57	более или менее	6	1
58	художественного произведения в	2	1
59	как и всякое	1	1
60	по существу это	1	1
61	в свою очередь	6	1
62	ничего общего с	1	1
63	не только не	2	1
64	при этом не	1	1
65	герой романа и	1	1
66	с этой точки	1	1
67	в каждом своем	1	1
68	может и не	1	1
69	по себе но	1	1
70	в общественном сознании	1	1
71	произведения в его	1	1
72	но отнюдь не	1	1
73	к тому что	1	1
74	в отношении к	1	1
75	сама по себе	2	1
76	тем не менее	1	1
77	в своей основе	1	1
78	что он в	1	1
