N	3gram	Nazirov_Tv_2	VelikijI
1	о великом инквизиторе	3	4
2	в первый раз	1	3
3	легенда о великом	3	2
4	это еще не	1	2
5	в нем нет	1	2
6	не в силах	2	2
7	в том что	2	2
8	и т д	11	2
9	но прежде всего	2	1
10	никогда не было	2	1
11	как это случилось	1	1
12	т д и	1	1
13	в мистический смысл	1	1
14	в изображении достоевского	1	1
15	человека в его	1	1
16	по крайней мере	2	1
17	что он был	1	1
18	знаешь ли что	1	1
19	в xx веке	1	1
20	в известном смысле	1	1
21	и в этом	1	1
22	не могут быть	1	1
23	это одна из	1	1
24	с такой силой	1	1
25	он говорит что	1	1
26	тем что они	1	1
27	в мире и	1	1
28	с другой стороны	2	1
29	д и т	1	1
30	так и в	2	1
31	в истории человечества	1	1
32	ивана карамазова и	2	1
33	и никогда не	1	1
34	отпадения от бога	1	1
35	и что в	1	1
36	как и в	1	1
