1	до тех пор пока	2	3
2	не чем иным как	1	2
3	должны быть сведены к	1	1
4	с этой точки зрения	1	1
5	один и тот же	3	1
6	является не чем иным	1	1
7	более или менее случайно	1	1
8	в науке о языке	3	1
9	сознания с другой стороны	1	1
10	может быть и речи	2	1
11	побочно и более или	1	1
12	нет и не может	2	1
13	но в то же	2	1
14	и более или менее	1	1
15	в то же время	3	1
16	которым можно было бы	1	1
17	соссюр и его школа	1	1
18	и не может быть	4	1
19	что побочно и более	1	1
20	тождественность языковой формы напр	1	1
21	не может быть и	2	1
22	лишь с точки зрения	2	1
23	с другой стороны оно	1	1
