N	2gram	Voloshinov_1	PoTuStor
1	может быть	13	17
2	и в	15	16
3	и пр	9	12
4	в этом	13	9
5	таким образом	21	9
6	и только	4	9
7	мы можем	12	9
8	прежде всего	11	9
9	и с	7	8
10	точки зрения	13	8
11	в психике	3	8
12	эдипов комплекс	10	8
13	и его	15	8
14	к матери	11	8
15	не может	13	8
16	совершенно не	2	8
17	с его	8	7
18	не только	5	7
19	фрейд и	9	7
20	в сознание	9	7
21	сказать что	6	7
22	я и	6	6
23	самом деле	7	6
24	конечно не	3	6
25	при этом	7	6
26	с точки	10	6
27	в бессознательное	8	6
28	и это	1	6
29	к отцу	15	6
30	для него	5	6
31	и к	7	6
32	бессознательное и	3	5
33	еще не	7	5
34	в чем	4	5
35	отношение к	7	5
36	все эти	9	5
37	сознание и	4	5
38	до сознания	4	5
39	что такое	3	5
40	ни в	6	5
41	по фрейду	8	5
42	нуждается в	2	5
43	в бессознательном	2	5
44	ту сторону	3	5
45	в него	2	5
46	как бы	11	5
47	на самом	2	4
48	и ее	3	4
49	по ранку	4	4
50	и на	3	4
51	отнюдь не	2	4
52	и наконец	10	4
53	но в	9	4
54	в этой	5	4
55	законы образования	2	4
56	в нем	4	4
57	и может	4	4
58	его в	8	4
59	жизни человека	12	4
60	принципа наслаждения	4	4
61	в один	1	4
62	художественного творчества	1	4
63	мысли и	4	4
64	все это	5	4
65	по ту	3	4
66	самого начала	5	4
67	бессознательного и	3	4
68	как мы	10	4
69	с ее	3	4
70	с самого	7	4
71	так и	10	4
72	буржуазной философии	3	4
73	но мы	2	4
74	и желаний	4	4
75	можно сказать	4	4
76	субъективной психологии	4	4
77	в его	9	4
78	а потому	2	4
79	биологический организм	3	4
80	с ними	4	4
81	только в	6	4
82	для всех	2	4
83	так как	9	4
84	и даже	2	4
85	но и	4	4
86	все позволено	4	4
87	и не	16	4
88	и все	4	4
89	хотя бы	7	4
90	все что	9	4
91	отношения к	2	3
92	тех же	1	3
93	и значение	1	3
94	принципом реальности	1	3
95	во всех	8	3
96	в общем	1	3
97	и есть	2	3
98	возврат в	5	3
99	и как	1	3
100	ужас рождения	3	3
101	учение о	2	3
102	с их	3	3
103	чувств и	6	3
104	на две	3	3
105	и теперь	1	3
106	через сознание	3	3
107	мы полагаем	1	3
108	и вот	6	3
109	их в	2	3
110	вытесненного влечения	2	3
111	на этом	5	3
112	с сознанием	6	3
113	на этой	2	3
114	травмы рождения	4	3
115	реальности и	2	3
116	том что	5	3
117	во время	5	3
118	сих пор	3	3
119	культура и	4	3
120	в одном	3	3
121	явное содержание	4	3
122	по крайней	1	3
123	и притом	1	3
124	в основе	3	3
125	фрейда в	3	3
126	до сих	3	3
127	чем не	2	3
128	две группы	3	3
129	и оно	3	3
130	к себе	3	3
131	субъективная психология	2	3
132	у фрейда	4	3
133	его ученики	4	3
134	те же	4	3
135	мира и	1	3
136	по сравнению	1	3
137	представлений и	2	3
138	на язык	2	3
139	сексуальное влечение	6	3
140	преодоление травмы	2	3
141	в конечном	1	3
142	с другими	5	3
143	крайней мере	1	3
144	образы сновидения	3	3
145	и она	2	3
146	в том	4	3
147	назад в	1	3
148	в большинстве	4	3
149	только на	2	3
150	большинстве случаев	5	3
151	мы знаем	7	3
152	всяком случае	3	3
153	полагаем что	1	3
154	даже не	1	3
155	в области	3	3
156	и др	8	3
157	для сознания	1	3
158	принцип реальности	2	3
159	ребенка и	1	3
160	но оно	1	3
161	вместе с	4	3
162	и потому	8	3
163	как это	1	3
164	быть это	1	3
165	ко всякому	2	3
166	сравнению с	1	3
167	внутриутробного состояния	3	3
168	могут быть	6	3
169	матери и	2	3
170	влечений я	1	3
171	в uterus	1	3
172	в основном	2	3
173	ступенях развития	3	3
174	вся культура	1	3
175	что в	6	3
176	в этих	2	3
177	и бессознательное	5	3
178	а в	6	3
179	то что	10	3
180	между ними	2	3
181	только как	1	3
182	жизни и	5	3
183	во всяком	4	3
184	компромиссные образования	4	2
185	склонен к	1	2
186	же как	1	2
187	все снова	2	2
188	доступ в	1	2
189	идеологическое построение	1	2
190	бессознательное можно	1	2
191	нам кажется	1	2
192	определить как	1	2
193	этой теории	1	2
194	фрейдизма как	2	2
195	фрейд ни	2	2
196	в самом	6	2
197	и этот	1	2
198	мы уже	5	2
199	мы не	4	2
200	при сосании	1	2
201	и о	3	2
202	пытается дать	1	2
203	венского врача	1	2
204	объективных методов	1	2
205	что можно	1	2
206	эта первая	1	2
207	того же	1	2
208	на них	1	2
209	между собой	4	2
210	снов и	2	2
211	же тяги	1	2
212	из этих	4	2
213	совсем не	5	2
214	механизм перенесения	1	2
215	но как	1	2
216	друг на	1	2
217	испытание с	2	2
218	конечном счете	1	2
219	нет и	1	2
220	всему организму	1	2
221	за пределы	2	2
222	него только	2	2
223	метод свободного	4	2
224	с этим	6	2
225	желаний и	3	2
226	психические образования	1	2
227	и ницше	1	2
228	в этот	4	2
229	мир по	1	2
230	шутки и	2	2
231	что это	3	2
232	субъективной искренности	1	2
233	сознания при	1	2
234	и через	2	2
235	последующей жизни	2	2
236	подавленных энергий	2	2
237	не стали	2	2
238	системы бессознательного	1	2
239	современной ему	1	2
240	половой акт	2	2
241	вообще не	1	2
242	влечения фрейд	1	2
243	метод фрейда	1	2
244	в переводе	1	2
245	он не	4	2
246	искренности не	1	2
247	позволено и	1	2
248	и по	5	2
249	причинам поступка	1	2
250	то же	7	2
251	по своему	1	2
252	громадный запас	2	2
253	связанные с	2	2
254	систему бессознательного	2	2
255	связанных с	4	2
256	исторического и	2	2
257	на протяжении	5	2
258	было бы	6	2
259	свободного фантазирования	4	2
260	на следующих	2	2
261	в жизни	5	2
262	кажется что	1	2
263	libido от	1	2
264	по всему	2	2
265	психоаналитических сеансов	2	2
266	детской психике	1	2
267	от врача	1	2
268	всю жизнь	1	2
269	всей последующей	2	2
270	как и	6	2
271	между собою	1	2
272	влечения я	2	2
273	и чувств	2	2
274	потому и	3	2
275	на первый	1	2
276	с вытесненным	3	2
277	в своей	9	2
278	почти не	1	2
279	абстрактный биологический	2	2
280	нашу работу	1	2
281	знаем что	3	2
282	вытесненных влечений	2	2
283	рождение и	1	2
284	материнского лона	3	2
285	вытесненным представлением	2	2
286	войти в	3	2
287	пробиться в	2	2
288	в детской	3	2
289	можем сказать	2	2
290	этих трех	1	2
291	возникает в	1	2
292	не менее	3	2
293	в науке	1	2
294	не нуждается	2	2
295	социального и	1	2
296	никогда не	7	2
297	на два	1	2
298	таким путем	2	2
299	сущность его	1	2
300	всей жизни	4	2
301	сам фрейд	5	2
302	сводится к	3	2
303	так называемый	4	2
304	и исторического	1	2
305	эдипова комплекса	12	2
306	что на	1	2
307	в каком	3	2
308	он склонен	1	2
309	все то	2	2
310	не могут	3	2
311	на границе	1	2
312	ранней концепции	1	2
313	что оно	2	2
314	т.е в	1	2
315	он ищет	1	2
316	организме и	2	2
317	на основе	1	2
318	с сознательным	1	2
319	явные образы	3	2
320	и этим	3	2
321	только то	3	2
322	принципом наслаждения	1	2
323	о бессознательном	4	2
324	матери к	1	2
325	как с	1	2
326	и остроты	1	2
327	сексуального момента	1	2
328	быть может	1	2
329	для этого	4	2
330	и вообще	1	2
331	с ним	12	2
332	находится в	3	2
333	похожим на	1	2
334	это главное	1	2
335	является по	2	2
336	о том	1	2
337	другими словами	3	2
338	сновидения эта	1	2
339	рождения и	1	2
340	органического самодовления	1	2
341	и содержание	3	2
342	три основных	1	2
343	организма и	3	2
344	бессознательного т.е	1	2
345	травму рождения	1	2
346	что и	2	2
347	во всей	1	2
348	образов сна	2	2
349	может иметь	1	2
350	очень сложны	1	2
351	один из	4	2
352	сновидения и	2	2
353	оно и	6	2
354	положение зародыша	3	2
355	мы видим	1	2
356	компромиссных образований	1	2
357	что он	8	2
358	скрытым мыслям	2	2
359	и так	1	2
360	остальной психологии	2	2
361	всех его	1	2
362	цензура но	1	2
363	со всеми	3	2
364	для психоанализа	1	2
365	не имеющие	3	2
366	с нею	1	2
367	не можем	3	2
368	если мы	5	2
369	психотерапевтической практики	1	2
370	можно определить	1	2
371	об его	3	2
372	в начале	1	2
373	чистого познания	2	2
374	в душе	13	2
375	цели и	2	2
376	при всей	1	2
377	у него	3	2
378	и фрейдисты	2	2
379	момент в	1	2
380	и т.п	2	2
381	в постель	2	2
382	о психическом	2	2
383	оно не	2	2
384	внешней реальностью	1	2
385	себя и	3	2
386	на друга	1	2
387	не на	1	2
388	его все	2	2
389	остается и	1	2
390	в развитии	4	2
391	что мы	2	2
392	они-то и	1	2
393	рассеяно по	2	2
394	мир для	1	2
395	с помощью	9	2
396	только суррогатом	1	2
397	образ матери	1	2
398	так же	1	2
399	для психотерапевтической	1	2
400	в историю	2	2
401	фрейд применил	1	2
402	бессознательному как	1	2
403	ненависть к	1	2
404	их цель	2	2
405	в мир	3	2
406	чувства и	1	2
407	к следующему	1	2
408	его сводится	1	2
409	в свое	1	2
410	в систему	2	2
411	внешний мир	2	2
412	человеческого поведения	2	2
413	но это	2	2
414	и таким	2	2
415	это последнее	1	2
416	протяжении всей	5	2
417	к другим	2	2
418	от матери	2	2
419	цельного человека	1	2
420	и для	2	2
421	и образы	3	2
422	не существует	3	2
423	сознания и	5	2
424	переводе на	1	2
425	в голову	3	2
426	из тех	1	2
427	это делает	1	2
428	не знает	3	2
429	эмоций и	2	2
430	наслаждения с	1	2
431	сексуальные влечения	1	2
432	действительным причинам	1	2
433	есть и	2	2
434	влечений и	3	2
435	влечет к	2	2
436	а может	1	2
437	ее в	2	2
438	к этому	7	2
439	во сне	2	2
440	они не	2	2
441	создать в	1	1
442	постель к	1	1
443	психику от	1	1
444	с новыми	1	1
445	управляется только	1	1
446	этим как	1	1
447	союзника и	1	1
