N	3gram	Berdyaev_O_1	Myshleni
1	для того чтобы	3	15
2	в том что	1	15
3	в другом месте	1	6
4	о том что	1	6
5	по сравнению с	1	5
6	не может быть	2	5
7	в этом отношении	1	4
8	друг с другом	1	4
9	смысле этого слова	1	3
10	на то что	1	3
11	сам по себе	1	3
12	во всяком случае	1	3
13	том что в	1	2
14	прежде всего в	1	2
15	между этими двумя	1	2
16	от того что	1	2
17	вместо того чтобы	1	2
18	в самом деле	1	2
19	от всех тех	1	1
20	должен был бы	1	1
21	он указывает на	1	1
22	и не может	1	1
23	и заключается в	1	1
24	отношение человека к	1	1
25	но и в	2	1
26	хотя и не	1	1
27	это вопрос о	1	1
28	хотя бы самый	1	1
29	то что в	1	1
30	и то что	1	1
31	бы и не	1	1
32	ничего не хочет	1	1
33	и не быть	1	1
34	и в этом	2	1
35	в строгом смысле	1	1
36	в этих словах	1	1
37	не в силах	1	1
38	друг к другу	1	1
39	того чтобы сделать	1	1
40	есть не только	1	1
41	хотя бы даже	1	1
42	это потому что	1	1
43	как и все	2	1
44	само по себе	1	1
45	и никогда не	2	1
46	что у него	2	1
47	потому что в	1	1
48	заключает в себе	1	1
49	как и в	1	1
