N	4gram	Bakhtin_Pr_1	Psycholo
1	в то время как	1	2
2	в то же время	3	2
3	никогда не может быть	1	1
4	и не может быть	1	1
5	в том смысле что	1	1
6	если бы не было	1	1
7	не что иное как	1	1
8	который как бы вбирает	1	1
9	бы то ни было	2	1
10	и т д мы	1	1
11	во что бы то	1	1
12	для художника и для	1	1
13	не может быть признано	1	1
14	не нуждается ни в	1	1
15	бы то ни стало	1	1
16	и тем не менее	1	1
17	в полном согласии с	1	1
18	едва ли может быть	1	1
19	что бы то ни	1	1
20	он не нуждается ни	1	1
21	как бы вбирает в	1	1
22	есть не что иное	1	1
23	бы вбирает в себя	1	1
