N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	24
2	не только	9	21
3	что он	4	21
4	т е	3	16
5	может быть	4	14
6	не может	2	14
7	что в	7	13
8	в этих	1	13
9	как в	1	12
10	в этом	8	12
11	но и	7	11
12	это не	4	10
13	том что	3	10
14	и что	8	10
15	у него	5	10
16	а в	2	10
17	все же	6	9
18	с другой	1	9
19	о том	4	9
20	потому что	1	9
21	то же	5	8
22	еще не	2	8
23	другой стороны	1	8
24	все это	4	8
25	во всех	1	7
26	то что	7	7
27	таким образом	2	7
28	одна из	2	7
29	к нему	1	7
30	один из	1	7
31	в том	3	7
32	вместе с	2	7
33	что это	1	6
34	но не	1	6
35	как он	1	6
36	в нем	6	6
37	он не	3	6
38	всех этих	1	6
39	об этом	5	6
40	как и	6	6
41	для нас	4	6
42	и все	7	6
43	того что	1	6
44	ответ на	2	6
45	тем что	3	6
46	так же	4	6
47	во время	2	6
48	в чем	3	5
49	отношение к	2	5
50	но в	6	5
51	не менее	2	5
52	доказывает что	1	5
53	с ним	4	5
54	в русской	3	5
55	ничего не	1	5
56	так и	1	5
57	тот кто	1	5
58	же как	2	4
59	начинается с	1	4
60	первый взгляд	1	4
61	как бы	4	4
62	при этом	4	4
63	не всегда	1	4
64	на первый	2	4
65	точки зрения	2	4
66	в их	1	4
67	своего рода	1	4
68	тем не	1	4
69	не имеет	1	4
70	никогда не	2	4
71	так в	2	4
72	что у	3	4
73	ли он	1	4
74	за него	1	4
75	и не	5	4
76	и он	2	3
77	в ответ	1	3
78	с его	3	3
79	тогда как	2	3
80	что они	1	3
81	руку и	1	3
82	к себе	2	3
83	хотя и	1	3
84	и наконец	1	3
85	этот мотив	1	3
86	на то	3	3
87	после этого	2	3
88	его в	3	3
89	в них	2	3
90	которой он	1	3
91	представление о	1	3
92	в конце	3	3
93	но они	1	3
94	того как	1	3
95	не все	1	3
96	и его	3	3
97	связи с	3	3
98	не знаю	1	3
99	в качестве	1	3
100	уже в	4	3
101	при помощи	2	3
102	между прочим	1	3
103	в другой	1	3
104	и даже	6	3
105	после смерти	2	3
106	и стал	2	3
107	в свете	1	3
108	предположить что	1	3
109	что за	1	3
110	сих пор	1	3
111	но это	2	3
112	в русских	2	2
113	с тех	1	2
114	свое место	1	2
115	по его	1	2
116	у некоторых	1	2
117	и ее	2	2
118	того же	1	2
119	не знал	1	2
120	если в	1	2
121	некоторые черты	1	2
122	не просто	1	2
123	его на	2	2
124	с этим	1	2
125	в самом	1	2
126	во многих	1	2
127	еще один	1	2
128	рассказ о	1	2
129	д в	1	2
130	прочим и	1	2
131	в силу	1	2
132	в одну	2	2
133	не будет	1	2
134	было бы	1	2
135	не ясно	1	2
136	попадает в	1	2
137	этого не	1	2
138	может идти	1	2
139	можно найти	1	2
140	в котором	6	2
141	к этому	3	2
142	но он	3	2
143	есть еще	1	2
144	что этот	1	2
145	нет необходимости	1	2
146	вплоть до	1	2
147	в то	5	2
148	друг друга	1	2
149	во всем	1	2
150	это конечно	1	2
151	все ясно	1	2
152	и это	2	2
153	не совсем	1	2
154	но при	1	2
155	в ее	1	2
156	то время	1	2
157	об этой	2	2
158	имеется в	1	2
159	с героем	1	2
160	не стоит	1	2
161	там же	2	2
162	доходит до	1	2
163	в форме	1	2
164	все в	1	2
165	тем более	2	2
166	если это	1	2
167	близок к	1	2
168	уже не	2	2
169	и у	3	2
170	на свое	1	2
171	из них	2	2
172	ни с	1	2
173	мы знаем	2	2
174	прежде всего	1	2
175	к ним	2	2
176	в особенности	1	2
177	до сих	1	2
178	на этот	1	2
179	что тот	1	2
180	такое же	1	2
181	говорит о	1	2
182	выше и	1	2
183	что из	1	2
184	в связи	3	2
185	позволяет нам	1	2
186	в литературе	1	2
187	по которому	1	2
188	был в	1	2
189	довольно много	2	2
190	только о	1	2
191	и от	1	2
192	и о	3	2
193	в основном	1	2
194	отличается от	1	2
195	но для	1	2
196	это как	1	2
197	он стал	1	2
198	но вот	1	2
199	знаю что	1	2
200	во сне	1	2
201	точно так	1	2
202	они не	1	2
203	широкое распространение	1	1
204	и рассказы	1	1
205	отношения к	2	1
206	одним из	3	1
207	не имел	1	1
208	как известно	1	1
209	от этой	1	1
210	говорилось выше	1	1
211	к этой	1	1
212	он способен	1	1
213	не хочет	1	1
214	которую они	1	1
215	на лету	5	1
216	враждебное отношение	1	1
217	этому же	1	1
218	что уже	1	1
219	пока только	1	1
220	еще до	1	1
221	который был	3	1
222	я не	3	1
223	ему в	1	1
224	один пример	1	1
225	в ней	4	1
226	свете этой	1	1
227	собой в	1	1
228	он был	3	1
229	влияния на	1	1
230	совсем не	1	1
231	то он	1	1
232	о смерти	1	1
233	заметим что	1	1
234	он пишет	2	1
235	тут же	1	1
236	ничуть не	1	1
237	на стол	1	1
238	из которого	1	1
239	или вообще	1	1
240	же с	1	1
241	независимо от	1	1
242	дает нам	1	1
243	некоторое время	1	1
244	в своем	3	1
245	и как	3	1
246	каким-то образом	1	1
247	в этот	3	1
248	роль играет	1	1
249	поэтому он	1	1
250	в целом	1	1
251	в этой	2	1
252	в известном	2	1
253	что к	2	1
254	не могла	1	1
255	платок и	1	1
256	и тотчас	1	1
257	из него	1	1
258	что ни	1	1
259	из-за этого	1	1
260	же не	2	1
261	далеко не	3	1
262	типичен для	1	1
263	и уже	3	1
264	не мог	2	1
265	в войне	1	1
266	в своей	2	1
267	вспоминает о	1	1
268	с точки	2	1
269	что я	2	1
270	пор мы	1	1
271	на три	1	1
272	людей уже	2	1
273	не могли	1	1
274	и то	2	1
275	что эта	1	1
276	и есть	1	1
277	тем самым	1	1
278	из их	1	1
279	нельзя не	1	1
280	того в	1	1
281	предполагать что	1	1
282	в окно	1	1
283	ему и	1	1
284	же он	1	1
285	прямо в	1	1
286	что самые	1	1
287	до того	1	1
288	ли это	1	1
289	ему не	1	1
290	вот в	1	1
291	один раз	1	1
292	просить чтобы	1	1
293	за что	1	1
294	этой легенды	1	1
295	взял в	1	1
296	он такой	1	1
297	которая из	1	1
298	вы не	1	1
299	имеет никаких	1	1
300	на основе	2	1
301	второй половине	1	1
302	на той	1	1
303	но мы	1	1
304	и сам	1	1
305	на нее	1	1
306	не с	1	1
307	ясно что	1	1
308	живет в	1	1
309	во многом	4	1
310	во второй	1	1
311	том как	1	1
312	и с	6	1
313	он вспоминает	1	1
314	а также	2	1
315	вопросу о	1	1
316	и во	3	1
317	от них	1	1
318	в его	3	1
319	во всей	1	1
320	можно проследить	1	1
321	вслед за	1	1
322	именно в	1	1
323	в ту	1	1
324	от которого	1	1
325	тех пор	1	1
326	но с	1	1
327	сразу же	1	1
328	оказалось что	1	1
329	пришел к	2	1
330	она правда	1	1
331	и титул	1	1
332	и кончая	1	1
333	он уже	1	1
334	жизни и	1	1
335	возвращается в	1	1
336	больше не	1	1
337	в жизни	1	1
338	в начале	6	1
339	сказал ему	1	1
340	как показал	1	1
341	в мировой	1	1
342	и их	1	1
343	никто не	1	1
344	как при	1	1
345	мальчика к	1	1
346	от того	1	1
347	без внимания	1	1
348	это будет	1	1
349	рядом с	2	1
350	из двух	1	1
