N	3gram	Nazirov_Vr_1	Psycholo
1	в том что	2	17
2	с точки зрения	2	10
3	заключается в том	1	10
4	не может быть	2	8
5	на то что	1	6
6	до сих пор	1	5
7	в этом отношении	1	5
8	так же как	1	4
9	тем не менее	1	4
10	о том что	1	4
11	и в самом	1	4
12	точно так же	1	3
13	в конце концов	1	3
14	в то время	1	3
15	это то что	1	2
16	и не может	1	2
17	и то что	1	2
18	и что в	2	2
19	каждый из них	1	2
20	во всяком случае	1	2
21	то же время	4	2
22	что в этой	1	2
23	в свою очередь	1	2
24	и никогда не	1	2
25	с другой стороны	1	2
26	в то же	4	2
27	а между тем	1	1
28	в этом смысле	1	1
29	он не только	2	1
30	о том как	1	1
31	не было бы	1	1
32	а с другой	1	1
33	только при помощи	1	1
34	но и как	1	1
35	по крайней мере	1	1
36	не имеет никаких	1	1
37	одно и то	1	1
38	речь идет не	1	1
39	но и это	1	1
40	едва ли не	1	1
41	и что он	1	1
42	что для нас	1	1
43	при этом он	1	1
44	и то же	1	1
45	но при этом	1	1
46	он сказал что	1	1
47	идет не об	1	1
48	что он сам	1	1
49	все же не	1	1
50	в связи с	3	1
51	связи с этим	1	1
52	не только не	1	1
53	с помощью которых	1	1
54	мыслей и чувств	1	1
55	следует искать в	1	1
56	то что они	1	1
57	цель которой он	1	1
58	в высшей степени	1	1
