N	4gram	Losev_Prob_2	KulturaY
1	и тем не менее	1	4
2	в том случае если	1	2
3	то тем самым мы	1	2
4	не говоря уже о	4	2
5	уже с самого начала	2	1
6	уже о том что	1	1
7	говоря уже о том	1	1
8	вообще и в частности	1	1
9	о том что в	1	1
10	только в том случае	2	1
11	в том или ином	1	1
12	не что иное как	3	1
13	и т д это	1	1
14	так или иначе но	1	1
15	бы то ни было	1	1
16	одной и той же	2	1
17	можно ли сказать что	2	1
18	в этом случае он	1	1
19	указание на то что	1	1
20	и с другой стороны	1	1
21	какой бы то ни	1	1
22	в то время как	1	1
23	все более и более	1	1
24	заключается в том что	2	1
25	в связи с этим	2	1
26	то во всяком случае	2	1
27	не то что мы	1	1
28	в узком смысле слова	1	1
29	также и то что	2	1
30	несмотря на то что	1	1
31	вовсе не потому что	1	1
32	есть не что иное	3	1
