N	3gram	Tiupa_Disk_1	StatiiOP
1	в том что	13	17
2	о том что	5	11
3	с точки зрения	1	8
4	до сих пор	1	7
5	в этом отношении	1	7
6	на самом деле	1	6
7	с другой стороны	3	6
8	во всяком случае	1	6
9	в данном случае	2	6
10	в данном отношении	1	5
11	не может быть	3	5
12	так и в	1	4
13	в то же	3	4
14	то же время	4	4
15	того или иного	1	4
16	на то что	1	4
17	так например в	1	4
18	не только в	2	4
19	дело в том	1	4
20	заключается в том	1	3
21	том что в	2	3
22	но все же	1	3
23	тем или иным	1	3
24	и мн др	1	3
25	по отношению к	9	3
26	только в том	2	3
27	что же касается	2	3
28	и даже не	1	2
29	в том числе	2	2
30	с одной стороны	9	2
31	хотя бы и	1	2
32	одним и тем	1	2
33	как и в	1	2
34	в первую очередь	1	2
35	и в том	1	2
36	говорит о том	1	2
37	с исчерпывающей полнотой	1	2
38	дело не в	1	2
39	и тем же	1	2
40	в этом случае	1	2
41	речь идет о	1	2
42	том числе и	2	2
43	в равной мере	1	2
44	в свое время	1	2
45	не в том	3	2
46	тем не менее	1	2
47	а иногда и	1	2
48	имеем дело с	1	2
49	это прежде всего	3	2
50	по крайней мере	2	2
51	а в том	2	1
52	согласно которому в	1	1
53	в этом смысле	1	1
54	в которой он	1	1
55	в том случае	1	1
56	о том как	1	1
57	в одной из	2	1
58	на мой взгляд	2	1
59	и в то	1	1
60	свидетельствует о том	1	1
61	а с другой	3	1
62	то все же	1	1
63	во всех этих	1	1
64	что он не	1	1
65	одной из двух	1	1
66	и не может	1	1
67	как и вообще	1	1
68	в котором он	1	1
69	как будто бы	1	1
70	в целом ряде	1	1
71	сами по себе	2	1
72	той или иной	3	1
73	внимание на то	1	1
74	говоря уже о	2	1
75	только то что	1	1
76	содержит в себе	1	1
77	свою задачу в	1	1
78	может быть ни	1	1
79	даже сказать что	1	1
80	в наше время	2	1
81	в результате этого	1	1
82	далеко не все	1	1
83	не должно было	1	1
84	именно в том	1	1
85	можно даже сказать	1	1
86	в том чтобы	2	1
87	в том и	1	1
88	не говоря уже	2	1
89	также и в	1	1
90	для правильного понимания	1	1
91	мы имеем дело	2	1
92	а не в	2	1
93	на том что	1	1
94	в россии в	1	1
95	ту или иную	1	1
96	никогда не было	1	1
97	том что он	1	1
98	обратить внимание на	2	1
99	в соответствии с	2	1
