N	3gram	Bakhtin_sl_1	Myshleni
1	с точки зрения	8	18
2	для того чтобы	1	15
3	в том что	1	15
4	с другой стороны	4	9
5	с одной стороны	4	8
6	с самого начала	1	8
7	о том что	1	6
8	не может быть	1	5
9	в то время	2	5
10	до сих пор	2	4
11	то время как	2	4
12	в этом отношении	1	4
13	можно сказать что	1	4
14	друг с другом	2	4
15	можно было бы	2	3
16	к тому что	2	3
17	и в отношении	1	3
18	во всяком случае	5	3
19	в свою очередь	2	3
20	и то же	2	2
21	прежде всего в	1	2
22	и той же	1	2
23	в известном смысле	2	2
24	в зависимости от	3	2
25	то же время	12	2
26	одно и то	2	2
27	и в частности	1	2
28	в данном случае	3	2
29	в значительной степени	1	2
30	ни в какой	1	2
31	и речи но	1	2
32	тем и другим	1	2
33	в одном из	1	2
34	в то же	12	2
35	одной и той	1	2
36	а следовательно и	1	1
37	как в отношении	1	1
38	которых мы говорили	1	1
39	между прочим в	1	1
40	и столь же	1	1
41	или во всяком	2	1
42	дело в том	1	1
43	большей или меньшей	4	1
44	слова не только	1	1
45	в лингвистическом и	1	1
46	свое выражение в	2	1
47	и в самых	1	1
48	во всех своих	1	1
49	целиком во всех	1	1
50	и не может	2	1
51	в своей книге	1	1
52	и в то	5	1
53	в отличие от	1	1
54	но и в	1	1
55	то и в	1	1
56	с этой точки	1	1
57	по крайней мере	1	1
58	с помощью которых	1	1
59	вот что говорит	1	1
60	нас в данном	1	1
61	если бы мы	1	1
62	не только в	2	1
63	первых двух и	1	1
64	и с точки	1	1
65	не столько в	1	1
66	и в этом	2	1
67	и на его	1	1
68	он не пытается	1	1
69	автора и его	1	1
70	связанные с этой	1	1
71	речи в качестве	1	1
72	о которых мы	1	1
73	до наших дней	1	1
74	и до наших	1	1
75	этой точки зрения	1	1
76	по всей вероятности	3	1
77	все целиком во	1	1
78	такого рода анализ	1	1
79	не только не	1	1
80	между тем это	1	1
81	даже в самых	1	1
82	к действительности и	1	1
83	в направлении к	1	1
84	как мы уже	2	1
85	между словом и	1	1
86	и т д	5	1
87	тем не менее	1	1
88	находит свое выражение	1	1
89	как и в	1	1
90	и с другой	1	1
91	той или иной	9	1
