N	2gram	Tiupa_Anal_3	SlovoVZh
1	не может	2	16
2	может быть	9	14
3	точки зрения	3	14
4	как бы	10	13
5	и его	13	13
6	таким образом	4	12
7	и в	18	12
8	по отношению	7	11
9	отношению к	7	11
10	и не	12	10
11	если бы	1	9
12	прежде всего	5	8
13	сказать что	2	7
14	в ней	2	6
15	в том	9	6
16	только в	2	6
17	при этом	11	6
18	к содержанию	3	6
19	с помощью	1	6
20	в нем	2	6
21	то же	3	5
22	можно сказать	4	5
23	отнюдь не	4	5
24	как в	3	5
25	но в	2	5
26	и др	1	5
27	в жизни	2	5
28	героя и	4	5
29	а не	9	5
30	как и	14	5
31	что мы	2	5
32	том что	12	5
33	никогда не	5	5
34	хотя бы	1	5
35	то что	2	5
36	на самом	1	4
37	зависимости от	1	4
38	как если	1	4
39	за пределы	1	4
40	в литературе	1	4
41	в этом	14	4
42	все же	4	4
43	в самом	5	4
44	уже не	5	4
45	не только	22	4
46	отношение к	1	4
47	так и	14	4
48	с другой	7	4
49	что не	3	4
50	высказывания как	2	4
51	не в	6	4
52	его в	3	4
53	дело в	2	4
54	и является	1	4
55	и к	4	4
56	жизни и	1	4
57	и на	4	4
58	здесь не	3	3
59	самом деле	2	3
60	формы и	1	3
61	в пределах	4	3
62	еще не	6	3
63	мы не	3	3
64	с героем	2	3
65	о том	6	3
66	и герой	1	3
67	но и	13	3
68	между тем	5	3
69	нуждается в	2	3
70	того что	1	3
71	в художественном	1	3
72	когда он	2	3
73	имеет в	1	3
74	и ее	2	3
75	все эти	2	3
76	в себе	2	3
77	да и	2	3
78	для него	6	3
79	и по	2	3
80	до сих	1	3
81	в них	2	3
82	автору и	2	3
83	в своей	1	3
84	тем не	2	3
85	как к	2	3
86	из этого	1	3
87	по себе	4	3
88	произведения и	2	3
89	художественное произведение	1	3
90	сих пор	1	3
91	не менее	4	3
92	все это	3	3
93	и для	2	3
94	бы мы	1	3
95	сколько бы	1	3
96	с ним	1	3
97	как это	3	2
98	в себя	2	2
99	едва ли	3	2
100	те же	2	2
101	со всех	1	2
102	по природе	1	2
103	мы имеем	5	2
104	со словом	1	2
105	совпадает с	1	2
106	и здесь	2	2
107	искусства и	1	2
108	не способен	1	2
109	с его	8	2
110	между собой	1	2
111	формы то	1	2
112	тем как	1	2
113	данном случае	3	2
114	в данном	4	2
115	в его	7	2
116	что и	5	2
117	в форме	2	2
118	независимо от	1	2
119	с чисто	1	2
120	в своем	4	2
121	как уже	2	2
122	дело с	3	2
123	и потому	2	2
124	и так	1	2
125	сливается с	1	2
126	бы не	1	2
127	с одной	2	2
128	уже в	3	2
129	тому же	3	2
130	он не	6	2
131	в зависимости	1	2
132	к ним	1	2
133	мы можем	2	2
134	в особенности	3	2
135	на примере	2	2
136	с другими	1	2
137	это не	2	2
138	до известной	3	2
139	оно не	1	2
140	остаются вне	1	2
141	себя и	1	2
142	героя или	1	2
143	одной стороны	2	2
144	зависит от	1	2
145	другой стороны	5	2
146	его как	3	2
147	там где	2	2
148	автора и	1	2
149	в момент	2	2
150	связь с	2	2
151	вместе с	2	2
152	к его	1	2
153	но не	7	2
154	место в	1	2
155	высказывания и	1	2
156	с этой	1	2
157	с точки	2	2
158	этой стороны	1	2
159	в то	3	2
160	на него	1	2
161	известной степени	3	2
162	героев и	1	2
163	ничего не	3	2
164	этих двух	1	2
165	и все	2	2
166	все они	2	2
167	но это	1	2
168	между ними	1	2
169	от всех	1	2
170	могут быть	2	2
171	что в	9	2
172	как на	1	2
173	частной жизни	1	2
174	и другие	1	2
175	не есть	4	2
176	к этому	3	2
177	а между	1	1
178	произведения но	1	1
179	субъективного сознания	1	1
180	например в	2	1
181	как мы	1	1
182	и о	1	1
183	совпадают с	1	1
184	с ее	3	1
185	сам по	1	1
186	свою очередь	4	1
187	позицию по	1	1
188	ее до	1	1
189	бытия именно	1	1
190	это и	2	1
191	бы действительно	1	1
192	нам кажется	2	1
193	в организации	1	1
194	тем же	1	1
195	из трех	1	1
196	в произведении	3	1
197	по преимуществу	2	1
198	из его	1	1
199	не имеют	1	1
200	с таким	1	1
201	из двух	1	1
202	мы уже	1	1
203	в индивидуальную	1	1
204	жизнь и	3	1
205	та же	1	1
206	что уже	1	1
207	является в	1	1
208	единство и	1	1
209	и всякого	1	1
210	для этого	1	1
211	высказывания в	1	1
212	он как	1	1
213	на себя	2	1
214	то она	1	1
215	быть ни	1	1
216	сводится к	2	1
217	и он	2	1
218	всех сторон	1	1
219	к общему	1	1
220	стороны его	1	1
221	на них	1	1
222	основе своей	1	1
223	на их	1	1
224	столь же	4	1
225	в значительной	2	1
226	так если	1	1
227	мы понимаем	1	1
228	произведение является	1	1
229	во всех	2	1
230	в конечном	2	1
231	то мы	1	1
232	не требует	1	1
233	то в	2	1
234	от его	2	1
235	это бывает	1	1
236	момента и	1	1
237	общения между	1	1
238	русской литературе	4	1
239	конечном счете	2	1
240	в общем	2	1
241	автор как	1	1
242	отметить что	1	1
243	произведение не	1	1
244	крайней мере	4	1
245	что они	3	1
246	именно в	3	1
247	сама по	2	1
248	хочу и	1	1
249	его эстетической	1	1
250	самим автором	1	1
251	так для	1	1
252	и мир	1	1
253	перед нами	4	1
254	и точность	1	1
255	хотя и	2	1
256	тот же	1	1
257	ценностей и	1	1
258	произведения так	1	1
259	простым воспроизведением	1	1
260	себе не	1	1
261	нашего времени	3	1
262	к художественному	1	1
263	тому как	2	1
264	смыслу в	1	1
265	этим словом	1	1
266	в целом	3	1
267	литературе и	1	1
268	себя в	4	1
269	есть в	1	1
270	литературы в	1	1
271	поскольку мы	1	1
272	мы обратимся	1	1
273	не можем	1	1
274	во многих	1	1
275	нами и	1	1
276	в большинстве	2	1
277	обычной жизненной	1	1
278	двух других	1	1
279	типичными героями	1	1
280	что она	2	1
281	слова не	1	1
282	или даже	1	1
283	его и	1	1
284	одно из	1	1
285	себе в	1	1
286	и их	1	1
287	всяком случае	2	1
288	ведь это	1	1
289	не как	2	1
290	художественного высказывания	2	1
291	в одном	4	1
292	и вот	2	1
293	вовсе не	1	1
294	ни были	1	1
295	относится не	1	1
296	можно с	1	1
297	у него	1	1
298	из нее	1	1
299	какой бы	1	1
300	она будет	1	1
301	подобно тому	3	1
302	это по	2	1
303	значительной степени	2	1
304	бы это	1	1
305	здесь мы	1	1
306	и только	1	1
307	говорящих и	1	1
308	в другом	1	1
309	связанных с	1	1
310	и т.п	5	1
311	должно быть	1	1
312	входит в	2	1
313	который и	1	1
314	и вступает	1	1
315	ко второму	3	1
316	и иных	1	1
317	было бы	3	1
318	к которому	1	1
319	этом смысле	1	1
320	и прежде	2	1
321	один и	1	1
322	отражение в	1	1
323	только к	2	1
324	говорит о	2	1
325	и политического	1	1
326	художественно значимым	1	1
327	не было	3	1
328	рядом с	1	1
329	на второй	1	1
330	а с	1	1
331	не знает	1	1
332	далеко не	4	1
333	в ее	3	1
334	в слове	5	1
335	читателя и	2	1
336	не всегда	3	1
337	которой он	1	1
338	несмотря на	2	1
339	на передний	1	1
340	о чем	4	1
341	на эту	2	1
342	в истории	1	1
343	обратимся к	1	1
344	и тогда	1	1
345	и того	3	1
346	остается в	1	1
347	со всей	1	1
348	и становится	1	1
349	места в	1	1
350	вступает в	3	1
351	но если	1	1
352	в частности	12	1
353	ее внутренней	1	1
354	передний план	1	1
355	все основные	1	1
356	но особенно	1	1
357	и без	3	1
358	это делает	1	1
359	то есть	10	1
360	не могут	1	1
361	с уверенностью	1	1
362	однако он	1	1
363	тем кто	1	1
364	этих моментов	2	1
365	и тот	1	1
366	здесь слово	1	1
367	отношении он	1	1
368	для их	1	1
369	по крайней	4	1
370	произведения в	1	1
371	моментов в	1	1
372	не должно	3	1
373	того кто	1	1
374	для нее	1	1
375	же мы	1	1
376	случае мы	1	1
377	ни единого	1	1
378	большинстве своем	1	1
379	от всего	1	1
380	как о	1	1
381	в русской	7	1
382	своего героя	1	1
383	слово здесь	1	1
384	не является	5	1
385	в основе	1	1
386	отрешиться от	1	1
387	уже на	1	1
388	искусства как	1	1
389	того чтобы	1	1
390	для всего	1	1
391	в результате	5	1
392	в качестве	12	1
393	или иным	2	1
394	имеем дело	4	1
395	слова как	1	1
396	же время	3	1
397	от него	1	1
398	и внешней	1	1
399	слушателя к	1	1
400	тем более	1	1
401	не должен	2	1
402	мы должны	1	1
403	и интонациями	1	1
404	по своей	2	1
405	внутренней и	1	1
406	а лишь	1	1
407	герой нашего	1	1
408	связи с	1	1
409	в искусстве	2	1
410	в свою	5	1
411	это уже	1	1
412	как будто	1	1
413	этом отношении	3	1
414	и делает	1	1
415	не нуждается	1	1
416	жизни в	1	1
417	нам не	2	1
418	может и	1	1
419	в стиле	1	1
420	у нас	1	1
421	только как	1	1
422	они как	1	1
423	тем это	1	1
424	и сейчас	1	1
425	на общий	1	1
426	его внутренней	1	1
427	когда мы	2	1
428	или иного	1	1
429	и героем	3	1
430	героя в	1	1
431	я и	3	1
432	живет и	1	1
433	произведения с	1	1
434	внутренний и	1	1
435	мы могли	1	1
436	слова с	1	1
437	в таком	1	1
438	во всяком	2	1
439	они не	1	1
440	слова это	1	1
441	к тому	6	1
