N	3gram	Bakhtin_Pr_1	Analitik
1	факторов художественного впечатления	1	6
2	в том что	3	6
3	в данном случае	4	5
4	по отношению к	19	4
5	с одной стороны	3	4
6	и в этом	1	4
7	мы имеем дело	2	3
8	подобно тому как	1	3
9	в этом отношении	2	3
10	того или иного	2	3
11	той или иной	2	3
12	тем не менее	3	3
13	как и в	1	3
14	в этом смысле	3	2
15	с точки зрения	6	2
16	в то же	3	2
17	можно было бы	3	2
18	то есть в	1	2
19	в значительной степени	1	2
20	не только в	2	2
21	в отличие от	5	2
22	с другой стороны	4	2
23	то же время	3	2
24	и тем самым	2	2
25	и в самом	1	2
26	в конечном счете	4	2
27	на то что	1	2
28	также и на	1	1
29	а между тем	1	1
30	что иное как	1	1
31	можно сказать что	2	1
32	а не с	1	1
33	как мы это	1	1
34	может быть признано	1	1
35	имеют место в	1	1
36	имеется в виду	1	1
37	выглядит в глазах	1	1
38	которые могут быть	1	1
39	языка то есть	1	1
40	и во всех	2	1
41	хотя бы и	1	1
42	сами по себе	1	1
43	то есть вне	1	1
44	как это ни	1	1
45	но и в	2	1
46	между тем как	5	1
47	с самим собою	1	1
48	на этот вопрос	1	1
49	в противном случае	3	1
50	со всех сторон	2	1
51	несмотря на то	1	1
52	впечатления то есть	1	1
53	в равной мере	1	1
54	произведения в ее	1	1
55	бы и в	1	1
56	они могут быть	1	1
57	до известной степени	1	1
58	не совпадает с	2	1
59	в применении к	3	1
60	в таких случаях	1	1
61	факторы художественного впечатления	1	1
62	не только его	1	1
63	его можно было	1	1
64	и нисколько не	1	1
65	как бы уже	1	1
66	не о том	1	1
67	художественного восприятия как	1	1
68	это имеет место	1	1
69	имеем дело с	1	1
70	в нашем случае	1	1
71	в свою очередь	1	1
72	в связи с	1	1
73	в мире в	1	1
74	и если он	1	1
75	уже не к	1	1
76	в свое время	1	1
77	а в том	1	1
78	имеет место в	2	1
79	есть не что	1	1
80	могут быть только	1	1
81	не может быть	11	1
82	отнюдь не является	1	1
83	том смысле что	1	1
84	сказать и о	2	1
85	не что иное	1	1
86	в самом деле	3	1
87	могут и должны	1	1
88	и должны быть	2	1
89	но отнюдь не	7	1
90	в том смысле	1	1
91	к тому что	1	1
92	и за пределы	1	1
93	выходят за пределы	1	1
94	то же самое	2	1
